first_day_in_week,last_day_in_week,FIBIH_main_symb_weekly_mean_diff,DLEA.TA_weekly_mean_diff_-0.36,AFPR.TA_weekly_mean_diff_-0.37,AFRE.TA_weekly_mean_diff_-0.38
2019-03-10,2019-03-16,24.0,-5.8,33.4,-5.6
2019-03-17,2019-03-23,-54.0,2.8,24.0,8.8
2019-03-24,2019-03-30,24.0,-19.2,74.0,10.0
2019-03-31,2019-04-06,118.0,-6.8,-10.0,-64.4
2019-04-07,2019-04-13,-38.0,14.6,0.0,62.2
2019-04-14,2019-04-20,22.0,14.4,-4.2,2.2
2019-04-21,2019-04-27,-88.0,10.2,6.2,1.8
2019-04-28,2019-05-04,6.0,13.8,-55.2,-16.4
2019-05-05,2019-05-11,38.0,-6.6,91.2,9.4
2019-05-12,2019-05-18,-14.0,-5.0,-16.0,-111.6
2019-05-19,2019-05-25,-56.0,-4.6,-6.0,91.6
2019-05-26,2019-06-01,16.0,0.0,0.0,48.2
2019-06-02,2019-06-08,14.0,-2.6,-23.6,45.8
2019-06-09,2019-06-15,-24.0,10.8,41.6,-31.0
2019-06-16,2019-06-22,62.0,1.4,100.0,32.0
2019-06-23,2019-06-29,32.0,7.8,170.0,9.0
2019-06-30,2019-07-06,-56.0,16.2,-92.0,73.2
2019-07-07,2019-07-13,-66.0,25.2,14.0,-40.4
2019-07-14,2019-07-20,32.0,-44.0,8.0,15.8
2019-07-21,2019-07-27,92.0,-10.4,-46.0,28.4
2019-07-28,2019-08-03,-20.0,-12.6,-4.0,-17.8
2019-08-04,2019-08-10,-14.0,-18.2,56.0,57.8
2019-08-11,2019-08-17,66.0,-11.0,-54.0,41.0
2019-08-18,2019-08-24,-36.0,42.4,202.0,55.6
2019-08-25,2019-08-31,-34.0,-3.4,-74.0,-12.6
2019-09-01,2019-09-07,36.0,-8.4,-28.0,-20.0
2019-09-08,2019-09-14,42.5,-14.8,36.0,-6.8
2019-09-15,2019-09-21,62.0,-10.5,-5.0,81.5
2019-09-22,2019-09-28,-25.0,-0.6,116.0,32.0
2019-09-29,2019-10-05,126.66666666666669,-16.5,-150.0,77.0
2019-10-06,2019-10-12,0.0,-6.0,33.333333333333336,176.66666666666666
2019-10-13,2019-10-19,20.0,11.333333333333334,160.0,138.66666666666666
2019-10-20,2019-10-26,6.0,-11.666666666666666,43.333333333333336,-8.0
2019-10-27,2019-11-02,8.0,5.0,4.0,-38.4
2019-11-03,2019-11-09,80.0,-21.8,-42.0,-79.2
2019-11-10,2019-11-16,12.0,0.0,-92.0,11.8
2019-11-17,2019-11-23,72.0,22.2,114.0,-5.8
2019-11-24,2019-11-30,-28.0,48.6,-18.0,56.4
2019-12-01,2019-12-07,-26.0,-1.8,22.0,85.6
2019-12-08,2019-12-14,-56.0,87.4,252.0,-18.4
2019-12-15,2019-12-21,-2.0,-13.8,-82.0,-52.6
2019-12-22,2019-12-28,-16.0,23.0,168.0,-81.4
2019-12-29,2020-01-04,-14.0,48.8,72.0,156.4
2020-01-05,2020-01-11,-8.0,-18.0,54.0,38.0
2020-01-12,2020-01-18,-30.0,-15.4,-28.0,120.0
2020-01-19,2020-01-25,-36.0,-2.0,2.0,60.0
2020-01-26,2020-02-01,124.0,-18.2,-128.0,-22.0
2020-02-02,2020-02-08,-166.0,3.6,90.0,8.0
2020-02-09,2020-02-15,28.0,-9.2,42.0,-36.0
2020-02-16,2020-02-22,-140.0,-11.0,18.0,254.0
2020-02-23,2020-02-29,-210.75,-20.4,-52.0,4.0
2020-03-01,2020-03-07,-485.5,-10.25,-107.5,-85.0
2020-03-08,2020-03-14,225.2,-95.5,-945.0,-575.0
2020-03-15,2020-03-21,116.0,-37.2,-361.4,-376.4
2020-03-22,2020-03-28,50.8,26.0,171.4,-50.2
2020-03-29,2020-04-04,65.33333333333333,7.8,-9.0,86.6
2020-04-05,2020-04-11,-190.66666666666663,108.66666666666667,271.6666666666667,335.6666666666667
2020-04-12,2020-04-18,94.2,-37.666666666666664,30.0,48.0
2020-04-19,2020-04-25,163.33333333333334,29.4,-107.8,-76.2
2020-04-26,2020-05-02,-104.8,14.666666666666666,299.6666666666667,248.66666666666666
2020-05-03,2020-05-09,-135.8,-1.6,-30.0,-43.2
2020-05-10,2020-05-16,62.6,-43.6,-264.8,-70.2
2020-05-17,2020-05-23,-17.5,25.4,-5.6,-113.4
2020-05-24,2020-05-30,-49.8,18.75,172.75,140.5
2020-05-31,2020-06-06,-4.5,18.4,-53.6,41.2
2020-06-07,2020-06-13,-10.8,-16.25,-12.25,-41.75
2020-06-14,2020-06-20,-81.8,18.2,-74.6,13.4
2020-06-21,2020-06-27,76.80001831054688,-83.8,-195.8,-79.4
2020-06-28,2020-07-04,-141.80001831054688,16.2,93.20001220703125,179.19995727539026
2020-07-05,2020-07-11,38.6,-29.6,-140.40001220703124,-76.19995727539026
2020-07-12,2020-07-18,-65.6,21.6,124.4,206.4
2020-07-19,2020-07-25,64.5,-10.2,-101.2,30.0
2020-07-26,2020-08-01,,20.25,-82.25,-20.0
