first_day_in_week,last_day_in_week,SAE_main_symb_weekly_mean_diff,VCTR.TA_weekly_mean_diff_-0.41
2019-03-10,2019-03-16,-37.8,4.8
2019-03-17,2019-03-23,-12.2,-23.8
2019-03-24,2019-03-30,6.2,5.6
2019-03-31,2019-04-06,10.2,11.6
2019-04-07,2019-04-13,0.4,60.2
2019-04-14,2019-04-20,-4.8,6.2
2019-04-21,2019-04-27,-6.8,-27.2
2019-04-28,2019-05-04,7.8,-15.2
2019-05-05,2019-05-11,3.8,25.0
2019-05-12,2019-05-18,-2.0,4.6
2019-05-19,2019-05-25,1.6,-30.6
2019-05-26,2019-06-01,-2.4,-62.4
2019-06-02,2019-06-08,9.4,-16.4
2019-06-09,2019-06-15,5.6,-4.8
2019-06-16,2019-06-22,-22.0,66.2
2019-06-23,2019-06-29,12.0,-2.2
2019-06-30,2019-07-06,5.4,-37.8
2019-07-07,2019-07-13,-8.2,10.4
2019-07-14,2019-07-20,15.8,9.8
2019-07-21,2019-07-27,20.2,21.0
2019-07-28,2019-08-03,31.4,-35.2
2019-08-04,2019-08-10,-37.0,22.4
2019-08-11,2019-08-17,-22.6,-17.2
2019-08-18,2019-08-24,-14.0,17.8
2019-08-25,2019-08-31,24.2,-89.6
2019-09-01,2019-09-07,-5.6,-47.2
2019-09-08,2019-09-14,12.25,11.8
2019-09-15,2019-09-21,0.4,19.25
2019-09-22,2019-09-28,3.5,5.0
2019-09-29,2019-10-05,-4.333333333333333,-61.5
2019-10-06,2019-10-12,-1.0,65.66666666666667
2019-10-13,2019-10-19,5.0,38.0
2019-10-20,2019-10-26,-31.8,57.333333333333336
2019-10-27,2019-11-02,-7.2,47.0
2019-11-03,2019-11-09,-8.8,-40.0
2019-11-10,2019-11-16,20.2,-5.6
2019-11-17,2019-11-23,-27.2,105.4
2019-11-24,2019-11-30,-11.0,18.6
2019-12-01,2019-12-07,6.0,-14.6
2019-12-08,2019-12-14,-13.8,69.0
2019-12-15,2019-12-21,9.4,24.4
2019-12-22,2019-12-28,-3.8,15.0
2019-12-29,2020-01-04,0.4,26.6
2020-01-05,2020-01-11,-6.0,-5.2
2020-01-12,2020-01-18,10.6,-6.2
2020-01-19,2020-01-25,-12.8,15.8
2020-01-26,2020-02-01,13.0,-6.6
2020-02-02,2020-02-08,8.6,-30.4
2020-02-09,2020-02-15,2.8,2.8
2020-02-16,2020-02-22,-15.6,52.6
2020-02-23,2020-02-29,6.25,-93.8
2020-03-01,2020-03-07,-77.25,53.5
2020-03-08,2020-03-14,70.4,-79.75
2020-03-15,2020-03-21,-56.2,36.2
2020-03-22,2020-03-28,-11.8,141.2
2020-03-29,2020-04-04,11.0,105.8
2020-04-05,2020-04-11,7.666666666666668,14.333333333333334
2020-04-12,2020-04-18,47.0,-231.33333333333334
2020-04-19,2020-04-25,4.666666666666667,108.2
2020-04-26,2020-05-02,6.4,4.0
2020-05-03,2020-05-09,-14.0,44.6
2020-05-10,2020-05-16,13.4,-29.6
2020-05-17,2020-05-23,22.5,79.2
2020-05-24,2020-05-30,7.4,66.25
2020-05-31,2020-06-06,-18.75,-37.8
2020-06-07,2020-06-13,-13.4,3.0
2020-06-14,2020-06-20,-17.8,62.2
2020-06-21,2020-06-27,22.19999542236328,-43.0
2020-06-28,2020-07-04,12.400004577636716,-22.6
2020-07-05,2020-07-11,14.8,66.0
2020-07-12,2020-07-18,6.6,114.0
2020-07-19,2020-07-25,-10.5,36.4
2020-07-26,2020-08-01,,-2.5
