first_day_in_week,last_day_in_week,EXPO_main_symb_weekly_mean_diff,PHOE.TA_weekly_mean_diff_0.45_INT_HARL.TA_weekly_mean_diff_0.46_corr_0.82
2019-03-10,2019-03-16,2.6,-28.81119140625
2019-03-17,2019-03-23,1.6,-22.14990234375
2019-03-24,2019-03-30,-5.2,1537.01953125
2019-03-31,2019-04-06,9.2,813.3481494140625
2019-04-07,2019-04-13,0.4,606.0127148437499
2019-04-14,2019-04-20,13.4,40.595966796875
2019-04-21,2019-04-27,2.6,32.77960449218729
2019-04-28,2019-05-04,-10.0,142.00790527343662
2019-05-05,2019-05-11,-4.2,-14.803125
2019-05-12,2019-05-18,11.0,1164.409765625
2019-05-19,2019-05-25,-25.8,-72.027978515625
2019-05-26,2019-06-01,-16.6,-32.782216796875005
2019-06-02,2019-06-08,0.0,87.361083984375
2019-06-09,2019-06-15,7.8,-1.69404296875
2019-06-16,2019-06-22,-1.4,84.940693359375
2019-06-23,2019-06-29,3.2,301.982216796875
2019-06-30,2019-07-06,-4.2,38.831953125
2019-07-07,2019-07-13,1.8,-3.7743945312499996
2019-07-14,2019-07-20,-25.33333333333333,36.413671875
2019-07-28,2019-08-03,0.6,25.8890625
2019-08-04,2019-08-10,29.2,174.73681640625
2019-08-11,2019-08-17,1.4,48.53522460937501
2019-08-18,2019-08-24,-6.2,228.24635253906249
2019-08-25,2019-08-31,7.0,2.7744140625
2019-09-01,2019-09-07,3.8,96.138046875
2019-09-08,2019-09-14,-12.5,54.312998046875
2019-09-15,2019-09-21,1.8,178.44593811035156
2019-09-22,2019-09-28,31.5,104.96
2019-09-29,2019-10-05,5.666666666666668,369.0
2019-10-06,2019-10-12,17.333333333333332,-3.0
2019-10-13,2019-10-19,8.666666666666666,245.66666666666666
2019-10-20,2019-10-26,-7.2,22.666666666666668
2019-10-27,2019-11-02,-2.0,464.28
2019-11-03,2019-11-09,-17.0,-6.16
2019-11-10,2019-11-16,0.4,7.68
2019-11-17,2019-11-23,-1.6,28.08
2019-11-24,2019-11-30,11.2,285.2
2019-12-01,2019-12-07,-4.8,37.519999999999996
2019-12-08,2019-12-14,6.2,121.43999999999998
2019-12-15,2019-12-21,33.2,88.44
2019-12-22,2019-12-28,-17.8,15.36
2019-12-29,2020-01-04,22.2,4.960000000000001
2020-01-05,2020-01-11,0.6,628.0
2020-01-12,2020-01-18,14.4,1.7600000000000002
2020-01-19,2020-01-25,-31.6,0.72
2020-01-26,2020-02-01,-7.4,651.24
2020-02-02,2020-02-08,-2.2,28.56
2020-02-09,2020-02-15,4.0,57.76
2020-02-16,2020-02-22,-17.8,168.48000000000002
2020-02-23,2020-02-29,-26.75,3467.6400000000003
2020-03-01,2020-03-07,-117.75,3977.875
2020-03-08,2020-03-14,-40.8,5978.6875
2020-03-15,2020-03-21,15.6,133.39999999999998
2020-03-22,2020-03-28,19.8,2012.8
2020-03-29,2020-04-04,36.333333333333336,-92.88
2020-04-05,2020-04-11,41.66666666666666,69.0
2020-04-12,2020-04-18,16.4,623.3333333333334
2020-04-19,2020-04-25,30.0,1266.08
2020-04-26,2020-05-02,9.8,434.8888888888889
2020-05-03,2020-05-09,-16.4,558.6
2020-05-10,2020-05-16,11.2,1012.3200000000002
2020-05-17,2020-05-23,-5.5,521.6
2020-05-24,2020-05-30,12.2,28.125
2020-05-31,2020-06-06,22.25,638.4
2020-06-07,2020-06-13,9.6,11.25
2020-06-14,2020-06-20,-13.0,211.68
2020-06-21,2020-06-27,0.9999862670897528,1370.2
2020-06-28,2020-07-04,-6.7999862670897535,60.5200331115621
2020-07-05,2020-07-11,7.4,57.12006912230448
2020-07-12,2020-07-18,-2.2,-88.8
2020-07-19,2020-07-25,-3.0,89.88
2020-07-26,2020-08-01,,142.5
