first_day_in_week,last_day_in_week,RSEL_main_symb_weekly_mean_diff,HAIN.TA_weekly_mean_diff_0.51
2019-03-10,2019-03-16,-0.21999816894531815,0.9599975585937613
2019-03-17,2019-03-23,2.279998779296875,0.22000122070311362
2019-03-24,2019-03-30,-1.1,-0.85999755859375
2019-03-31,2019-04-06,-1.1399993896484375,-5.079998779296875
2019-04-07,2019-04-13,0.5399993896484375,0.779998779296875
2019-04-14,2019-04-20,3.7,1.9399963378906364
2019-04-21,2019-04-27,-1.1,0.18000488281248864
2019-04-28,2019-05-04,-0.1199981689453182,-2.1800048828124887
2019-05-05,2019-05-11,-2.6800018310546814,-1.2
2019-05-12,2019-05-18,2.1399993896484437,1.0400024414062385
2019-05-19,2019-05-25,2.4,-0.420001220703125
2019-05-26,2019-06-01,-0.1399993896484432,0.24000244140625
2019-06-02,2019-06-08,-0.060000610351556814,2.679998779296875
2019-06-09,2019-06-15,0.7200012207031193,-0.24000244140623864
2019-06-16,2019-06-22,5.320001220703113,-2.0
2019-06-23,2019-06-29,0.6799987792968863,2.4400024414062385
2019-06-30,2019-07-06,1.04000244140625,4.659997558593761
2019-07-07,2019-07-13,-0.2800048828125,3.2
2019-07-14,2019-07-20,-0.5799987792968636,2.5
2019-07-21,2019-07-27,-0.7599975585937727,8.900000000000011
2019-07-28,2019-08-03,0.05999755859377274,4.080004882812455
2019-08-04,2019-08-10,1.4600036621093635,-4.880004882812466
2019-08-11,2019-08-17,0.17999877929686364,1.1000000000000114
2019-08-18,2019-08-24,-14.240002441406233,4.240002441406228
2019-08-25,2019-08-31,-3.2599975585937555,0.5599975585937728
2019-09-01,2019-09-07,4.519998168945311,1.3400024414062273
2019-09-08,2019-09-14,-1.5,-0.3
2019-09-15,2019-09-21,0.720001220703125,0.350006103515625
2019-09-22,2019-09-28,0.0,0.5799926757812728
2019-09-29,2019-10-05,0.43333435058592795,-3.25
2019-10-06,2019-10-12,0.5,-0.5999959309896212
2019-10-13,2019-10-19,-1.4666697184244697,-0.8000081380208334
2019-10-20,2019-10-26,-1.2600006103515569,-4.233317057291667
2019-10-27,2019-11-02,0.0,-1.7800048828125
2019-11-03,2019-11-09,0.2600006103515568,-8.279998779296875
2019-11-10,2019-11-16,0.4399993896484432,0.879998779296875
2019-11-17,2019-11-23,-0.41999816894531816,1.5
2019-11-24,2019-11-30,-2.120001220703125,-1.979998779296875
2019-12-01,2019-12-07,-0.379998779296875,-10.14000244140625
2019-12-08,2019-12-14,0.4,-5.2
2019-12-15,2019-12-21,0.9600006103515568,-5.15999755859375
2019-12-22,2019-12-28,13.059997558593759,20.379998779296876
2019-12-29,2020-01-04,6.160003662109371,-1.05999755859375
2020-01-05,2020-01-11,-6.060003662109369,-5.8800048828124885
2020-01-12,2020-01-18,-4.459997558593762,-1.1399963378906364
2020-01-19,2020-01-25,5.439996337890631,-1.3
2020-01-26,2020-02-01,-2.3399963378906308,-2.5
2020-02-02,2020-02-08,-0.7200012207031193,2.579998779296875
2020-02-09,2020-02-15,3.25999755859375,5.4
2020-02-16,2020-02-22,-4.619998168945314,4.84000244140625
2020-02-23,2020-02-29,0.7000007629394531,-4.94000244140625
2020-03-01,2020-03-07,-12.450000762939453,-6.224998474121094
2020-03-08,2020-03-14,0.4399993896484432,-14.650001525878906
2020-03-15,2020-03-21,-0.4799987792968807,-12.779998779296875
2020-03-22,2020-03-28,-5.979998779296875,0.020001220703125
2020-03-29,2020-04-04,4.2333323160807295,-3.060003662109375
2020-04-05,2020-04-11,-2.233332316080729,2.0333353678385415
2020-04-12,2020-04-18,2.1199981689453127,-3.2999979654947915
2020-04-19,2020-04-25,1.0666656494140625,0.820001220703125
2020-04-26,2020-05-02,1.320001220703125,0.23332722981770834
2020-05-03,2020-05-09,-4.660000610351561,-2.15999755859375
2020-05-10,2020-05-16,0.520001220703125,-0.920001220703125
2020-05-17,2020-05-23,1.6749992370605469,1.7
2020-05-24,2020-05-30,-0.6399993896484375,1.6999969482421875
2020-05-31,2020-06-06,-2.10000228881836,-2.8799987792968635
2020-06-07,2020-06-13,-0.9399993896484377,0.8000030517577983
2020-06-14,2020-06-20,2.4399993896484373,-0.9000000000000113
2020-06-21,2020-06-27,-1.1399988174438531,-0.9
2020-06-28,2020-07-04,-5.722045841594081e-07,1.0199996948242187
2020-07-05,2020-07-11,-1.5399993896484374,-0.11999969482421875
2020-07-12,2020-07-18,0.0,3.3399963378906365
2020-07-19,2020-07-25,15.650001525878901,56.22000732421875
2020-07-26,2020-08-01,,3.25
