first_day_in_week,last_day_in_week,MDTR_main_symb_weekly_mean_diff,MLTM.TA_weekly_mean_diff_0.39,PTBL.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,2.0199951171875,268.0,14.740234375,1.379998779296875
2019-03-17,2019-03-23,-7.9199951171875,316.0,169.580078125,7.8
2019-03-24,2019-03-30,-0.8,-16.0,-204.6,-0.6599975585937727
2019-03-31,2019-04-06,3.4,170.0,-270.96015625,1.4799926757812727
2019-04-07,2019-04-13,-1.4199951171875,580.0,409.2,3.1800048828125
2019-04-14,2019-04-20,4.25999755859375,290.0,-147.46015625,1.7
2019-04-21,2019-04-27,-2.04000244140625,-16.0,300.46015625,0.3199951171875
2019-04-28,2019-05-04,0.84000244140625,-618.0,-287.56015625,3.42000732421875
2019-05-05,2019-05-11,2.5199951171875,116.0,125.340234375,-0.85999755859375
2019-05-12,2019-05-18,2.62000732421875,140.0,199.080078125,0.4199951171875
2019-05-19,2019-05-25,4.839990234375,1066.0,169.5796875,0.9199951171875
2019-05-26,2019-06-01,1.560009765625,-232.0,-258.059765625,0.72000732421875
2019-06-02,2019-06-08,-1.7,-158.0,516.119921875,-0.85999755859375
2019-06-09,2019-06-15,-0.2800048828125,-526.0,38.719921875,-0.52000732421875
2019-06-16,2019-06-22,0.54000244140625,380.0,357.600390625,-0.0199951171875
2019-06-23,2019-06-29,-3.15999755859375,28.0,-429.500390625,-7.52000732421875
2019-06-30,2019-07-06,2.2199951171875,156.0,-105.059765625,2.060009765625
2019-07-07,2019-07-13,4.2800048828125,-2.0,-282.0203125,0.7
2019-07-14,2019-07-20,4.5,-334.0,-160.359765625,-3.8400024414062726
2019-07-21,2019-07-27,8.2199951171875,-46.0,1.83984375,-0.6800048828124545
2019-07-28,2019-08-03,16.0,54.0,661.740234375,-4.419995117187545
2019-08-04,2019-08-10,-2.05999755859375,-146.0,-440.56015625,-4.540002441406227
2019-08-11,2019-08-17,0.35999755859375,380.0,-241.46015625,-2.25999755859375
2019-08-18,2019-08-24,6.55999755859375,2310.0,674.640234375,2.0199951171875115
2019-08-25,2019-08-31,2.94000244140625,72.0,-278.340234375,-4.879998779296886
2019-09-01,2019-09-07,-5.54000244140625,-114.0,309.68046875,-5.0
2019-09-08,2019-09-14,4.600006103515625,-476.0,-438.700390625,-5.079998779296875
2019-09-15,2019-09-21,1.05999755859375,145.0,414.72509765625,2.6750030517578125
2019-09-22,2019-09-28,-4.5,-120.0,154.83984375,3.579998779296875
2019-09-29,2019-10-05,17.333333333333332,-245.0,-55.298828125,8.699996948242188
2019-10-06,2019-10-12,-0.3666585286458712,916.6666666666666,227.33333333333334,5.466664632161458
2019-10-13,2019-10-19,1.0,500.0,316.4322916666667,0.100006103515625
2019-10-20,2019-10-26,8.619995117187523,380.0,98.30078125,1.1999918619791856
2019-10-27,2019-11-02,4.6,120.0,202.7796875,-3.2399963378906365
2019-11-03,2019-11-09,1.6,-418.0,-346.53984375,0.920001220703125
2019-11-10,2019-11-16,13.2,312.0,-51.6203125,-2.820001220703125
2019-11-17,2019-11-23,1.4,1104.0,108.76015625,-8.679998779296875
2019-11-24,2019-11-30,-9.8,52.0,40.53984375,-2.620001220703125
2019-12-01,2019-12-07,-0.6,-182.0,218.6203125,-0.720001220703125
2019-12-08,2019-12-14,-0.2,32.0,146.0,1.3
2019-12-15,2019-12-21,0.2,116.0,-228.0,-2.4400024414062385
2019-12-22,2019-12-28,-3.4,152.0,56.0,12.5
2019-12-29,2020-01-04,12.0,408.0,494.0,-3.379998779296886
2020-01-05,2020-01-11,-1.6,220.0,-164.0,-0.32000122070311365
2020-01-12,2020-01-18,-5.0,-78.0,-12.0,4.7
2020-01-19,2020-01-25,-0.4,1782.0,88.0,2.5400024414062385
2020-01-26,2020-02-01,4.6,-566.0,50.0,-0.979998779296875
2020-02-02,2020-02-08,20.6,604.0,128.0,-1.920001220703125
2020-02-09,2020-02-15,-10.4,-400.0,92.0,2.84000244140625
2020-02-16,2020-02-22,-22.4,-236.0,94.0,1.079998779296875
2020-02-23,2020-02-29,-14.975006103515597,-1396.0,-682.0,-6.279998779296875
2020-03-01,2020-03-07,-42.524993896484396,-1357.5,-752.5,-13.200004577636719
2020-03-08,2020-03-14,-11.44000244140625,-3262.5,-2412.5,-19.875
2020-03-15,2020-03-21,-12.55999755859375,-80.0,-1184.0,-10.879998779296875
2020-03-22,2020-03-28,-4.7800048828125,1470.0,160.0,5.6
2020-03-29,2020-04-04,52.9666748046875,1488.0,962.0,21.3
2020-04-05,2020-04-11,-4.9666748046875,553.3333333333334,833.3333333333334,2.3333333333333335
2020-04-12,2020-04-18,-0.639990234375,-1210.0,-560.0,-0.3333333333333333
2020-04-19,2020-04-25,12.699991861979164,896.0,166.0,2.5599975585937615
2020-04-26,2020-05-02,-4.15999755859375,880.0,350.0,1.1000061035156061
2020-05-03,2020-05-09,-21.04000244140625,380.0,-154.0,3.1399963378906364
2020-05-10,2020-05-16,10.04000244140625,0.0,-596.0,1.6800048828124887
2020-05-17,2020-05-23,-9.5,472.0,38.0,4.539996337890625
2020-05-24,2020-05-30,-2.64000244140625,-692.5,320.0,4.625
2020-05-31,2020-06-06,-8.25,384.0,-314.0,-0.32000122070311365
2020-06-07,2020-06-13,10.75999755859375,-325.0,352.5,1.2000045776367045
2020-06-14,2020-06-20,4.0800048828125,960.0,-384.0,-1.820001220703125
2020-06-21,2020-06-27,5.9599967956542965,-588.0,50.0,1.64000244140625
2020-06-28,2020-07-04,-20.7400016784668,-1012.0,-130.00012207031176,-3.0400062561035157
2020-07-05,2020-07-11,-3.04000244140625,-1072.0,-197.99987792968824,0.46000137329102697
2020-07-12,2020-07-18,-0.85999755859375,236.0,278.0,-9.959997558593761
2020-07-19,2020-07-25,6.0500030517578125,-240.0,664.0,10.120001220703125
2020-07-26,2020-08-01,,797.5,360.0,-0.7750015258789062
