first_day_in_week,last_day_in_week,EFNC_main_symb_weekly_mean_diff,LDER.TA_weekly_mean_diff_0.41,OPAL.TA_weekly_mean_diff_0.41,OPAL.TA_weekly_mean_diff_0.41_INT_ZUR.TA_weekly_mean_diff_0.37_corr_0.71,KNFM.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,-14.4,0.03999977111816477,1.3200012207031364,2.9040026855469003,-12.2
2019-03-17,2019-03-23,-49.6,0.04000015258789134,2.1199951171875,3.8159912109375003,-11.0
2019-03-24,2019-03-30,22.4,0.2999996185302713,-0.25999755859375,2.07998046875,-9.2
2019-03-31,2019-04-06,-36.2,0.24000015258789348,7.779998779296875,-46.67999267578125,16.0
2019-04-07,2019-04-13,10.8,0.1,2.660003662109375,19.1520263671875,8.8
2019-04-14,2019-04-20,-4.4,0.1400001525878892,-0.34000244140625,-0.8840063476562501,-8.0
2019-04-21,2019-04-27,-26.6,-0.01999969482421875,1.7,6.8,5.2
2019-04-28,2019-05-04,7.6,-0.020000457763671875,-3.579998779296875,26.491990966796877,-17.0
2019-05-05,2019-05-11,-5.6,-0.059999847412109376,-0.620001220703125,-3.100006103515625,0.0
2019-05-12,2019-05-18,35.4,-0.1400001525878892,-0.020001220703125,0.044002685546875,-7.4
2019-05-19,2019-05-25,-48.4,0.5800003051757798,0.9,-20.88,2.8
2019-05-26,2019-06-01,54.8,0.0,-0.5,5.5,2.2
2019-06-02,2019-06-08,172.6,0.31999969482421875,1.8,-0.36000000000000004,18.4
2019-06-09,2019-06-15,-34.4,0.24000015258789062,-1.0,8.8,3.4
2019-06-16,2019-06-22,36.0,0.6400001525878907,-2.039996337890625,-0.8159985351562501,-9.4
2019-06-23,2019-06-29,63.6,-0.6200004577636719,1.8,9.0,-7.2
2019-06-30,2019-07-06,5.8,0.6800003051757812,4.35999755859375,11.33599365234375,-4.4
2019-07-07,2019-07-13,-0.6,-0.14000015258789061,2.420001220703125,-20.328010253906253,-6.0
2019-07-14,2019-07-20,7.4,1.3400001525878906,-0.379998779296875,5.175581518560657,3.2
2019-07-21,2019-07-27,-21.6,-0.38000030517578126,1.239996337890625,6.968773364275722,4.8
2019-07-28,2019-08-03,-7.2,0.4200004577636719,1.24000244140625,-3.7200073242187504,5.2
2019-08-04,2019-08-10,-91.6,-1.1400001525878907,-0.820001220703125,3.837609716802817,4.8
2019-08-11,2019-08-17,101.4,-0.5599998474121094,-0.1,0.7079992675781273,-4.0
2019-08-18,2019-08-24,-74.2,1.1400001525878891,-6.5,-25.219952392578275,6.2
2019-08-25,2019-08-31,-40.4,0.41999969482422017,-3.0,-69.24001464843744,0.0
2019-09-01,2019-09-07,94.2,0.25999984741210935,3.0,4.800000000000001,13.0
2019-09-08,2019-09-14,53.0,-0.04000015258789062,1.279998779296875,22.271978759765624,2.4
2019-09-15,2019-09-21,-33.4,-0.6749992370605487,0.40000152587890625,-0.20000076293945312,2.5
2019-09-22,2019-09-28,84.5,0.7,-1.8,5.4,2.2
2019-09-29,2019-10-05,-167.33333333333334,0.0,-1.3000030517578125,15.60003662109375,-24.0
2019-10-06,2019-10-12,99.66666666666669,1.266666412353518,0.7000020345052084,1.633338080512153,53.666666666666664
2019-10-13,2019-10-19,13.666666666666664,1.0999997456868489,0.8333333333333334,30.277777777777782,47.333333333333336
2019-10-20,2019-10-26,-11.4,0.09999974568684895,2.6666666666666665,18.666666666666664,-1.6666666666666667
2019-10-27,2019-11-02,-42.4,0.28000030517578123,1.579998779296875,-22.11998291015625,15.8
2019-11-03,2019-11-09,6.4,-1.2,0.720001220703125,7.776013183593751,14.0
2019-11-10,2019-11-16,55.8,0.6599998474121094,0.920001220703125,6.6240087890625,-9.4
2019-11-17,2019-11-23,-6.2,0.6800003051757798,2.579998779296875,-22.187989501953123,-8.4
2019-11-24,2019-11-30,2.8,0.3,0.520001220703125,5.512012939453125,-27.0
2019-12-01,2019-12-07,1.6,-0.28000030517577984,1.1399963378906364,-6.383979492187564,-15.0
2019-12-08,2019-12-14,14.2,0.5199996948242187,-2.0199951171875115,-43.63189453125025,-30.0
2019-12-15,2019-12-21,20.6,-0.01999969482421875,3.339996337890625,3.339996337890625,-3.8
2019-12-22,2019-12-28,-32.8,-0.14000015258789061,1.520001220703125,-0.6080004882812501,9.6
2019-12-29,2020-01-04,24.0,0.8799995422363281,4.9,36.260000000000005,4.0
2020-01-05,2020-01-11,14.6,0.3400009155273409,9.0,-95.39999999999999,2.6
2020-01-12,2020-01-18,48.4,-0.5199996948242159,-0.9400024414062387,3.9480102539062027,6.6
2020-01-19,2020-01-25,12.2,0.4399993896484375,-0.23999633789063637,-3.5519458007814184,1.4
