first_day_in_week,last_day_in_week,ARAD_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.77,BIOV.TA_weekly_mean_diff_0.4,PIU.TA_weekly_mean_diff_0.4,SHOM.TA_weekly_mean_diff_0.4,MTRX.TA_weekly_mean_diff_0.42,SHGR.TA_weekly_mean_diff_0.42,FIBIH.TA_weekly_mean_diff_0.44,ALRPR.TA_weekly_mean_diff_0.54,ALRPR.TA_weekly_mean_diff_0.54_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.72
2019-03-10,2019-03-16,124.0,-0.7920007324218818,1.839996337890625,5.1199951171875,-0.6,3.8,4.6,32.0,64.0,84.48007812500073
2019-03-17,2019-03-23,176.0,3.052798144519329,0.820001220703125,3.4,1.44000244140625,-16.4,27.8,24.0,0.0,0.0
2019-03-24,2019-03-30,42.0,-0.857991943359375,1.64000244140625,0.75999755859375,3.3,10.8,-8.6,-54.0,46.0,-11.959887695312501
2019-03-31,2019-04-06,46.0,39.36677482910454,0.6,15.64000244140625,5.05999755859375,43.2,15.2,24.0,12.0,93.3599853515625
2019-04-07,2019-04-13,-22.0,16.864429711923005,0.879998779296875,-13.0,6.34000244140625,60.0,1.0,118.0,-14.0,-37.24005126953125
2019-04-14,2019-04-20,48.0,-0.8432056396454574,-0.479998779296875,7.7,2.479998779296875,-24.0,-1.0,-38.0,90.0,-30.600219726562504
2019-04-21,2019-04-27,-334.0,3.365997924804687,-0.320001220703125,2.680004882812477,1.979998779296875,-1.0,4.4,22.0,14.0,23.8
2019-04-28,2019-05-04,232.0,17.899993896484375,1.4,-10.2,-5.0,-46.0,-14.4,-88.0,-70.0,250.59991455078125
2019-05-05,2019-05-11,8.0,-2.8644063964858653,-0.25999755859375,1.7599975585937728,4.620001220703125,14.6,3.4,6.0,36.0,-22.320043945312502
2019-05-12,2019-05-18,92.0,0.032402001954615116,-1.160003662109375,-6.84000244140625,-1.620001220703125,24.4,-3.2,38.0,18.0,-0.36002197265624997
