first_day_in_week,last_day_in_week,ARAD_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.77,BIOV.TA_weekly_mean_diff_0.4,PIU.TA_weekly_mean_diff_0.4,SHOM.TA_weekly_mean_diff_0.4,MTRX.TA_weekly_mean_diff_0.42,SHGR.TA_weekly_mean_diff_0.42,FIBIH.TA_weekly_mean_diff_0.44,ALRPR.TA_weekly_mean_diff_0.54,ALRPR.TA_weekly_mean_diff_0.54_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.72
2019-05-19,2019-05-25,-40.0,7.866002197265626,0.779998779296875,-8.2800048828125,8.74000244140625,48.0,-17.8,-14.0,64.0,57.6
2019-05-26,2019-06-01,-40.0,3.270001220703125,-0.879998779296875,-2.35999755859375,-6.54000244140625,38.6,6.8,-56.0,-164.0,82.0
2019-06-02,2019-06-08,2.0,8.64,0.379998779296875,-12.7199951171875,4.8,-24.6,3.6,16.0,-30.0,-54.0
2019-06-09,2019-06-15,66.0,3.820001220703125,-2.1,2.5,-3.820001220703125,-7.0,8.0,14.0,148.0,-148.0
2019-06-16,2019-06-22,84.0,1.3055901855602863,-1.7,0.7,-0.639996337890625,-27.8,3.4,-24.0,90.0,-183.59967041015628
2019-06-23,2019-06-29,92.0,6.04799560546875,2.920001220703125,0.27999267578125,3.35999755859375,15.8,-2.2,62.0,-20.0,-36.0
2019-06-30,2019-07-06,-142.0,4.621586767584135,-3.420001220703125,9.22000732421875,1.0599975585937613,92.6,-6.0,32.0,162.0,706.3196044921875
2019-07-07,2019-07-13,-68.0,-1.2100006103515626,-2.3,-0.34000244140625,-0.5,-2.6,-5.2,-56.0,66.0,159.72008056640627
2019-07-14,2019-07-20,-70.0,0.24319782715291216,-4.139996337890636,1.95999755859375,-0.6399963378906364,-30.4,4.0,-66.0,-238.0,90.43970947265625
2019-07-21,2019-07-27,72.0,7.390375146493316,1.4599975585937728,5.1800048828125,5.95999755859375,7.4,-14.8,32.0,-34.0,-42.159875488281244
2019-07-28,2019-08-03,696.0,2.4056077636778355,2.9400024414062385,-5.82000732421875,1.94000244140625,15.0,-10.6,92.0,76.0,94.240185546875
2019-08-04,2019-08-10,-148.0,3.7064065185561774,-3.560003662109375,-3.47999267578125,-4.520001220703125,-14.0,-0.2,-20.0,156.0,-127.9201904296875
2019-08-11,2019-08-17,752.0,-0.114000244140625,-0.05999755859375,4.07999267578125,1.14000244140625,-12.0,-3.4,-14.0,-114.0,11.4
2019-08-18,2019-08-24,300.0,-39.7799682617189,-0.9,32.3800048828125,6.119995117187523,57.2,17.4,66.0,80.0,-520.0
2019-08-25,2019-08-31,-644.0,-7.740014648437363,1.9200012207031136,-5.8,2.5800048828124544,-25.0,11.2,-36.0,34.0,-102.0
2019-09-01,2019-09-07,14.0,18.479992675781318,-0.32000122070311365,-2.7,6.159997558593773,-8.8,-12.6,-34.0,0.0,0.0
2019-09-08,2019-09-14,-22.5,5.32479179687798,0.4799987792968864,6.5,4.15999755859375,-31.6,8.4,36.0,36.0,46.0799560546875
2019-09-15,2019-09-21,214.0,-0.25999855040572584,0.125,28.0,-0.649993896484375,66.5,-4.5,42.5,95.0,38.000144958496094
2019-09-22,2019-09-28,-155.0,3.49200439453125,-1.5200012207031364,-8.6,-1.94000244140625,56.4,5.2,62.0,-10.0,18.0
2019-09-29,2019-10-05,193.33333333333331,-6.239998779259622,-3.149993896484375,-5.5,4.79998779296875,23.0,-6.0,-25.0,-20.0,26.00006103515625
2019-10-06,2019-10-12,143.33333333333334,4.830016886401508,3.6666666666666665,25.333333333333332,6.900004069010417,34.666666666666664,8.333333333333334,126.66666666666667,250.0,175.0005086263021
2019-10-13,2019-10-19,183.33333333333331,1.833343505859375,3.466664632161477,2.6666666666666665,2.20001220703125,32.666666666666664,17.333333333333332,0.0,-6.666666666666667,-5.555555555555556
2019-10-20,2019-10-26,186.0,11.022189670138888,-2.466664632161477,6.0,4.133321126302083,58.0,-7.666666666666667,20.0,-90.0,-240.0
2019-10-27,2019-11-02,16.0,12.734786303713918,-1.25999755859375,1.4,8.05999755859375,26.2,-5.6,6.0,20.0,31.5999755859375
2019-11-03,2019-11-09,-22.0,4.809611669927835,-1.74000244140625,15.2,6.6800048828125,-77.8,-1.8,8.0,-102.0,-73.44012451171875
2019-11-10,2019-11-16,316.0,4.986402124017476,-1.2399993896484376,12.4,5.4199951171875,117.6,-6.2,80.0,-54.0,-49.68006591796875
2019-11-17,2019-11-23,-132.0,12.332406762689352,2.0800018310546875,-8.6,4.7800048828125,45.2,2.2,12.0,52.0,134.1599365234375
2019-11-24,2019-11-30,-258.0,-3.1200073242187503,6.439996337890625,10.2,-6.0,-104.2,-21.6,72.0,132.0,68.64016113281251
2019-12-01,2019-12-07,100.0,-6.589184399396247,-1.279998779296875,-13.6,-5.7800048828125,43.8,-1.0,-28.0,10.0,11.399963378906364
2019-12-08,2019-12-14,66.0,10.301975097656308,1.04000244140625,6.8,-5.1,49.4,-0.4,-26.0,20.0,-40.39990234375023
2019-12-15,2019-12-21,58.0,44.22155966795981,1.239996337890625,-19.0,13.24000244140625,-26.0,13.0,-56.0,68.0,227.1197509765625
2019-12-22,2019-12-28,100.0,5.59361191406846,1.660003662109375,5.0,3.6800048828125,29.0,-1.4,-2.0,-42.0,-63.84005126953125
2019-12-29,2020-01-04,158.0,59.19196411132813,-1.8800048828125,10.8,12.07999267578125,77.2,5.0,-16.0,60.0,294.0
2020-01-05,2020-01-11,266.0,207.0000000000002,0.64000244140625,3.4,23.00000000000002,-11.0,7.8,-14.0,44.0,396.0
2020-01-12,2020-01-18,460.0,10.095617040991684,1.3,2.6,-10.739990234375023,106.6,-4.2,-8.0,418.0,-392.9210205078078
2020-01-19,2020-01-25,-286.0,0.20159750975669385,-1.3,-0.2,-0.84000244140625,3.4,2.4,-30.0,-84.0,20.159692382813457
2020-01-26,2020-02-01,-78.0,11.559620825201273,-1.75999755859375,-16.6,-3.3800048828125,-101.2,-9.8,-36.0,-220.0,752.4002685546875
2020-02-02,2020-02-08,180.0,-32.82764267578704,-1.820001220703125,-17.6,15.34000244140625,-70.4,-17.2,124.0,-62.0,132.6801513671868
2020-02-09,2020-02-15,158.0,-15.908804003894256,-0.34000244140623864,13.6,-6.5199951171875,-1.0,14.8,-166.0,-30.0,-73.20007324218716
2020-02-16,2020-02-22,-434.0,103.72633706055582,0.4999999999999886,-6.0,19.27999267578125,18.4,-8.8,28.0,166.0,893.0797973632812
2020-02-23,2020-02-29,-280.0,57.11999999999999,0.560003662109375,-14.8,-20.4,-108.0,-20.0,-140.0,-438.0,1226.3999999999999
2020-03-01,2020-03-07,-2525.0,859.5624351501465,-8.925003051757812,-33.8999938964844,-40.44999694824219,-163.25,-31.074996948242188,-210.75,-890.0,18912.5
2020-03-08,2020-03-14,-792.0,1899.3875465393062,-16.549999237060547,-71.30000305175778,-62.275001525878906,-328.0,-38.67500305175781,-485.5,-1003.0,30591.499999999993
2020-03-15,2020-03-21,1390.0,30.258380395509313,-4.380001831054687,-6.85999755859375,-2.179998779296875,127.0,17.15999755859375,225.2,-32.6,452.4879602050783
2020-03-22,2020-03-28,422.0,412.09602294921876,5.0800018310546875,11.039990234375,37.6,95.6,35.84000244140625,116.0,376.8,4129.728229980468
2020-03-29,2020-04-04,710.0,-39.41280314940967,11.539999389648438,37.32000732421875,-6.44000244140625,77.4,3.4,50.8,184.2,1127.3036627197287
2020-04-05,2020-04-11,-710.0,26.293394910999254,-4.799997965494801,4.666666666666667,11.599995930989584,93.0,-7.666666666666667,65.33333333333333,-122.66666666666667,-278.0451931423588
2020-04-12,2020-04-18,-20.0,-3.333409627278409,4.266662597656269,25.466654459635453,12.5,2.6666666666666665,8.0,-190.66666666666666,-285.0,76.00173950194772
2020-04-19,2020-04-25,600.0,17.46325068362045,-1.9199981689453183,3.3,10.52000732421875,86.8,19.8,94.2,36.2,60.09213256835897
2020-04-26,2020-05-02,-78.0,164.60864922424986,3.899998982747396,16.46667480468746,27.133321126302082,33.0,12.333333333333334,163.33333333333334,324.0,1965.5980224609375
2020-05-03,2020-05-09,-128.0,-49.60356247559189,-2.2,4.2,-9.2199951171875,-77.0,-10.2,-104.8,-190.2,-1023.2757678222655
2020-05-10,2020-05-16,-334.0,179.72152402341365,-0.6799987792968807,-10.6,-23.2800048828125,-20.2,-15.8,-135.8,-251.2,1939.2627734374998
2020-05-17,2020-05-23,187.5,-2.7600000000000002,0.019998168945318185,3.8,13.8,128.2,14.0,62.6,81.4,-16.28
2020-05-24,2020-05-30,-388.0,18.393722534179688,-2.424999237060547,-19.875,-8.17498779296875,208.5,-11.5,-17.5,0.0,-0.0
2020-05-31,2020-06-06,15.0,0.5151950195431709,0.4399993896484375,-6.080004882812477,1.1199951171875,-36.8,2.2,-49.8,-16.0,-7.3599609375
2020-06-07,2020-06-13,24.0,-15.270581741351634,1.4500007629394531,7.725006103515597,-11.524993896484375,59.5,-11.75,-4.5,181.25,240.15569686889648
2020-06-14,2020-06-20,-454.0,3.7152360351383686,-1.1399993896484375,12.0,-0.72000732421875,50.0,-22.6,-10.8,110.4,-569.66373046875
2020-06-21,2020-06-27,553.9998779296882,19.571198193356363,2.079998779296875,-7.2,-5.55999755859375,-103.0,9.2,-81.8,-109.4,385.0881335449213
2020-06-28,2020-07-04,-349.99987792968824,-47.150006885528775,-0.2200000762939453,-0.9000022888183594,11.500001144409179,-2.6,3.400002288818359,76.80001831054688,-70.39993286132812,288.6397381591669
2020-07-05,2020-07-11,374.0,21.23518669585683,0.02000007629394531,-4.399997711181641,-13.440003585815429,20.0,-3.2000022888183595,-141.80001831054688,-21.800067138671874,34.44407530965878
2020-07-12,2020-07-18,-262.0,1.5576070312410668,7.060000610351563,6.14000244140625,1.32000732421875,42.0,45.0,38.6,3.2,3.7759960937500185
2020-07-19,2020-07-25,212.5,16.93438613280649,2.120001220703114,-1.4,8.639990234375,58.0,16.8,-65.6,-2.6,-5.096001586914048
2020-07-26,2020-08-01,,-4.631260871887173,-0.02500152587889204,22.949996948242188,-4.75,157.75,-17.5,64.5,-123.0,-119.92528152465732
