first_day_in_week,last_day_in_week,AFPR_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.39_INT_OPAL.TA_weekly_mean_diff_0.48_corr_0.74,OPAL.TA_weekly_mean_diff_0.48_INT_SHOM.TA_weekly_mean_diff_0.44_corr_0.77
2019-03-10,2019-03-16,24.0,4.593594580069254,-0.7920007324218818
2019-03-17,2019-03-23,74.0,-1.2719970703124999,3.052798144519329
2019-03-24,2019-03-30,-10.0,1.975981445312503,-0.857991943359375
2019-03-31,2019-04-06,0.0,54.14877250976852,39.36677482910454
2019-04-07,2019-04-13,-4.2,-2.660003662109375,16.864429711923005
2019-04-14,2019-04-20,6.2,-1.2376097168028433,-0.8432056396454574
2019-04-21,2019-04-27,-55.2,4.794012451171836,3.365997924804687
2019-04-28,2019-05-04,91.2,0.3579998779296875,17.899993896484375
2019-05-05,2019-05-11,-16.0,1.9840039062500001,-2.8644063964858653
2019-05-12,2019-05-18,-6.0,0.02440163575112774,0.032402001954615116
2019-05-19,2019-05-25,0.0,2.303997802734355,7.866002197265626
2019-05-26,2019-06-01,-23.6,6.569998168945313,3.270001220703125
2019-06-02,2019-06-08,41.6,6.91200439453125,8.64
2019-06-09,2019-06-15,100.0,3.620001220703125,3.820001220703125
2019-06-16,2019-06-22,170.0,-7.7519860839843755,1.3055901855602863
2019-06-23,2019-06-29,-92.0,-5.616002197265625,6.04799560546875
2019-06-30,2019-07-06,14.0,25.20078056640933,4.621586767584135
2019-07-07,2019-07-13,8.0,4.598002319335937,-1.2100006103515626
2019-07-14,2019-07-20,-46.0,-0.12160239256917564,0.24319782715291216
2019-07-21,2019-07-27,-4.0,3.0503879638761,7.390375146493316
2019-07-28,2019-08-03,56.0,-4.662406152337761,2.4056077636778355
2019-08-04,2019-08-10,-54.0,2.9192073486372827,3.7064065185561774
2019-08-11,2019-08-17,202.0,0.047999877929687504,-0.114000244140625
2019-08-18,2019-08-24,-74.0,1.8200317382811761,-39.7799682617189
2019-08-25,2019-08-31,-28.0,16.439996337890662,-7.740014648437363
2019-09-01,2019-09-07,36.0,14.100000000000001,18.479992675781318
2019-09-08,2019-09-14,-5.0,5.632002441398799,5.32479179687798
2019-09-15,2019-09-21,116.0,-1.1700056839035937,-0.25999855040572584
2019-09-22,2019-09-28,-150.0,1.944008789062439,3.49200439453125
2019-09-29,2019-10-05,33.333333333333336,11.37502670288086,-6.239998779259622
2019-10-06,2019-10-12,160.0,6.67336127389635,4.830016886401508
2019-10-13,2019-10-19,43.33333333333334,7.666659884982638,1.833343505859375
2019-10-20,2019-10-26,4.0,2.044433593750101,11.022189670138888
2019-10-27,2019-11-02,-42.0,9.82760397948321,12.734786303713918
2019-11-03,2019-11-09,-92.0,5.155206982418894,4.809611669927835
2019-11-10,2019-11-16,114.0,-3.16480644531548,4.986402124017476
2019-11-17,2019-11-23,-18.0,7.275583959966898,12.332406762689352
2019-11-24,2019-11-30,22.0,-2.2360052490234374,-3.1200073242187503
2019-12-01,2019-12-07,252.0,2.5535945800692095,-6.589184399396247
2019-12-08,2019-12-14,-82.0,-4.282404443323636,10.301975097656308
2019-12-15,2019-12-21,168.0,2.003997802734375,44.22155966795981
2019-12-22,2019-12-28,72.0,2.5535909179598093,5.59361191406846
2019-12-29,2020-01-04,54.0,33.02601196289063,59.19196411132813
2020-01-05,2020-01-11,-28.0,312.66002197265624,207.0000000000002
2020-01-12,2020-01-18,2.0,-15.077641455083882,10.095617040991684
2020-01-19,2020-01-25,-128.0,-0.3311931885034058,0.20159750975669385
2020-01-26,2020-02-01,90.0,62.1072138183564,11.559620825201273
2020-02-02,2020-02-08,42.0,-35.95204101562481,-32.82764267578704
2020-02-09,2020-02-15,18.0,54.16805419921849,-15.908804003894256
2020-02-16,2020-02-22,-52.0,94.687978515625,103.72633706055582
2020-02-23,2020-02-29,-107.5,108.91999999999999,57.11999999999999
2020-03-01,2020-03-07,-945.0,597.65625,859.5624351501465
2020-03-08,2020-03-14,-361.4,2314.1874999999995,1899.3875465393062
2020-03-15,2020-03-21,171.4,185.43674980469055,30.258380395509313
2020-03-22,2020-03-28,-9.0,157.8240087890625,412.09602294921876
2020-03-29,2020-04-04,271.6666666666667,138.67914356689928,-39.41280314940967
2020-04-05,2020-04-11,30.0,86.88912285698713,26.293394910999254
2020-04-12,2020-04-18,-107.8,1.3333638509113634,-3.333409627278409
2020-04-19,2020-04-25,299.6666666666667,28.220062255859183,17.46325068362045
2020-04-26,2020-05-02,-30.0,154.0932029893415,164.60864922424986
2020-05-03,2020-05-09,-264.8,-21.735208203122017,-49.60356247559189
2020-05-10,2020-05-16,-5.6,120.27756162106989,179.72152402341365
2020-05-17,2020-05-23,172.75,-3.6840014648437505,-2.7600000000000002
2020-05-24,2020-05-30,-53.6,1.0687637329101562,18.393722534179688
2020-05-31,2020-06-06,-12.25,4.3239770507812505,0.5151950195431709
2020-06-07,2020-06-13,-74.6,27.72556518553756,-15.270581741351634
2020-06-14,2020-06-20,-195.8,-57.79197265624999,3.7152360351383686
2020-06-21,2020-06-27,93.20001220703124,29.568010253906206,19.571198193356363
2020-06-28,2020-07-04,-140.40001220703124,14.760000686645508,-47.150006885528775
2020-07-05,2020-07-11,124.4,5.940790835574757,21.23518669585683
2020-07-12,2020-07-18,-101.2,-7.36319526366893,1.5576070312410668
2020-07-19,2020-07-25,-82.25,28.616008911132727,16.93438613280649
2020-07-26,2020-08-01,,8.77502059936517,-4.631260871887173
