first_day_in_week,last_day_in_week,CHAM_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.36,TMRP.TA_weekly_mean_diff_-0.36
2019-03-10,2019-03-16,0.849998474121108,0.0,3.8
2019-03-17,2019-03-23,2.6750030517578125,26.0,-6.0
2019-04-14,2019-04-20,11.633331298828125,56.0,-50.4
2019-04-28,2019-05-04,1.920001220703125,-96.0,-6.8
2019-05-19,2019-05-25,-0.9800018310546876,40.0,5.0
2019-05-26,2019-06-01,1.1800018310546876,86.0,-8.8
2019-06-02,2019-06-08,0.0,86.0,8.6
2019-06-09,2019-06-15,0.8399993896484375,44.0,-0.8
2019-06-16,2019-06-22,-0.5799987792968807,42.0,3.8
2019-06-23,2019-06-29,0.9599975585937612,48.0,-17.8
2019-06-30,2019-07-06,-1.6000000000000056,-44.0,-1.8
2019-07-07,2019-07-13,-0.9,-68.0,7.4
2019-07-14,2019-07-20,0.94000244140625,30.0,-22.0
2019-07-21,2019-07-27,0.3499984741210937,76.0,1.6
2019-07-28,2019-08-03,-1.4,158.0,5.8
2019-08-11,2019-08-17,0.1,-40.0,-9.700000000000022
2019-08-18,2019-08-24,0.7,278.0,2.560009765624977
2019-08-25,2019-08-31,2.0,-212.0,7.479992675781273
2019-09-01,2019-09-07,-2.7750015258789062,-210.0,-14.55999755859375
2019-09-22,2019-09-28,-1.94000244140625,282.0,-12.74000244140625
2019-10-27,2019-11-02,1.9,-8.0,-2.9800048828124774
2019-11-03,2019-11-09,0.0,-220.0,-3.6
2019-12-08,2019-12-14,1.720001220703125,166.0,-4.8800048828125
2019-12-15,2019-12-21,-0.7600006103515625,124.0,5.42000732421875
2019-12-22,2019-12-28,1.1600006103515623,-68.0,-10.4
2019-12-29,2020-01-04,-1.2800018310546877,106.0,7.05999755859375
2020-01-05,2020-01-11,-1.4333343505859375,104.0,-12.64000244140625
2020-03-01,2020-03-07,-1.2999979654947915,-472.5,-2.5999984741210938
2020-03-08,2020-03-14,-2.033335367838541,-1332.5,-38.974998474121094
2020-03-22,2020-03-28,8.739999389648437,618.0,-0.5199996948242187
2020-03-29,2020-04-04,-1.4333343505859282,342.0,38.51999969482422
2020-04-05,2020-04-11,-4.033330281575529,-240.0,13.5
2020-04-12,2020-04-18,0.0,43.333333333333336,-8.833333333333334
2020-04-19,2020-04-25,-1.5333353678385415,-224.0,-15.4
2020-04-26,2020-05-02,-1.0199981689453126,316.6666666666667,-2.600001017252604
2020-05-03,2020-05-09,-3.5600006103515627,-394.0,-5.6
2020-05-10,2020-05-16,-0.1,186.0,1.820001220703125
2020-05-17,2020-05-23,0.0,-28.0,1.779998779296875
2020-05-24,2020-05-30,2.7999979654947915,210.0,1.174999237060554
2020-05-31,2020-06-06,0.8,268.0,2.2200012207031192
2020-06-21,2020-06-27,0.0,-138.0,-7.6
2020-06-28,2020-07-04,-0.6399993896484375,-352.0,0.15999946594239417
2020-07-05,2020-07-11,-0.320001220703125,-94.0,-2.100001907348633
2020-07-12,2020-07-18,,298.0,5.5
