first_day_in_week,last_day_in_week,XTLB_main_symb_weekly_mean_diff,XTLB.TA_weekly_mean_diff_-0.65
2019-03-10,2019-03-16,0.0,0.003999993205070496
2019-03-17,2019-03-23,-0.008000001311302185,0.0
2019-03-24,2019-03-30,-0.0059999972581863395,-0.008000001311302185
2019-03-31,2019-04-06,0.0059999972581863395,-0.00599999725818634
2019-04-07,2019-04-13,0.0,0.00599999725818634
2019-04-14,2019-04-20,1.492000040411949,0.0
2019-04-21,2019-04-27,-1.492000040411949,1.492000040411949
2019-04-28,2019-05-04,1.4719999641180042,-1.492000040411949
2019-05-05,2019-05-11,-1.4879999667406083,1.4719999641180042
2019-05-12,2019-05-18,0.008000001311302185,-1.4879999667406085
2019-05-19,2019-05-25,-0.02599999308586121,0.008000001311302185
2019-05-26,2019-06-01,0.011999994516372679,-0.025999993085861206
2019-06-02,2019-06-08,-0.0020000040531158447,0.01199999451637268
2019-06-09,2019-06-15,0.0,-0.0020000040531158447
2019-06-16,2019-06-22,-0.0059999972581863395,0.0
2019-06-23,2019-06-29,0.0040000081062316895,-0.00599999725818634
2019-06-30,2019-07-06,0.0,0.0040000081062316895
2019-07-07,2019-07-13,-0.0020000040531158447,0.0
2019-07-14,2019-07-20,-0.0059999972581863395,-0.0020000040531158447
2019-07-21,2019-07-27,0.0,-0.00599999725818634
2019-07-28,2019-08-03,0.0,0.0
2019-08-04,2019-08-10,-0.0020000040531158447,0.0
2019-08-11,2019-08-17,-0.0020000040531158447,-0.0020000040531158447
2019-08-18,2019-08-24,0.0020000040531158447,-0.0020000040531158447
2019-08-25,2019-08-31,-0.0020000040531158447,0.0020000040531158447
2019-09-01,2019-09-07,-0.0039999932050704965,-0.0020000040531158447
2019-09-08,2019-09-14,0.0,-0.003999993205070496
2019-09-15,2019-09-21,-0.008000001311302163,0.0
2019-09-22,2019-09-28,-0.03000000491738325,-0.008000001311302163
2019-09-29,2019-10-05,-0.0033333276708920802,-0.03000000491738325
2019-10-06,2019-10-12,0.00999999543031057,-0.00333332767089208
2019-10-13,2019-10-19,-0.016666663189729054,0.009999995430310568
2019-10-20,2019-10-26,0.0,-0.016666663189729054
2019-10-27,2019-11-02,0.0,0.0
2019-11-03,2019-11-09,-0.0020000040531158447,0.0
2019-11-10,2019-11-16,-0.001999996602535259,-0.0020000040531158447
2019-11-17,2019-11-23,0.0,-0.001999996602535259
2019-11-24,2019-11-30,-0.002000004053115856,0.0
2019-12-01,2019-12-07,-0.0049999915063381065,-0.002000004053115856
2019-12-08,2019-12-14,-0.003333340088526389,-0.004999991506338106
2019-12-22,2019-12-28,0.008000001311302175,-0.0033333400885263895
2019-12-29,2020-01-04,-0.008000001311302175,0.008000001311302175
2020-01-05,2020-01-11,0.004000000655651104,-0.008000001311302175
2020-01-12,2020-01-18,0.00400000065565107,0.004000000655651104
2020-01-19,2020-01-25,0.004000000655651104,0.00400000065565107
2020-01-26,2020-02-01,0.015999995172023794,0.004000000655651104
2020-02-02,2020-02-08,-0.015999995172023794,0.015999995172023794
2020-02-09,2020-02-15,0.0059999972581863395,-0.015999995172023794
2020-02-16,2020-02-22,0.6390000302344561,0.00599999725818634
2020-02-23,2020-02-29,0.19374996377155185,0.6390000302344561
2020-03-01,2020-03-07,-1.037499999627471,0.19374996377155185
2020-03-08,2020-03-14,0.004000000655651115,-1.037499999627471
2020-03-15,2020-03-21,-0.002000004053115856,0.004000000655651115
2020-03-22,2020-03-28,0.006000004708766936,-0.002000004053115856
2020-03-29,2020-04-04,0.0033333276708920802,0.006000004708766937
2020-04-05,2020-04-11,-0.0033333276708920802,0.00333332767089208
2020-04-12,2020-04-18,0.004000000655651093,-0.00333332767089208
2020-04-19,2020-04-25,0.006666667759418488,0.0040000006556510925
2020-04-26,2020-05-02,0.009999997913837422,0.0066666677594184875
2020-05-03,2020-05-09,-0.008000001311302175,0.009999997913837422
2020-05-10,2020-05-16,0.005999997258186318,-0.008000001311302175
2020-05-17,2020-05-23,0.0075000058859586985,0.005999997258186318
2020-05-24,2020-05-30,-0.010000001639127759,0.007500005885958699
2020-05-31,2020-06-06,,-0.010000001639127759
