first_day_in_week,last_day_in_week,MLTM_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.37,ALRPR.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,316.0,3.8,64.0
2019-03-17,2019-03-23,-16.0,-16.4,0.0
2019-03-24,2019-03-30,170.0,10.8,46.0
2019-03-31,2019-04-06,580.0,43.2,12.0
2019-04-07,2019-04-13,290.0,60.0,-14.0
2019-04-14,2019-04-20,-16.0,-24.0,90.0
2019-04-21,2019-04-27,-618.0,-1.0,14.0
2019-04-28,2019-05-04,116.0,-46.0,-70.0
2019-05-05,2019-05-11,140.0,14.6,36.0
2019-05-12,2019-05-18,1066.0,24.4,18.0
2019-05-19,2019-05-25,-232.0,48.0,64.0
2019-05-26,2019-06-01,-158.0,38.6,-164.0
2019-06-02,2019-06-08,-526.0,-24.6,-30.0
2019-06-09,2019-06-15,380.0,-7.0,148.0
2019-06-16,2019-06-22,28.0,-27.8,90.0
2019-06-23,2019-06-29,156.0,15.8,-20.0
2019-06-30,2019-07-06,-2.0,92.6,162.0
2019-07-07,2019-07-13,-334.0,-2.6,66.0
2019-07-14,2019-07-20,-46.0,-30.4,-238.0
2019-07-21,2019-07-27,54.0,7.4,-34.0
2019-07-28,2019-08-03,-146.0,15.0,76.0
2019-08-04,2019-08-10,380.0,-14.0,156.0
2019-08-11,2019-08-17,2310.0,-12.0,-114.0
2019-08-18,2019-08-24,72.0,57.2,80.0
2019-08-25,2019-08-31,-114.0,-25.0,34.0
2019-09-01,2019-09-07,-476.0,-8.8,0.0
2019-09-08,2019-09-14,145.0,-31.6,36.0
2019-09-15,2019-09-21,-120.0,66.5,95.0
2019-09-22,2019-09-28,-245.0,56.4,-10.0
2019-09-29,2019-10-05,916.6666666666665,23.0,-20.0
2019-10-06,2019-10-12,500.0,34.666666666666664,250.0
2019-10-13,2019-10-19,380.0,32.666666666666664,-6.666666666666667
2019-10-20,2019-10-26,120.0,58.0,-90.0
2019-10-27,2019-11-02,-418.0,26.2,20.0
2019-11-03,2019-11-09,312.0,-77.8,-102.0
2019-11-10,2019-11-16,1104.0,117.6,-54.0
2019-11-17,2019-11-23,52.0,45.2,52.0
2019-11-24,2019-11-30,-182.0,-104.2,132.0
2019-12-01,2019-12-07,32.0,43.8,10.0
2019-12-08,2019-12-14,116.0,49.4,20.0
2019-12-15,2019-12-21,152.0,-26.0,68.0
2019-12-22,2019-12-28,408.0,29.0,-42.0
2019-12-29,2020-01-04,220.0,77.2,60.0
2020-01-05,2020-01-11,-78.0,-11.0,44.0
2020-01-12,2020-01-18,1782.0,106.6,418.0
2020-01-19,2020-01-25,-566.0,3.4,-84.0
2020-01-26,2020-02-01,604.0,-101.2,-220.0
2020-02-02,2020-02-08,-400.0,-70.4,-62.0
2020-02-09,2020-02-15,-236.0,-1.0,-30.0
2020-02-16,2020-02-22,-1396.0,18.4,166.0
2020-02-23,2020-02-29,-1357.5,-108.0,-438.0
2020-03-01,2020-03-07,-3262.5,-163.25,-890.0
2020-03-08,2020-03-14,-80.0,-328.0,-1003.0
2020-03-15,2020-03-21,1470.0,127.0,-32.6
2020-03-22,2020-03-28,1488.0,95.6,376.8
2020-03-29,2020-04-04,553.3333333333334,77.4,184.2
2020-04-05,2020-04-11,-1210.0,93.0,-122.66666666666667
2020-04-12,2020-04-18,896.0,2.6666666666666665,-285.0
2020-04-19,2020-04-25,880.0,86.8,36.2
2020-04-26,2020-05-02,380.0,33.0,324.0
2020-05-03,2020-05-09,0.0,-77.0,-190.2
2020-05-10,2020-05-16,472.0,-20.2,-251.2
2020-05-17,2020-05-23,-692.5,128.2,81.4
2020-05-24,2020-05-30,384.0,208.5,0.0
2020-05-31,2020-06-06,-325.0,-36.8,-16.0
2020-06-07,2020-06-13,960.0,59.5,181.25
2020-06-14,2020-06-20,-588.0,50.0,110.4
2020-06-21,2020-06-27,-1012.0,-103.0,-109.4
2020-06-28,2020-07-04,-1072.0,-2.6,-70.39993286132812
2020-07-05,2020-07-11,236.0,20.0,-21.800067138671874
2020-07-12,2020-07-18,-240.0,42.0,3.2
2020-07-19,2020-07-25,797.5,58.0,-2.6
2020-07-26,2020-08-01,,157.75,-123.0
