first_day_in_week,last_day_in_week,NSTR_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.54_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.72,AZRM.TA_weekly_mean_diff_0.4_INT_FIBIH.TA_weekly_mean_diff_0.44_corr_0.75
2019-03-10,2019-03-16,86.0,84.48007812500073,145.2798828125
2019-03-17,2019-03-23,12.8,0.0,128.16005859375002
2019-03-24,2019-03-30,2.4,-11.959887695312501,105.84019775390564
2019-03-31,2019-04-06,72.4,93.3599853515625,-71.03994140625028
2019-04-07,2019-04-13,1.8,-37.24005126953125,481.4398559570312
2019-04-14,2019-04-20,11.0,-30.600219726562504,-16.7200927734375
2019-04-21,2019-04-27,-62.0,23.8,23.3199462890625
2019-04-28,2019-05-04,-25.2,250.59991455078125,322.07978515625
2019-05-05,2019-05-11,-5.2,-22.320043945312502,-8.160021972656182
2019-05-12,2019-05-18,25.8,-0.36002197265624997,19.76004638671832
2019-05-19,2019-05-25,23.6,57.6,-0.28001708984375
2019-05-26,2019-06-01,-28.2,82.0,80.64013671874936
2019-06-02,2019-06-08,10.0,-54.0,-4.159960937500182
2019-06-09,2019-06-15,28.0,-148.0,11.7600341796875
2019-06-16,2019-06-22,-18.0,-183.59967041015628,4.800000000000001
2019-06-23,2019-06-29,-13.8,-36.0,414.15992431640626
2019-06-30,2019-07-06,7.0,706.3196044921875,527.3599609375
2019-07-07,2019-07-13,-14.6,159.72008056640627,-313.59999999999997
2019-07-14,2019-07-20,108.6,90.43970947265625,-63.359838867189005
2019-07-21,2019-07-27,42.8,-42.159875488281244,-46.71992187500073
2019-07-28,2019-08-03,90.0,94.240185546875,732.3197753906251
2019-08-04,2019-08-10,2.0,-127.9201904296875,42.0
2019-08-11,2019-08-17,129.2,11.4,-2.8000000000000003
2019-08-18,2019-08-24,-92.2,-520.0,673.1999999999999
2019-08-25,2019-08-31,0.2,-102.0,302.40000000000003
2019-09-01,2019-09-07,-45.2,0.0,-76.16008300781249
2019-09-08,2019-09-14,49.75,46.0799560546875,419.75991210937497
2019-09-15,2019-09-21,18.4,38.000144958496094,-206.1246109008789
2019-09-22,2019-09-28,-55.0,18.0,-16.12060546875
2019-09-29,2019-10-05,16.333333333333332,26.00006103515625,197.49984741210938
2019-10-06,2019-10-12,33.333333333333336,175.0005086263021,768.4449598524305
2019-10-13,2019-10-19,-33.333333333333336,-5.555555555555556,0.0
2019-10-20,2019-10-26,30.0,-240.0,-68.00008138020833
2019-10-27,2019-11-02,14.2,31.5999755859375,-1.7999999999999998
2019-11-03,2019-11-09,17.2,-73.44012451171875,-53.6
2019-11-10,2019-11-16,110.6,-49.68006591796875,-281.599609375
2019-11-17,2019-11-23,-6.8,134.1599365234375,40.0798828125
2019-11-24,2019-11-30,-5.2,68.64016113281251,629.28017578125
2019-12-01,2019-12-07,71.8,11.399963378906364,189.279931640625
2019-12-08,2019-12-14,-18.0,-40.39990234375023,-158.6
2019-12-15,2019-12-21,2.6,227.1197509765625,-190.4
2019-12-22,2019-12-28,3.6,-63.84005126953125,-12.639990234375
2019-12-29,2020-01-04,16.8,294.0,-14.080078125
2020-01-05,2020-01-11,157.2,396.0,-93.23996582031249
2020-01-12,2020-01-18,46.0,-392.9210205078078,-81.12001953125
2020-01-19,2020-01-25,-108.4,20.159692382813457,-225.0
2020-01-26,2020-02-01,156.4,752.4002685546875,2.159912109375
2020-02-02,2020-02-08,109.4,132.6801513671868,3132.2396972656247
2020-02-09,2020-02-15,34.6,-73.20007324218716,1414.319189453129
2020-02-16,2020-02-22,-268.2,893.0797973632812,138.31972656250127
2020-02-23,2020-02-29,-187.5,1226.3999999999999,2578.799316406253
2020-03-01,2020-03-07,-756.75,18912.5,5958.954963684082
2020-03-08,2020-03-14,-241.8,30591.499999999993,34215.615463256836
2020-03-15,2020-03-21,87.0,452.4879602050783,-1698.008549804685
2020-03-22,2020-03-28,59.4,4129.728229980468,2159.920141601561
2020-03-29,2020-04-04,203.66666666666663,1127.3036627197287,656.3360620117187
2020-04-05,2020-04-11,-79.33333333333333,-278.0451931423588,2068.8888888888887
2020-04-12,2020-04-18,-61.2,76.00173950194772,2485.0206705729165
2020-04-19,2020-04-25,189.33333333333331,60.09213256835897,303.3235400390625
2020-04-26,2020-05-02,-135.0,1965.5980224609375,2885.555555555556
2020-05-03,2020-05-09,-136.2,-1023.2757678222655,1991.2
2020-05-10,2020-05-16,2.4,1939.2627734374998,692.58
2020-05-17,2020-05-23,86.0,-16.28,698.6158471679687
2020-05-24,2020-05-30,-141.8,-0.0,230.12489318847656
2020-05-31,2020-06-06,-102.0,-7.3599609375,390.43212158203124
2020-06-07,2020-06-13,-34.8,240.15569686889648,-93.26252746582031
2020-06-14,2020-06-20,-19.6,-569.66373046875,-107.78392089843751
2020-06-21,2020-06-27,-71.20001525878907,385.0881335449213,1292.44
2020-06-28,2020-07-04,-42.799984741210935,288.6397381591669,1347.072362182625
2020-07-05,2020-07-11,16.8,34.44407530965878,2994.815423873774
2020-07-12,2020-07-18,-43.6,3.7759960937500185,927.1718115234374
2020-07-19,2020-07-25,-68.25,-5.096001586914048,982.6883203124999
2020-07-26,2020-08-01,,-119.92528152465732,-396.6746063232422
