first_day_in_week,last_day_in_week,CGEN_main_symb_weekly_mean_diff,KARE.TA_weekly_mean_diff_0.43,ORBI.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,14.6,-0.020001220703125,-6.6
2019-03-17,2019-03-23,38.2,1.1800018310546818,5.6
2019-03-24,2019-03-30,-15.0,-0.4600006103515568,-5.2
2019-03-31,2019-04-06,-2.6,0.1399993896484375,-3.0
2019-04-07,2019-04-13,-53.6,-0.6200012207031194,15.0
2019-04-14,2019-04-20,15.4,-3.6799987792968807,5.6
2019-04-21,2019-04-27,-10.6,0.079998779296875,2.4
2019-04-28,2019-05-04,6.2,1.320001220703125,0.4
2019-05-05,2019-05-11,-1.0,-0.5399993896484375,-0.2
2019-05-12,2019-05-18,-5.2,-0.720001220703125,3.8
2019-05-19,2019-05-25,-25.2,0.9399993896484432,0.0
2019-05-26,2019-06-01,18.4,-0.7399993896484431,-10.6
2019-06-02,2019-06-08,20.6,0.5600006103515625,-4.6
2019-06-09,2019-06-15,-0.8,1.0,5.0
2019-06-16,2019-06-22,26.2,1.7799987792968808,3.4
2019-06-23,2019-06-29,-21.8,-2.159997558593761,1.0
2019-06-30,2019-07-06,-5.2,1.719998168945318,-13.8
2019-07-07,2019-07-13,-5.4,-0.8600006103515568,-6.8
2019-07-14,2019-07-20,-19.8,1.3400024414062386,-6.6
2019-07-21,2019-07-27,2.2,0.9,4.8
2019-07-28,2019-08-03,-5.6,-1.780001831054682,-0.4
2019-08-04,2019-08-10,28.6,-0.0399993896484375,-12.119995117187523
2019-08-11,2019-08-17,24.0,0.8600006103515625,-5.980004882812477
2019-08-18,2019-08-24,4.8,2.679998779296875,11.3
2019-08-25,2019-08-31,-20.8,1.1399993896484433,-8.580004882812478
2019-09-01,2019-09-07,14.8,3.340002441406239,-1.9799926757812727
2019-09-08,2019-09-14,33.0,-1.5200012207031193,-7.5800048828125
2019-09-15,2019-09-21,-10.8,-2.025001525878899,-5.149993896484375
2019-09-22,2019-09-28,-39.0,0.2,-5.9
2019-09-29,2019-10-05,16.0,1.5500030517577983,7.949981689453125
2019-10-06,2019-10-12,-0.6666666666666666,0.6666666666666666,-1.9666544596354167
2019-10-13,2019-10-19,16.0,1.4333343505859375,-0.9666748046875
2019-10-20,2019-10-26,46.4,-0.3333333333333333,-18.866658528645832
2019-10-27,2019-11-02,19.6,-1.1399993896484433,2.45999755859375
2019-11-03,2019-11-09,9.2,-1.1600006103515568,-5.3800048828125
2019-11-10,2019-11-16,18.8,0.9399993896484375,4.960009765625
2019-11-17,2019-11-23,23.4,0.5399993896484375,8.07999267578125
2019-11-24,2019-11-30,-45.2,-0.179998779296875,8.04000244140625
2019-12-01,2019-12-07,35.8,-3.280001831054682,-15.8800048828125
2019-12-08,2019-12-14,3.8,2.4200012207031194,1.060009765625
2019-12-15,2019-12-21,0.4,-0.6399993896484375,3.07999267578125
2019-12-22,2019-12-28,-0.4,3.460000610351557,-1.67999267578125
2019-12-29,2020-01-04,29.8,6.179998779296881,17.75999755859375
2020-01-05,2020-01-11,-18.4,2.620001220703114,-5.32000732421875
2020-01-12,2020-01-18,16.8,3.2200012207031365,2.5000000000000226
2020-01-19,2020-01-25,65.8,2.15999755859375,21.780004882812477
2020-01-26,2020-02-01,135.8,-3.85999755859375,-6.84000244140625
2020-02-02,2020-02-08,-29.6,-0.54000244140625,-17.8
2020-02-09,2020-02-15,90.4,0.0,0.8800048828125
2020-02-16,2020-02-22,-162.0,-1.1200012207031136,-1.7800048828125
2020-02-23,2020-02-29,178.5,-4.839999389648449,-17.07999267578125
2020-03-01,2020-03-07,-97.5,-6.875,-17.57501220703125
2020-03-08,2020-03-14,-92.8,-12.25,-49.42498779296875
2020-03-15,2020-03-21,42.2,-6.119998168945313,-12.7800048828125
2020-03-22,2020-03-28,-31.0,6.319998168945313,1.879998779296875
2020-03-29,2020-04-04,122.0,-1.5399993896484374,5.8
2020-04-05,2020-04-11,615.6666666666666,11.799997965494802,27.566660563151043
2020-04-12,2020-04-18,86.6,1.3333333333333333,13.866678873697916
2020-04-19,2020-04-25,-21.66666666666667,0.8800018310546818,-2.0
2020-04-26,2020-05-02,-26.2,5.833333333333333,4.599995930989583
2020-05-03,2020-05-09,-201.8,-6.8600006103515625,3.75999755859375
2020-05-10,2020-05-16,190.6,1.3399993896484375,9.62000732421875
2020-05-17,2020-05-23,-47.75,0.5800018310546818,9.95999755859375
2020-05-24,2020-05-30,217.8,-0.40000152587889914,9.099990844726562
2020-05-31,2020-06-06,-319.75,-3.2799987792968808,-36.15999755859375
2020-06-07,2020-06-13,121.0,5.824996948242202,2.0
2020-06-14,2020-06-20,-31.4,-1.3199981689453182,0.35999755859375
2020-06-21,2020-06-27,24.99996948242169,-1.5800018310546817,-7.6199951171875
2020-06-28,2020-07-04,77.00003051757831,0.040001201629632985,3.320004653930641
2020-07-05,2020-07-11,-64.6,-2.9199999809265136,-9.280002212524414
2020-07-12,2020-07-18,-1.4,6.120001220703119,-5.7
2020-07-19,2020-07-25,-94.5,0.8,5.240002441406273
2020-07-26,2020-08-01,,-5.625,0.524993896484375
