first_day_in_week,last_day_in_week,MLSR_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.44_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.72,PIU.TA_weekly_mean_diff_0.36,HARL.TA_weekly_mean_diff_0.37,MLTM.TA_weekly_mean_diff_0.37,MZTF.TA_weekly_mean_diff_0.37,SHOM.TA_weekly_mean_diff_0.37,TUZA.TA_weekly_mean_diff_0.37,FIBIH.TA_weekly_mean_diff_0.38,MTRX.TA_weekly_mean_diff_0.38,BIOV.TA_weekly_mean_diff_0.39,LEVI.TA_weekly_mean_diff_0.39,PCBT.TA_weekly_mean_diff_0.39,IBI.TA_weekly_mean_diff_0.41,PHOE.TA_weekly_mean_diff_0.41,ROTS.TA_weekly_mean_diff_0.42,HARL.TA_weekly_mean_diff_0.37_INT_PHOE.TA_weekly_mean_diff_0.41_corr_0.81,OPAL.TA_weekly_mean_diff_0.44,RLCO.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_HLMS.TA_weekly_mean_diff_0.36_corr_0.71,SHOM.TA_weekly_mean_diff_0.37_INT_OPAL.TA_weekly_mean_diff_0.44_corr_0.77
2019-06-16,2019-06-22,80.0,-183.59967041015628,0.7,4.2,380.0,19.6,-0.639996337890625,-0.04000015258789062,-24.0,-27.8,-1.7,42.0,-0.0199951171875,1.2,20.223974609375,-5.8,84.940693359375,-2.039996337890625,-0.8,90.0,-16.19989013671875,1.3055901855602863
2019-06-23,2019-06-29,-118.0,-36.0,0.27999267578125,-13.4,28.0,30.4,3.35999755859375,-0.2799995422363281,62.0,15.8,2.920001220703125,48.0,-7.52000732421875,-10.4,-22.535986328125,-33.8,301.982216796875,1.8,4.2,-20.0,-158.79992675781273,6.04799560546875
2019-06-30,2019-07-06,-80.0,706.3196044921875,9.22000732421875,4.8,156.0,37.6,1.0599975585937613,0.1,32.0,92.6,-3.420001220703125,-44.0,2.060009765625,-6.0,8.089990234375,36.8,38.831953125,4.35999755859375,7.0,162.0,-534.6,4.621586767584135
2019-07-07,2019-07-13,-40.0,159.72008056640627,-0.34000244140625,1.4,-2.0,-0.8,-0.5,-0.24000015258789062,-56.0,-2.6,-2.3,-68.0,0.7,-4.6,-2.69599609375,-12.4,-3.7743945312499996,2.420001220703125,-32.2,66.0,-343.2,-1.2100006103515626
2019-07-14,2019-07-20,26.0,90.43970947265625,1.95999755859375,-21.0,-334.0,-41.2,-0.6399963378906364,-0.24000015258789062,-66.0,-30.4,-4.139996337890636,30.0,-3.8400024414062726,16.4,-1.733984375,20.0,36.413671875,-0.379998779296875,-2.4,-238.0,252.2794189453152,0.24319782715291216
2019-07-21,2019-07-27,194.0,-42.159875488281244,5.1800048828125,20.2,-46.0,55.0,5.95999755859375,0.5400001525878906,32.0,7.4,1.4599975585937728,76.0,-0.6800048828124545,-13.0,0.961962890625,9.4,19.431650390625,1.239996337890625,29.8,-34.0,-53.71995849609375,7.390375146493316
2019-07-28,2019-08-03,386.0,94.240185546875,-5.82000732421875,8.4,54.0,7.0,1.94000244140625,-0.5,92.0,15.0,2.9400024414062385,158.0,-4.419995117187545,23.6,3.08203125,3.8,25.8890625,1.24000244140625,-3.0,76.0,183.92009277343752,2.4056077636778355
2019-08-04,2019-08-10,136.0,-127.9201904296875,-3.47999267578125,-8.4,-146.0,94.0,-4.520001220703125,1.18000030517578,-20.0,-14.0,-3.560003662109375,486.0,-4.540002441406227,-16.2,-20.802001953125,33.0,174.73681640625,-0.820001220703125,-8.0,156.0,37.440380859375,3.7064065185561774
2019-08-11,2019-08-17,116.0,11.4,4.07999267578125,-8.4,380.0,-133.0,1.14000244140625,-0.020000457763670453,-14.0,-12.0,-0.05999755859375,-40.0,-2.25999755859375,-9.2,-5.7780029296875,-0.2,48.53522460937501,-0.1,10.2,-114.0,421.8,-0.114000244140625
2019-08-18,2019-08-24,-86.0,-520.0,32.3800048828125,15.8,2310.0,7.0,6.119995117187523,-0.3,66.0,57.2,-0.9,278.0,2.0199951171875115,-2.4,14.4459716796875,-12.6,228.24635253906249,-6.5,2.8,80.0,20.7998046875,-39.7799682617189
2019-08-25,2019-08-31,-154.0,-102.0,-5.8,2.4,72.0,-45.0,2.5800048828124544,-0.059999847412109376,-36.0,-25.0,1.9200012207031136,-212.0,-4.879998779296886,25.2,1.156005859375,5.8,2.7744140625,-3.0,11.8,34.0,89.76008300781251,-7.740014648437363
2019-09-01,2019-09-07,-190.0,0.0,-2.7,20.8,-114.0,19.0,6.159997558593773,-0.8599998474121093,-34.0,-8.8,-0.32000122070311365,-210.0,-5.0,4.6,4.622021484375,26.2,96.138046875,3.0,-23.2,0.0,-0.0,18.479992675781318
2019-09-08,2019-09-14,190.0,46.0799560546875,6.5,9.4,-476.0,25.0,4.15999755859375,0.45999984741210936,36.0,-31.6,0.4799987792968864,-14.0,-5.079998779296875,-6.6,5.777978515625,16.6,54.312998046875,1.279998779296875,-2.0,36.0,65.52004394531251,5.32479179687798
2019-09-15,2019-09-21,308.0,38.000144958496094,28.0,14.25,145.0,5.0,-0.649993896484375,-0.05000019073486328,42.5,66.5,0.125,102.5,2.6750030517578125,-44.25,12.52252197265625,43.75,178.44593811035156,0.40000152587890625,21.5,95.0,-16.625289916992188,-0.25999855040572584
2019-09-22,2019-09-28,-245.0,18.0,-8.6,12.8,-120.0,54.0,-1.94000244140625,-0.17999954223632814,62.0,56.4,-1.5200012207031364,282.0,3.579998779296875,9.8,8.2,-20.4,104.96,-1.8,-1.0,-10.0,24.79998779296875,3.49200439453125
2019-09-29,2019-10-05,-36.66666666666666,26.00006103515625,-5.5,-18.0,-245.0,30.0,4.79998779296875,-0.20000076293945312,-25.0,23.0,-3.149993896484375,480.0,8.699996948242188,-2.0,-20.5,-58.5,369.0,-1.3000030517578125,-33.5,-20.0,-3.99993896484375,-6.239998779259622
2019-10-06,2019-10-12,170.0,175.0005086263021,25.333333333333332,-9.0,916.6666666666666,43.333333333333336,6.900004069010417,0.599999745686849,126.66666666666667,34.666666666666664,3.6666666666666665,110.0,5.466664632161458,9.666666666666666,0.3333333333333333,-7.0,-3.0,0.7000020345052084,24.666666666666668,250.0,1425.000508626302,4.830016886401508
2019-10-13,2019-10-19,-213.33333333333331,-5.555555555555556,2.6666666666666665,11.0,500.0,0.0,2.20001220703125,-0.09999974568684895,0.0,32.666666666666664,3.466664632161477,46.666666666666664,0.100006103515625,-48.333333333333336,22.333333333333332,9.666666666666666,245.66666666666666,0.8333333333333334,0.3333333333333333,-6.666666666666667,-18.22218153211818,1.833343505859375
2019-10-20,2019-10-26,-76.0,-240.0,6.0,-5.666666666666667,380.0,-27.666666666666668,4.133321126302083,-0.5333328247070312,20.0,58.0,-2.466664632161477,-13.333333333333334,1.1999918619791856,-7.0,-4.0,1.0,22.666666666666668,2.6666666666666665,-32.333333333333336,-90.0,-111.0003662109358,11.022189670138888
2019-10-27,2019-11-02,-6.0,31.5999755859375,1.4,-31.8,120.0,-1.4,8.05999755859375,-0.020000457763671875,6.0,26.2,-1.25999755859375,-8.0,-3.2399963378906365,5.8,-14.6,-8.6,464.28,1.579998779296875,5.0,20.0,24.0,12.734786303713918
2019-11-03,2019-11-09,2.0,-73.44012451171875,15.2,0.2,-418.0,-10.0,6.6800048828125,0.3599998474121094,8.0,-77.8,-1.74000244140625,-220.0,0.920001220703125,-10.2,-30.8,-12.0,-6.16,0.720001220703125,18.0,-102.0,-638.5197509765637,4.809611669927835
2019-11-10,2019-11-16,-30.0,-49.68006591796875,12.4,6.4,312.0,-18.0,5.4199951171875,0.0,80.0,117.6,-1.2399993896484376,48.0,-2.820001220703125,7.4,1.2,-40.4,7.68,0.920001220703125,-2.6,-54.0,143.6398681640631,4.986402124017476
2019-11-17,2019-11-23,254.0,134.1599365234375,-8.6,7.8,1104.0,51.8,4.7800048828125,-0.4799995422363281,12.0,45.2,2.0800018310546875,-58.0,-8.679998779296875,25.4,3.6,-2.0,28.08,2.579998779296875,19.2,52.0,-33.28012695312441,12.332406762689352
2019-11-24,2019-11-30,58.0,68.64016113281251,10.2,9.2,52.0,85.8,-6.0,-0.12000045776367188,72.0,-104.2,6.439996337890625,132.0,-2.620001220703125,24.6,31.0,52.2,285.2,0.520001220703125,17.0,132.0,1005.840161132811,-3.1200073242187503
2019-12-01,2019-12-07,162.0,11.399963378906364,-13.6,-26.8,-182.0,-3.4,-5.7800048828125,0.1,-28.0,43.8,-1.279998779296875,56.0,-0.720001220703125,46.8,-1.4,27.0,37.519999999999996,1.1399963378906364,14.2,10.0,-16.5999755859375,-6.589184399396247
