first_day_in_week,last_day_in_week,NERZ-M_main_symb_weekly_mean_diff,FRSX.TA_weekly_mean_diff_-0.36,MCTC.TA_weekly_mean_diff_0.36,ALD.TA_weekly_mean_diff_-0.37,CFX.TA_weekly_mean_diff_-0.38,AUDC.TA_weekly_mean_diff_0.41,IGLD.TA_weekly_mean_diff_-0.45,SEFA.TA_weekly_mean_diff_0.45,BCOM.TA_weekly_mean_diff_-0.59
2019-03-10,2019-03-16,0.0,0.7,7.599998474121094,-3.439996337890625,-3.6599975585937727,16.2,96.0,4.800003051757824,-34.8
2019-03-17,2019-03-23,26.05999755859375,-7.119999694824219,-1.1999969482421875,-2.74000244140625,0.05999755859377274,44.6,-1334.0,54.19999694824219,-149.6
2019-03-24,2019-03-30,15.94000244140625,-2.6199996948242217,101.5999984741211,-4.920001220703114,-4.979998779296875,-4.4,-260.0,-21.199996948242188,-4.3
2019-03-31,2019-04-06,-4.0,-0.7,7.1999969482421875,-2.2000000000000055,-2.479998779296875,128.0,-810.0,-7.599998474121094,-24.5
2019-04-07,2019-04-13,-14.6800048828125,0.9,9.800003051757812,4.120001220703119,-1.960003662109375,38.2,516.0,-1.8000030517578125,15.24000244140625
2019-04-14,2019-04-20,-0.4199951171875,-0.6200012207031194,1.1999969482421875,6.65999755859375,0.2799987792968864,-23.0,-468.0,-14.799995422363292,-9.82000732421875
2019-04-21,2019-04-27,-9.1800048828125,0.4800003051757784,-7.0,6.920001220703125,1.9,108.6,12.0,-11.600006103515625,9.360009765625
2019-04-28,2019-05-04,-12.139990234375,-0.5399993896484375,-34.399993896484375,1.0,0.24000244140623864,-190.0,-262.0,-8.399993896484364,-8.2800048828125
2019-05-05,2019-05-11,2.5199951171875,-0.5,6.1999969482421875,1.7,-5.6,-7.8,-76.0,2.3999938964843635,0.5800048828125
2019-05-12,2019-05-18,0.0199951171875,-3.3800003051757814,-39.80000305175781,-0.039996337890625,0.7,2.0,-246.0,12.400001525878917,-11.5
2019-05-19,2019-05-25,0.020007324218727262,0.21999969482421874,13.199996948242188,-1.3,-0.120001220703125,88.6,-732.0,-6.0,-13.1800048828125
2019-05-26,2019-06-01,-5.0800048828124655,-2.0399993896484405,-15.0,-6.6800048828125,1.9,-10.2,16.0,1.8000030517578125,-19.540002441406237
2019-06-02,2019-06-08,-2.459997558593761,0.5599990844726591,-6.0,2.820001220703125,-0.979998779296875,-73.8,-138.0,4.599998474121094,3.2
2019-06-09,2019-06-15,-12.55999755859375,-1.1999992370605468,-3.0,3.34000244140625,-0.45999755859375,58.8,186.0,-2.800003051757824,23.899999999999988
2019-06-16,2019-06-22,-2.0800048828124886,6.220000457763669,-5.999992370605469,-3.820001220703125,-1.0,30.2,100.0,-9.399993896484364,15.3
2019-06-23,2019-06-29,-5.400004069010396,-0.8600006103515596,12.400001525878906,-0.279998779296875,-2.820001220703125,-53.2,-38.0,9.199996948242188,-9.25999755859375
2019-08-04,2019-08-10,-1.9,-1.840000915527341,2.7999954223632586,-2.15999755859375,2.14000244140625,-14.4,-158.0,0.7999954223632699,-4.420001220703125
2019-08-11,2019-08-17,-4.759997558593762,-3.3199996948242214,-6.9999999999999885,0.05999755859375,3.75999755859375,-102.0,-192.0,0.20000457763673013,-9.339996337890625
2019-08-18,2019-08-24,-10.5,1.5600006103515625,-9.0,-1.5,0.520001220703125,33.6,-504.0,-1.20000457763673,10.919995117187511
2019-08-25,2019-08-31,-1.879998779296875,-1.340000915527341,-2.7999954223632697,-5.039996337890625,-4.5,-13.2,288.4,-0.5999984741210824,-10.439996337890637
2019-09-01,2019-09-07,11.4,0.4,-2.5999984741210938,-4.620001220703131,-10.060003662109363,-9.0,-130.4,-0.5999984741210938,-2.74000244140625
2019-09-08,2019-09-14,0.09999847412109376,-0.5799987792968807,-6.200004577636719,-2.9,0.6600036621093637,48.2,-134.6,-1.5999984741210938,3.960003662109375
2019-09-15,2019-09-21,13.44000244140625,2.75,2.2500038146972656,-0.375,-4.474998474121094,251.75,2.25,5.0,-1.2250061035156108
2019-09-22,2019-09-28,0.0,-1.140000915527341,13.79999542236327,0.8799987792968806,0.779998779296875,-43.2,-114.4,-6.200004577636719,4.6600036621093635
2019-09-29,2019-10-05,-9.800008138020814,-0.5,9.000015258789062,-1.1500015258789062,4.25,-411.0,-64.0,9.999999999999972,-3.400009155273409
2019-10-06,2019-10-12,-6.266662597656269,-2.0999984741210986,3.3333333333333335,2.100001017252604,0.2999979654947917,13.666666666666666,-162.33333333333334,-2.9999923706054497,-3.399993896484394
