first_day_in_week,last_day_in_week,GZT_main_symb_weekly_mean_diff,RLCO.TA_weekly_mean_diff_0.37,ASGR.TA_weekly_mean_diff_0.38,OPAL.TA_weekly_mean_diff_0.43,OPAL.TA_weekly_mean_diff_0.43_INT_ALRPR.TA_weekly_mean_diff_0.49_corr_0.72,ALRPR.TA_weekly_mean_diff_0.49
2020-01-12,2020-01-18,37.0,2.2,1.4800048828125,-0.9400024414062387,-392.9210205078078,418.0
2020-01-19,2020-01-25,-45.6,-29.2,-2.3800048828125,-0.23999633789063637,20.159692382813457,-84.0
2020-01-26,2020-02-01,50.6,-8.2,-6.4,-3.420001220703125,752.4002685546875,-220.0
2020-02-02,2020-02-08,27.4,30.0,4.64000244140625,-2.1400024414062386,132.6801513671868,-62.0
2020-02-09,2020-02-15,16.0,9.6,-3.8199951171875,2.4400024414062385,-73.20007324218716,-30.0
2020-02-16,2020-02-22,-83.8,-3.6,3.139990234375,5.379998779296875,893.0797973632812,166.0
2020-02-23,2020-02-29,-57.75,-64.0,-15.039990234375,-2.8,1226.3999999999999,-438.0
2020-03-01,2020-03-07,-315.0,-59.0,-24.100006103515625,-21.25,18912.5,-890.0
2020-03-08,2020-03-14,-30.0,-85.25,-31.25,-30.499999999999993,30591.499999999993,-1003.0
2020-03-15,2020-03-21,9.4,-35.2,-12.820001220703125,-13.87999877929688,452.4879602050783,-32.6
2020-03-22,2020-03-28,26.4,93.8,9.820001220703125,10.960000610351562,4129.728229980468,376.8
2020-03-29,2020-04-04,82.33333333333333,-7.2,19.0,6.119998168945324,1127.3036627197287,184.2
2020-04-05,2020-04-11,-35.333333333333336,20.0,14.866658528645834,2.266672770182273,-278.0451931423588,-122.66666666666667
2020-04-12,2020-04-18,-38.2,-43.666666666666664,-10.0333251953125,-0.2666727701822727,76.00173950194772,-285.0
2020-04-19,2020-04-25,10.333333333333334,36.2,-6.95999755859375,1.6600036621093637,60.09213256835897,36.2
2020-04-26,2020-05-02,-36.0,-33.666666666666664,20.433329264322918,6.066660563151042,1965.5980224609375,324.0
2020-05-03,2020-05-09,-44.0,-16.8,-7.6,5.379998779296875,-1023.2757678222655,-190.2
2020-05-10,2020-05-16,2.0,-21.8,-5.3199951171875,-7.7199951171875,1939.2627734374998,-251.2
2020-05-17,2020-05-23,51.0,18.0,2.67999267578125,-0.2,-16.28,81.4
2020-05-24,2020-05-30,-48.8,39.0,-6.5749969482421875,-2.25,-0.0,0.0
2020-05-31,2020-06-06,-43.75,-22.8,3.3,0.45999755859375,-7.3599609375,-16.0
2020-06-07,2020-06-13,-16.4,18.25,-9.949996948242216,1.3249969482421875,240.15569686889648,181.25
2020-06-14,2020-06-20,-24.2,-12.2,-5.3,-5.15999755859375,-569.66373046875,110.4
2020-06-21,2020-06-27,-8.400015258789063,-9.4,-12.540002441406227,-3.5200012207031195,385.0881335449213,-109.4
2020-06-28,2020-07-04,-11.599984741210935,3.4000152587890624,-4.239997100830078,-4.100000190734863,288.6397381591669,-70.39993286132812
2020-07-05,2020-07-11,-4.8,1.7999847412109375,-6.760002899169922,-1.5799985885620174,34.44407530965878,-21.800067138671874
2020-07-12,2020-07-18,-22.8,6.6,12.520001220703126,1.1799987792968807,3.7759960937500185,3.2
2020-07-19,2020-07-25,-30.25,1.0,-3.379998779296875,1.9600006103515568,-5.096001586914048,-2.6
2020-07-26,2020-08-01,,-11.75,-7.525001525878906,0.9750022888183523,-119.92528152465732,-123.0
