first_day_in_week,last_day_in_week,GZT_main_symb_weekly_mean_diff,RLCO.TA_weekly_mean_diff_0.37,ASGR.TA_weekly_mean_diff_0.38,OPAL.TA_weekly_mean_diff_0.43,OPAL.TA_weekly_mean_diff_0.43_INT_ALRPR.TA_weekly_mean_diff_0.49_corr_0.72,ALRPR.TA_weekly_mean_diff_0.49
2019-03-10,2019-03-16,32.0,-1.0,0.67999267578125,1.3200012207031364,84.48007812500073,64.0
2019-03-17,2019-03-23,2.0,-3.2,12.34000244140625,2.1199951171875,0.0,0.0
2019-03-24,2019-03-30,-3.0,1.2,-4.64000244140625,-0.25999755859375,-11.959887695312501,46.0
2019-03-31,2019-04-06,7.4,27.6,2.3800048828125,7.779998779296875,93.3599853515625,12.0
2019-04-07,2019-04-13,-1.2,27.2,2.5800048828125,2.660003662109375,-37.24005126953125,-14.0
2019-04-14,2019-04-20,2.6,-33.4,-3.52000732421875,-0.34000244140625,-30.600219726562504,90.0
2019-04-21,2019-04-27,-3.0,-23.4,-2.84000244140625,1.7,23.8,14.0
2019-04-28,2019-05-04,-13.8,22.6,-3.6199951171875,-3.579998779296875,250.59991455078125,-70.0
2019-05-05,2019-05-11,4.8,-9.2,3.9199951171875,-0.620001220703125,-22.320043945312502,36.0
2019-05-12,2019-05-18,13.2,10.0,0.660009765625,-0.020001220703125,-0.36002197265624997,18.0
2019-05-19,2019-05-25,-1.2,0.0,16.1199951171875,0.9,57.6,64.0
2019-05-26,2019-06-01,-5.8,9.8,1.8800048828125,-0.5,82.0,-164.0
2019-06-02,2019-06-08,4.2,-9.8,-1.02000732421875,1.8,-54.0,-30.0
2019-06-09,2019-06-15,28.0,-2.0,-5.54000244140625,-1.0,-148.0,148.0
2019-06-16,2019-06-22,-26.0,-0.8,0.7800048828125,-2.039996337890625,-183.59967041015628,90.0
2019-06-23,2019-06-29,-7.0,4.2,-2.14000244140625,1.8,-36.0,-20.0
2019-06-30,2019-07-06,7.2,7.0,3.24000244140625,4.35999755859375,706.3196044921875,162.0
2019-07-07,2019-07-13,-9.6,-32.2,-3.9199951171875,2.420001220703125,159.72008056640627,66.0
2019-07-14,2019-07-20,56.4,-2.4,-3.060009765625,-0.379998779296875,90.43970947265625,-238.0
2019-07-21,2019-07-27,3.8,29.8,5.14000244140625,1.239996337890625,-42.159875488281244,-34.0
2019-07-28,2019-08-03,24.6,-3.0,2.54000244140625,1.24000244140625,94.240185546875,76.0
2019-08-04,2019-08-10,5.6,-8.0,1.3800048828125,-0.820001220703125,-127.9201904296875,156.0
2019-08-11,2019-08-17,66.8,10.2,6.539990234375,-0.1,11.4,-114.0
2019-08-18,2019-08-24,-39.2,2.8,4.560009765625,-6.5,-520.0,80.0
2019-08-25,2019-08-31,-1.6,11.8,-1.4,-3.0,-102.0,34.0
2019-09-01,2019-09-07,-14.2,-23.2,-4.0800048828125,3.0,0.0,0.0
2019-09-08,2019-09-14,2.5,-2.0,2.9,1.279998779296875,46.0799560546875,36.0
2019-09-15,2019-09-21,16.6,21.5,-0.725006103515625,0.40000152587890625,38.000144958496094,95.0
2019-09-22,2019-09-28,-7.0,-1.0,6.6800048828125,-1.8,18.0,-10.0
2019-09-29,2019-10-05,2.0,-33.5,3.45001220703125,-1.3000030517578125,26.00006103515625,-20.0
2019-10-06,2019-10-12,5.333333333333333,24.666666666666668,-7.433349609375,0.7000020345052084,175.0005086263021,250.0
2019-10-13,2019-10-19,3.0,0.3333333333333333,2.70001220703125,0.8333333333333334,-5.555555555555556,-6.666666666666667
2019-10-20,2019-10-26,6.6,-32.333333333333336,-2.4666748046875,2.6666666666666665,-240.0,-90.0
2019-10-27,2019-11-02,2.4,5.0,2.44000244140625,1.579998779296875,31.5999755859375,20.0
2019-11-03,2019-11-09,-5.0,18.0,3.1,0.720001220703125,-73.44012451171875,-102.0
2019-11-10,2019-11-16,48.0,-2.6,-1.9,0.920001220703125,-49.68006591796875,-54.0
2019-11-17,2019-11-23,-4.8,19.2,-4.1800048828125,2.579998779296875,134.1599365234375,52.0
2019-11-24,2019-11-30,-14.8,17.0,2.82000732421875,0.520001220703125,68.64016113281251,132.0
2019-12-01,2019-12-07,23.6,14.2,-4.34000244140625,1.1399963378906364,11.399963378906364,10.0
2019-12-08,2019-12-14,-11.4,5.8,4.65999755859375,-2.0199951171875115,-40.39990234375023,20.0
2019-12-15,2019-12-21,15.4,-0.2,-0.7199951171875,3.339996337890625,227.1197509765625,68.0
2019-12-22,2019-12-28,7.0,-45.0,3.47999267578125,1.520001220703125,-63.84005126953125,-42.0
2019-12-29,2020-01-04,9.4,-5.4,5.42000732421875,4.9,294.0,60.0
2020-01-05,2020-01-11,30.2,28.6,-0.1800048828125,9.0,396.0,44.0
