first_day_in_week,last_day_in_week,EDRL_main_symb_weekly_mean_diff,ENLT.TA_weekly_mean_diff_0.39,KRDI.TA_weekly_mean_diff_0.39,TEVA.TA_weekly_mean_diff_0.39,BRND.TA_weekly_mean_diff_0.4,DLEKG.TA_weekly_mean_diff_0.4,ATRY.TA_weekly_mean_diff_0.42,PLCR.TA_weekly_mean_diff_0.42,ILDC.TA_weekly_mean_diff_0.43,ZUR.TA_weekly_mean_diff_0.45,ADGR.TA_weekly_mean_diff_0.48
2019-04-21,2019-04-27,-3.2799987792968808,1.0200012207031193,0.2600006103515625,65.6,-3.120007324218727,270.0,-3.2,-0.679998779296875,-6.4,4.0,1.04000244140625
2019-04-28,2019-05-04,-0.5600006103515625,-1.3799987792968806,-0.8399993896484375,-6.8,-2.8199951171875455,64.0,-23.8,-0.54000244140625,7.4,-7.4,-3.3800048828125
2019-05-05,2019-05-11,1.9600006103515624,0.41999816894531816,1.0399993896484374,-44.8,0.8400024414062728,-398.0,11.2,-0.4,9.6,5.0,0.7
2019-05-12,2019-05-18,-3.9600006103515626,0.5,-0.6,-217.0,-7.960003662109375,-1128.0,7.2,-0.479998779296875,-6.2,-2.2,-0.0199951171875
2019-05-19,2019-05-25,-4.119998168945313,0.120001220703125,0.2199981689453125,-12.8,-5.04000244140625,620.0,35.2,1.720001220703125,-11.0,-23.2,-3.9
2019-05-26,2019-06-01,0.479998779296875,0.5199981689453181,-0.879998779296875,-124.0,0.5799987792968864,-14.0,26.4,-1.079998779296875,-21.6,-11.0,1.0199951171875
2019-06-02,2019-06-08,-1.920001220703125,2.9400024414062385,0.0600006103515625,0.2,-2.2,-400.0,-24.0,1.179998779296875,-31.6,-0.2,-8.0
2019-06-09,2019-06-15,0.6800018310546818,1.4799987792968807,1.6,-57.2,-0.7599975585937614,-152.0,20.0,-3.620001220703125,43.8,-8.8,7.84000244140625
2019-06-16,2019-06-22,0.5399993896484432,3.04000244140625,1.2,-35.0,5.079998779296875,12.0,18.2,-1.639996337890625,0.2,0.4,-0.9800048828125
2019-06-23,2019-06-29,-0.4600006103515568,0.95999755859375,-1.2399993896484376,54.8,1.7799987792968863,-92.0,8.2,-1.9200012207031363,-6.8,5.0,2.7800048828125
2019-06-30,2019-07-06,-1.8199981689453184,1.35999755859375,0.0,35.2,-1.9399963378906364,0.0,56.4,-1.0799987792968637,30.4,2.6,0.97999267578125
2019-07-07,2019-07-13,-0.720001220703125,4.64000244140625,-0.9,-43.6,-8.460003662109363,-248.0,-1.0,-6.020001220703131,17.2,-8.4,0.72000732421875
2019-07-14,2019-07-20,-4.66000061035156,-2.0,0.4199981689453125,-85.6,0.0,-1640.0,-39.0,0.059997558593761366,-52.0,-13.619995117187523,0.17999267578125
2019-07-21,2019-07-27,3.4400009155273414,0.0,-0.0199981689453125,-3.6,-0.11999511718751137,552.0,61.6,10.460003662109369,47.8,5.619995117187523,4.64000244140625
2019-07-28,2019-08-03,-3.0600006103515627,4.320001220703125,-1.2800018310546875,11.6,-1.2,-190.0,11.0,-4.64000244140625,35.2,-3.0,0.04000244140625
2019-08-04,2019-08-10,-1.2800003051757785,2.120001220703125,2.2399993896484376,-73.8,-4.160003662109375,-822.0,-14.8,-1.3399993896484375,24.0,-4.680004882812478,1.5199951171875
2019-08-11,2019-08-17,0.8600006103515596,-2.820001220703125,-1.15999755859375,-58.2,3.379998779296886,-660.0,-9.4,-3.320001220703125,-66.8,-7.079992675781273,-5.0
2019-08-18,2019-08-24,-1.2800003051757811,12.279998779296875,4.779998779296875,80.0,0.18000488281248864,168.0,104.6,-3.660000610351557,12.6,3.879992675781273,9.44000244140625
2019-08-25,2019-08-31,-0.3,-3.420001220703125,-1.8600006103515625,-12.0,1.039996337890625,512.0,23.0,-2.039999389648443,-12.8,23.080004882812478,0.8
2019-09-01,2019-09-07,1.1333338419596306,-2.279998779296875,0.0600006103515625,-25.6,1.220001220703125,-536.0,-28.8,4.6,-5.8,1.6,1.24000244140625
2019-10-06,2019-10-12,3.6333312988281343,8.666666666666666,0.5666656494140625,14.333333333333334,4.766662597656269,-140.0,39.0,4.199996948242197,81.0,2.3333333333333335,15.26666259765625
2019-10-13,2019-10-19,4.1333338419596295,6.0,1.0333353678385417,45.0,-3.366658528645852,803.3333333333334,112.33333333333333,8.799997965494782,29.666666666666668,36.333333333333336,26.333333333333332
2019-10-20,2019-10-26,3.7400009155273377,-1.6666666666666667,1.5666656494140625,90.0,0.7333272298177084,-10.0,115.33333333333333,5.400004069010417,-12.0,7.0,6.23333740234375
2019-10-27,2019-11-02,-4.7800003051757765,0.5,-0.4600006103515625,18.8,0.9799987792968864,-206.0,-59.4,-0.95999755859375,0.6,-14.0,-2.15999755859375
2019-11-03,2019-11-09,0.08000030517577841,-5.340002441406239,-1.379998779296875,50.6,-5.659997558593761,1128.0,42.4,-1.9600036621093637,-13.4,10.8,-7.42000732421875
2019-11-10,2019-11-16,-1.2200012207031192,0.36000366210936363,-0.7,43.6,-0.85999755859375,52.0,27.4,-4.2799987792968865,-26.8,7.2,2.8800048828125
2019-11-17,2019-11-23,3.0800003051757785,3.05999755859375,1.920001220703125,50.4,0.379998779296875,-134.0,74.0,-2.0,42.2,-8.6,12.0199951171875
2019-11-24,2019-11-30,-0.8,6.220001220703125,-1.3800018310546875,0.4,14.120001220703125,-28.0,7.4,6.44000244140625,-1.8,10.6,-7.75999755859375
2019-12-01,2019-12-07,-2.159999084472659,-4.320001220703125,-1.4,-32.0,-9.8,-560.0,48.6,-2.320001220703136,7.6,-5.6,-5.15999755859375
2019-12-08,2019-12-14,1.5199996948242216,-2.95999755859375,1.6600006103515625,-8.8,7.75999755859375,182.0,45.4,-0.44000244140622724,60.8,21.6,2.14000244140625
2019-12-15,2019-12-21,-0.3600006103515625,3.279998779296875,-0.979998779296875,10.2,6.279998779296875,300.0,-54.2,-2.4000000000000057,60.4,1.0,-4.34000244140625
2019-12-22,2019-12-28,-1.1399993896484375,1.879998779296875,1.379998779296875,13.8,5.220001220703125,-200.0,36.0,-0.6399993896484432,42.6,-0.4,5.3800048828125
2019-12-29,2020-01-04,0.4,3.84000244140625,0.7,-35.0,1.1,1900.0,104.4,5.139999389648449,2.8,7.4,0.65999755859375
2020-01-05,2020-01-11,-0.4199996948242216,5.879998779296875,0.3600006103515625,-52.2,2.0,-262.0,37.2,-2.5599975585937726,66.0,-10.6,-2.3800048828125
2020-01-12,2020-01-18,-1.5400009155273409,6.459997558593761,-0.0600006103515625,123.4,0.0,-440.0,22.8,-0.5200012207031136,-1.2,-4.2,-0.17999267578125
2020-01-19,2020-01-25,-1.5599990844726592,-2.8399963378906365,0.4600006103515625,-24.4,-7.520001220703125,-228.0,13.8,3.0200012207031137,-46.0,14.8,-0.960009765625
