first_day_in_week,last_day_in_week,ORAD_main_symb_weekly_mean_diff,DLEKG.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,-0.31160125732421873,-10.0
2019-03-17,2019-03-23,-0.4091995239257813,-50.0
2019-03-24,2019-03-30,-3.38988037109375,-352.0
2019-03-31,2019-04-06,-0.4675796508789062,256.0
2019-04-07,2019-04-13,-0.2922393798828125,686.0
2019-04-14,2019-04-20,-0.13636016845703125,-202.0
2019-04-21,2019-04-27,-0.1948410034179688,448.0
2019-04-28,2019-05-04,0.5065399169921875,64.0
2019-05-05,2019-05-11,0.175360107421875,-398.0
2019-05-12,2019-05-18,-1.28583984375,-1128.0
2019-05-19,2019-05-25,0.5455001831054688,620.0
2019-05-26,2019-06-01,0.09741973876953124,-14.0
2019-06-02,2019-06-08,0.6818801879882812,-400.0
2019-06-09,2019-06-15,0.3896408081054688,-152.0
2019-06-16,2019-06-22,-0.0779205322265625,12.0
2019-06-23,2019-06-29,-1.168939208984375,-92.0
2019-06-30,2019-07-06,-0.3701614379882813,0.0
2019-07-07,2019-07-13,-1.28583984375,-248.0
2019-07-14,2019-07-20,-2.1235794067382803,-1640.0
2019-07-21,2019-07-27,0.31063995361327984,552.0
2019-07-28,2019-08-03,0.24000015258789065,-190.0
2019-08-04,2019-08-10,-1.5800003051757812,-822.0
2019-08-11,2019-08-17,0.5800003051757813,-660.0
2019-08-18,2019-08-24,-0.2599998474121108,168.0
2019-08-25,2019-08-31,0.07999954223632955,512.0
2019-09-01,2019-09-07,0.3400001525878906,-536.0
2019-09-08,2019-09-14,-0.19999980926513672,-334.0
2019-09-15,2019-09-21,-0.0599998474121108,300.0
2019-09-22,2019-09-28,0.0,-1176.0
2019-09-29,2019-10-05,-0.16666666666666666,1250.0
2019-10-06,2019-10-12,-0.3333333333333333,-140.0
2019-10-13,2019-10-19,0.43333307902018464,803.3333333333334
2019-10-20,2019-10-26,-0.3800003051757813,-10.0
2019-10-27,2019-11-02,-1.0799995422363295,-206.0
2019-11-03,2019-11-09,0.3199996948242202,1128.0
2019-11-10,2019-11-16,0.21999969482421874,52.0
2019-11-17,2019-11-23,-0.13999938964843892,-134.0
2019-11-24,2019-11-30,0.0599998474121108,-28.0
2019-12-01,2019-12-07,0.17999954223632816,-560.0
2019-12-08,2019-12-14,0.4400001525878906,182.0
2019-12-15,2019-12-21,-0.4,300.0
2019-12-22,2019-12-28,0.8400001525878906,-200.0
2019-12-29,2020-01-04,1.1,1900.0
2020-01-05,2020-01-11,0.2,-262.0
2020-01-12,2020-01-18,0.01999969482421875,-440.0
2020-01-19,2020-01-25,-0.9,-228.0
2020-01-26,2020-02-01,-0.1,-1572.0
2020-02-02,2020-02-08,0.3800003051757813,60.0
2020-02-09,2020-02-15,-0.24000015258789065,-288.0
2020-02-16,2020-02-22,0.040000152587890615,-142.0
2020-02-23,2020-02-29,-0.375,-1732.0
2020-03-01,2020-03-07,-1.625,-1590.0
2020-03-08,2020-03-14,-1.1,-5595.0
2020-03-15,2020-03-21,1.2,2190.0
2020-03-22,2020-03-28,-0.5199996948242201,-1332.6
2020-03-29,2020-04-04,0.36666615804036695,256.6
2020-04-05,2020-04-11,-0.4666671752929688,1833.3333333333333
2020-04-12,2020-04-18,-0.01999969482421875,63.333333333333336
2020-04-19,2020-04-25,-0.1333338419596354,-106.0
2020-04-26,2020-05-02,0.4400001525878906,-56.666666666666664
2020-05-03,2020-05-09,0.0,-512.0
2020-05-10,2020-05-16,-0.1,-786.0
2020-05-17,2020-05-23,-0.39999961853027344,28.0
2020-05-24,2020-05-30,-0.10000038146972656,-37.5
2020-05-31,2020-06-06,-0.049999237060550435,1.0
2020-06-14,2020-06-20,-0.16000061035156107,176.0
2020-06-21,2020-06-27,0.1400001049041748,-468.0
2020-06-28,2020-07-04,4.76837158203125e-08,-122.39993286132812
2020-07-05,2020-07-11,1.5800003051757812,-204.4000671386719
2020-07-12,2020-07-18,-0.24000015258789065,52.0
2020-07-19,2020-07-25,0.75,148.2
2020-07-26,2020-08-01,,-57.0
