first_day_in_week,last_day_in_week,LEVI_main_symb_weekly_mean_diff,RLCO.TA_weekly_mean_diff_0.38,MTRX.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,26.0,-1.0,3.8
2019-03-17,2019-03-23,38.0,-3.2,-16.4
2019-03-24,2019-03-30,262.0,1.2,10.8
2019-03-31,2019-04-06,-14.0,27.6,43.2
2019-04-07,2019-04-13,56.0,27.2,60.0
2019-04-14,2019-04-20,-14.0,-33.4,-24.0
2019-04-21,2019-04-27,-96.0,-23.4,-1.0
2019-04-28,2019-05-04,-24.0,22.6,-46.0
2019-05-05,2019-05-11,-138.0,-9.2,14.6
2019-05-12,2019-05-18,40.0,10.0,24.4
2019-05-19,2019-05-25,86.0,0.0,48.0
2019-05-26,2019-06-01,86.0,9.8,38.6
2019-06-02,2019-06-08,44.0,-9.8,-24.6
2019-06-09,2019-06-15,42.0,-2.0,-7.0
2019-06-16,2019-06-22,48.0,-0.8,-27.8
2019-06-23,2019-06-29,-44.0,4.2,15.8
2019-06-30,2019-07-06,-68.0,7.0,92.6
2019-07-07,2019-07-13,30.0,-32.2,-2.6
2019-07-14,2019-07-20,76.0,-2.4,-30.4
2019-07-21,2019-07-27,158.0,29.8,7.4
2019-07-28,2019-08-03,486.0,-3.0,15.0
2019-08-04,2019-08-10,-40.0,-8.0,-14.0
2019-08-11,2019-08-17,278.0,10.2,-12.0
2019-08-18,2019-08-24,-212.0,2.8,57.2
2019-08-25,2019-08-31,-210.0,11.8,-25.0
2019-09-01,2019-09-07,-14.0,-23.2,-8.8
2019-09-08,2019-09-14,102.5,-2.0,-31.6
2019-09-15,2019-09-21,282.0,21.5,66.5
2019-09-22,2019-09-28,480.0,-1.0,56.4
2019-09-29,2019-10-05,110.0,-33.5,23.0
2019-10-06,2019-10-12,46.66666666666666,24.666666666666668,34.666666666666664
2019-10-13,2019-10-19,-13.333333333333336,0.3333333333333333,32.666666666666664
2019-10-20,2019-10-26,-8.0,-32.333333333333336,58.0
2019-10-27,2019-11-02,-220.0,5.0,26.2
2019-11-03,2019-11-09,48.0,18.0,-77.8
2019-11-10,2019-11-16,-58.0,-2.6,117.6
2019-11-17,2019-11-23,132.0,19.2,45.2
2019-11-24,2019-11-30,56.0,17.0,-104.2
2019-12-01,2019-12-07,166.0,14.2,43.8
2019-12-08,2019-12-14,124.0,5.8,49.4
2019-12-15,2019-12-21,-68.0,-0.2,-26.0
2019-12-22,2019-12-28,106.0,-45.0,29.0
2019-12-29,2020-01-04,104.0,-5.4,77.2
2020-01-05,2020-01-11,-26.0,28.6,-11.0
2020-01-12,2020-01-18,-38.0,2.2,106.6
2020-01-19,2020-01-25,-100.0,-29.2,3.4
2020-01-26,2020-02-01,174.0,-8.2,-101.2
2020-02-02,2020-02-08,-94.0,30.0,-70.4
2020-02-09,2020-02-15,218.0,9.6,-1.0
2020-02-16,2020-02-22,-426.0,-3.6,18.4
2020-02-23,2020-02-29,-472.5,-64.0,-108.0
2020-03-01,2020-03-07,-1332.5,-59.0,-163.25
2020-03-08,2020-03-14,-124.0,-85.25,-328.0
2020-03-15,2020-03-21,618.0,-35.2,127.0
2020-03-22,2020-03-28,342.0,93.8,95.6
2020-03-29,2020-04-04,-240.0,-7.2,77.4
2020-04-05,2020-04-11,43.33333333333334,20.0,93.0
2020-04-12,2020-04-18,-224.0,-43.666666666666664,2.6666666666666665
2020-04-19,2020-04-25,316.6666666666667,36.2,86.8
2020-04-26,2020-05-02,-394.0,-33.666666666666664,33.0
2020-05-03,2020-05-09,186.0,-16.8,-77.0
2020-05-10,2020-05-16,-28.0,-21.8,-20.2
2020-05-17,2020-05-23,210.0,18.0,128.2
2020-05-24,2020-05-30,268.0,39.0,208.5
2020-05-31,2020-06-06,-72.5,-22.8,-36.8
2020-06-07,2020-06-13,-520.0,18.25,59.5
2020-06-14,2020-06-20,-138.0,-12.2,50.0
2020-06-21,2020-06-27,-352.0,-9.4,-103.0
2020-06-28,2020-07-04,-94.0,3.4000152587890624,-2.6
2020-07-05,2020-07-11,298.0,1.7999847412109375,20.0
2020-07-12,2020-07-18,6.0,6.6,42.0
2020-07-19,2020-07-25,445.0,1.0,58.0
2020-07-26,2020-08-01,,-11.75,157.75
