first_day_in_week,last_day_in_week,CISY_main_symb_weekly_mean_diff,HARL.TA_weekly_mean_diff_0.39,PHOE.TA_weekly_mean_diff_0.4,TNPV.TA_weekly_mean_diff_-0.42
2019-03-10,2019-03-16,2.3800048828125,-8.8,3.2739990234375,0.2199981689453125
2019-03-17,2019-03-23,-1.660009765625,-5.0,4.42998046875,3.2600006103515624
2019-03-24,2019-03-30,-13.1199951171875,-30.0,-51.233984375,8.17999877929688
2019-04-21,2019-04-27,5.5800048828125,4.6,7.126000976562454,0.7
2019-04-28,2019-05-04,0.0,-19.4,-7.319995117187455,-1.2399993896484376
2019-05-05,2019-05-11,1.1599975585937272,-9.6,1.5419921875,-1.6800018310546876
2019-05-12,2019-05-18,0.0,36.2,32.166015625,-4.55999755859375
2019-05-19,2019-05-25,-4.233337402343712,-11.0,6.547998046875,-0.420001220703125
2019-05-26,2019-06-01,0.0,7.4,-4.430029296875,-0.3
2019-06-23,2019-06-29,-0.17999267578127273,-13.4,-22.535986328125,1.7
2019-06-30,2019-07-06,-0.16666666666666666,4.8,8.089990234375,-1.8399993896484375
2019-07-07,2019-07-13,-1.1599975585937272,1.4,-2.69599609375,-2.9200012207031194
2019-07-28,2019-08-03,11.966654459635455,8.4,3.08203125,-1.3800003051757812
2019-08-04,2019-08-10,-10.659997558593775,-8.4,-20.802001953125,0.019999694824221592
2019-08-18,2019-08-24,0.5,15.8,14.4459716796875,2.080000305175781
2019-08-25,2019-08-31,-6.400004069010397,2.4,1.156005859375,-1.4199996948242215
2019-09-01,2019-09-07,11.150009155273409,20.8,4.622021484375,0.4199996948242216
2019-09-29,2019-10-05,0.0,-18.0,-20.5,0.4500007629394531
2019-10-06,2019-10-12,0.8999938964843941,-9.0,0.3333333333333333,1.8666661580403645
2019-10-13,2019-10-19,-7.466664632161478,11.0,22.333333333333332,0.8000005086263021
2019-10-20,2019-10-26,-1.6999969482421875,-5.666666666666667,-4.0,0.0
2019-11-10,2019-11-16,-0.679998779296875,6.4,1.2,-0.6749992370605504
2019-11-17,2019-11-23,-2.8,7.8,3.6,-0.13999938964844033
2019-11-24,2019-11-30,1.6399963378906364,9.2,31.0,-1.7400009155273408
2019-12-01,2019-12-07,5.840002441406238,-26.8,-1.4,0.8
2019-12-08,2019-12-14,-0.633331298828125,-13.2,-9.2,0.4600006103515625
2020-01-05,2020-01-11,0.375,-31.4,-20.0,1.2199996948242187
2020-01-12,2020-01-18,-0.320001220703125,8.8,0.2,-0.2
2020-02-16,2020-02-22,-1.6,21.6,7.8,-0.379998779296875
2020-02-23,2020-02-29,0.0,-81.4,-42.6,2.2399993896484434
2020-03-01,2020-03-07,-22.57499694824219,-65.75,-60.5,1.075000762939446
2020-03-08,2020-03-14,-0.220001220703125,-82.75,-72.25,-2.799999237060554
2020-03-15,2020-03-21,18.05999755859375,29.0,4.6,-5.220001220703116
2020-03-22,2020-03-28,1.460003662109375,37.0,54.4,-0.7599990844726591
2020-03-29,2020-04-04,4.399993896484375,-8.6,10.8,-0.8400009155273409
2020-04-05,2020-04-11,-0.6,9.0,7.666666666666667,-0.3333333333333333
2020-05-17,2020-05-23,4.600006103515625,32.6,16.0,0.4
2020-05-24,2020-05-30,2.79998779296875,3.75,7.5,0.8250007629394496
2020-05-31,2020-06-06,0.06666946411132812,-22.8,-28.0,0.4399993896484403
2020-06-28,2020-07-04,7.629394303876325e-07,17.800013732910248,3.399999237060547,1.759999656677246
2020-07-05,2020-07-11,9.479992675781274,-10.200013732910246,-5.599999237060547,-1.6799993515014677
2020-07-12,2020-07-18,0.0800048828125,-4.0,22.2,0.9399993896484403
2020-07-19,2020-07-25,2.8249969482421875,21.4,4.2,0.5399993896484403
2020-07-26,2020-08-01,,28.5,5.0,8.249999999999996
