first_day_in_week,last_day_in_week,ISCN_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.45,SHGR.TA_weekly_mean_diff_0.45,HOD.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,3.6,0.0,4.6,7.999992370605469
2019-03-17,2019-03-23,0.7599975585937614,26.0,27.8,-0.7999992370605469
2019-03-24,2019-03-30,-0.7199951171875114,38.0,-8.6,-11.599998474121094
2019-03-31,2019-04-06,4.319995117187512,262.0,15.2,-40.19998550415039
2019-04-07,2019-04-13,1.0400024414062383,-14.0,1.0,-3.200016021728561
2019-04-14,2019-04-20,-1.620001220703125,56.0,-1.0,-4.200000762939408
2019-04-21,2019-04-27,-1.3,-14.0,4.4,1.4000129699706576
2019-04-28,2019-05-04,-0.7200012207031137,-96.0,-14.4,3.7999916076660156
2019-05-05,2019-05-11,-3.0799987792968864,-24.0,3.4,5.7999992370606375
2019-05-12,2019-05-18,3.9,-138.0,-3.2,0.2000045776366733
2019-05-19,2019-05-25,3.54000244140625,40.0,-17.8,7.999992370605469
2019-05-26,2019-06-01,-7.220001220703125,86.0,6.8,-3.599987030029342
2019-06-02,2019-06-08,1.2,86.0,3.6,-13.400001525878816
2019-06-09,2019-06-15,1.620001220703125,44.0,8.0,-4.400005340576217
2019-06-16,2019-06-22,3.85999755859375,42.0,3.4,-7.000007629394531
2019-06-23,2019-06-29,6.779998779296887,48.0,-2.2,13.200016021728562
2019-06-30,2019-07-06,6.320001220703113,-44.0,-6.0,5.1999855041503
2019-07-07,2019-07-13,-4.139996337890625,-68.0,-5.2,-12.199993133544876
2019-07-14,2019-07-20,-0.7800048828124886,30.0,4.0,-3.4000015258789062
2019-07-21,2019-07-27,11.64000244140624,76.0,-14.8,7.800006866455033
2019-07-28,2019-08-03,7.140002441406227,158.0,-10.6,-7.20001220703125
2019-08-04,2019-08-10,-2.7400024414062267,486.0,-0.2,-8.79999160766597
2019-08-11,2019-08-17,-2.359997558593773,-40.0,-3.4,4.799995422363236
2019-08-18,2019-08-24,-6.620001220703102,278.0,17.4,10.200004577636765
2019-08-25,2019-08-31,9.379998779296878,-212.0,11.2,-6.000003814697266
2019-09-01,2019-09-07,0.7,-210.0,-12.6,7.20001220703125
2019-09-08,2019-09-14,10.625,-14.0,8.4,15.799999237060547
2019-09-15,2019-09-21,5.0,102.5,-4.5,11.500000953674316
2019-09-22,2019-09-28,-3.29998779296875,282.0,5.2,6.399993896484375
2019-09-29,2019-10-05,18.866658528645832,480.0,-6.0,13.99998664855957
2019-10-06,2019-10-12,5.599995930989582,110.0,8.333333333333334,-11.666647593180338
2019-10-13,2019-10-19,-4.599995930989583,46.666666666666664,17.333333333333332,-8.000024159749273
2019-10-20,2019-10-26,0.0,-13.333333333333334,-7.666666666666667,-3.9999961853028103
2019-10-27,2019-11-02,-9.0,-8.0,-5.6,-20.200004577636765
