first_day_in_week,last_day_in_week,ABIL_main_symb_weekly_mean_diff,SFET.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,4.3800048828125,19.2
2019-03-17,2019-03-23,-20.24000244140625,-14.0
2019-03-24,2019-03-30,-2.04000244140625,4.4
2019-03-31,2019-04-06,2.5800048828125,7.2
2019-04-07,2019-04-13,-2.9,6.4
2019-04-14,2019-04-20,-5.6800048828125,-2.4
2019-04-21,2019-04-27,-17.420001220703124,-2.8
2019-04-28,2019-05-04,4.760003662109375,-4.4
2019-05-05,2019-05-11,2.7999999999999767,-3.6
2019-05-12,2019-05-18,-11.720001220703102,-1.6
2019-05-19,2019-05-25,1.420001220703125,-1.2
2019-05-26,2019-06-01,-4.2,-3.2
2019-06-02,2019-06-08,-5.320001220703125,-4.0
2019-06-09,2019-06-15,-12.0,-8.0
2019-06-16,2019-06-22,-4.6,-2.4
2019-06-23,2019-06-29,0.95999755859375,-2.8
2019-06-30,2019-07-06,-3.039996337890625,3.6
2019-07-07,2019-07-13,-2.820001220703125,-3.2
2019-07-14,2019-07-20,-3.8,-1.2
2019-07-21,2019-07-27,-3.2400024414062387,-12.8
2019-07-28,2019-08-03,-5.339999389648449,-2.0
2019-08-04,2019-08-10,-6.219998168945319,-8.0
2019-08-11,2019-08-17,3.1,-0.8
2019-08-18,2019-08-24,-1.1800018310546818,1.6
2019-08-25,2019-08-31,0.4600006103515625,0.4
2019-09-01,2019-09-07,-2.2399993896484376,-6.8
2019-09-08,2019-09-14,-1.125,-3.2
2019-09-15,2019-09-21,-2.3600006103515625,-1.0
2019-09-22,2019-09-28,0.1999969482422017,-1.2
2019-09-29,2019-10-05,-10.166666666666675,-3.0
2019-10-06,2019-10-12,11.066670735677073,0.0
2019-10-13,2019-10-19,-11.566670735677073,-3.3333333333333335
2019-10-20,2019-10-26,-2.879998779296875,-1.266667683919266
2019-10-27,2019-11-02,2.5,-8.259999084472659
2019-11-03,2019-11-09,-6.2,-2.0600006103515627
2019-11-10,2019-11-16,-2.9399993896484404,-1.6
2019-11-17,2019-11-23,0.3199996948242216,-0.01999969482421875
2019-11-24,2019-11-30,14.599998474121099,0.7
2019-12-01,2019-12-07,-0.17999877929688068,-2.4400001525878907
2019-12-08,2019-12-14,-2.2,-2.0599998474121093
2019-12-15,2019-12-21,-9.0,0.0
2019-12-22,2019-12-28,-2.3600006103515603,-1.379999923706054
2019-12-29,2020-01-04,-1.3399993896484403,-0.06000022888183594
2020-01-05,2020-01-11,-1.3800003051757812,0.06000022888183594
2020-01-12,2020-01-18,-0.5399993896484375,-0.2
2020-01-19,2020-01-25,0.1399993896484375,0.279999923706054
2020-01-26,2020-02-01,-1.7199996948242189,-1.2
2020-02-02,2020-02-08,4.719999694824219,-0.14000015258789061
2020-02-09,2020-02-15,-3.7599990844726587,-0.039999771118164065
2020-02-16,2020-02-22,-1.2800003051757785,-0.16000022888183593
2020-02-23,2020-02-29,-0.399999618530277,-0.3799999237060547
2020-03-01,2020-03-07,-7.7250003814697275,-0.8499999046325684
2020-03-08,2020-03-14,0.3199996948242216,-1.0250000953674316
2020-03-15,2020-03-21,3.4,0.7200000762939454
2020-03-22,2020-03-28,-2.7399993896484376,0.0
2020-03-29,2020-04-04,2.633331298828125,0.439999961853027
2020-04-05,2020-04-11,3.6000010172526036,-1.0333331425984695
2020-04-12,2020-04-18,-2.3600006103515625,0.4666665395100911
2020-04-19,2020-04-25,0.866668701171875,-0.6799999237060547
2020-04-26,2020-05-02,-0.1600006103515625,0.0666666030883789
2020-05-03,2020-05-09,-1.1199996948242188,-0.08000011444091797
2020-05-10,2020-05-16,-0.9800003051757812,-0.039999961853027344
2020-05-17,2020-05-23,4.475000381469727,0.26000003814697265
2020-05-24,2020-05-30,-0.7600006103515625,0.5250000953674316
2020-05-31,2020-06-06,1.3500003814697266,-0.3400001525878906
2020-06-07,2020-06-13,-1.0800003051757812,0.125
2020-06-14,2020-06-20,-0.8,0.4600000381469723
2020-06-21,2020-06-27,-0.10000009536743164,0.2399999618530277
2020-06-28,2020-07-04,9.5367431640625e-08,0.020000004768371937
2020-07-05,2020-07-11,-1.2800003051757811,0.07999999523162807
2020-07-12,2020-07-18,0.320001220703125,-0.21999988555908168
2020-07-19,2020-07-25,-1.5500011444091797,-0.1
2020-07-26,2020-08-01,,-0.2999999523162846
