first_day_in_week,last_day_in_week,PRGO_main_symb_weekly_mean_diff,ENRG.TA_weekly_mean_diff_-0.4_INT_BCNV.TA_weekly_mean_diff_-0.4_corr_0.9,ICCM.TA_weekly_mean_diff_-0.37_INT_JBNK.TA_weekly_mean_diff_-0.44_corr_0.9,PZOL.TA_weekly_mean_diff_-0.39_INT_PLCR.TA_weekly_mean_diff_-0.38_corr_0.89,CAMT.TA_weekly_mean_diff_-0.41_INT_PRGO.TA_weekly_mean_diff_-0.43_corr_0.94,ENRG.TA_weekly_mean_diff_-0.4_INT_CAMT.TA_weekly_mean_diff_-0.41_corr_0.93,PRGO.TA_weekly_mean_diff_-0.43_INT_JBNK.TA_weekly_mean_diff_-0.44_corr_0.92
2019-03-10,2019-03-16,80.0,841.0798950195312,1.024427767135203,-477.4287475585938,612.0,99.75598754882812,205.19970703125
2019-03-17,2019-03-23,-74.0,1411.28115234375,-0.8099572797864677,945.1804687499999,1520.0,113.62009277343749,124.80078125
2019-03-24,2019-03-30,12.0,-208.8006591796875,3.534925954248756,86.5170654296875,1702.0,53.36016845703125,247.1601806640625
2019-03-31,2019-04-06,182.0,145.04072265624998,-7.323848042674362,7011.445263671874,924.0,75.4603759765625,41.519970703125
2019-04-07,2019-04-13,-118.0,443.9990234375,0.5715084493160248,-192.9603271484375,4477.2,54.6118798828125,192.9195556640625
2019-04-14,2019-04-20,72.0,7.398193359375001,-1.2962347641587257,-24.960095214843747,-1298.0,-0.21994628906250002,-1276.7608642578125
2019-04-21,2019-04-27,-90.0,-258.7198974609375,0.12055833779275416,-138.7197509765625,1411.2,120.7359521484375,217.43964843749998
2019-04-28,2019-05-04,-22.0,344.56142578125,1.6446384487301113,232.2010498046875,3384.0,44.368183593750004,127.799560546875
2019-05-05,2019-05-11,54.0,15.12001953125,0.693328157812357,32.0,96.80000000000001,-16.632021484375002,-13.639892578125
2019-05-12,2019-05-18,-10.0,454.2802001953125,-1.6550452247075726,-36.4799072265625,-3574.8,-366.74816162109374,39.9601318359375
2019-05-19,2019-05-25,-274.0,-13.440234375000001,-0.16934470273554625,-130.7200927734375,556.0,15.568271484375002,-21.199951171875
2019-05-26,2019-06-01,-104.0,62.3990478515625,4.393196105957031,32.39996337890625,-438.40000000000003,-0.7679882812500001,2740.0
2019-06-02,2019-06-08,-14.0,-2083.2000000000003,-10.763334197998047,-261.9597290039062,-62.4,2.52,1019.2
2019-06-09,2019-06-15,114.0,228.52192382812498,-0.017978581665083797,-79.64002685546875,218.4,9.048076171875,-0.2801025390625
2019-06-16,2019-06-22,84.0,-1636.801513671875,-2.7285266192629813,-534.6388061523438,4879.2,225.984208984375,973.55888671875
2019-06-23,2019-06-29,256.0,1748.317822265625,5.438371725976467,380.160241699221,-1461.6,-68.20791503906248,257.0408203125
2019-06-30,2019-07-06,-18.0,429.84052734375,1.528829912208021,8.63999023437491,665.6,10.3480126953125,593.91875
2019-07-07,2019-07-13,-14.0,0.0,2.49772590122186,-782.600158691407,550.8000000000001,-0.0,42.4799560546875
2019-07-14,2019-07-20,320.0,1250.8,1.3263326680660248,-19.199218750003638,-140.0,-53.0,-34.4399658203125
2019-07-21,2019-07-27,-96.0,-340.1993408203125,7.417783142114046,2175.6807617187487,29376.0,115.66777587890624,-2899.19921875
2019-07-28,2019-08-03,-564.0,-1788.4810546875,-0.3929424819350243,213.44011230468752,-1862.3999999999999,-80.31604736328124,-314.879296875
2019-08-04,2019-08-10,36.0,1548.3604980468751,0.0,-209.03990478515624,42976.8,-1156.7163720703127,-11.284130859375
