first_day_in_week,last_day_in_week,MNPR_main_symb_weekly_mean_diff,HNMR.TA_weekly_mean_diff_0.52,IBI.TA_weekly_mean_diff_0.55,OPAL.TA_weekly_mean_diff_0.51_INT_ZUR.TA_weekly_mean_diff_0.38_corr_0.71,BIG.TA_weekly_mean_diff_0.44_INT_AVIV.TA_weekly_mean_diff_0.38_corr_0.75,OPAL.TA_weekly_mean_diff_0.51_INT_ALRPR.TA_weekly_mean_diff_0.49_corr_0.72
2019-03-03,2019-03-09,-1.9799987792968865,-18.4,-4.8,1.455993652343691,1456.0,9.519958496093363
2019-03-10,2019-03-16,5.520001220703125,39.6,29.0,2.9040026855469003,1738.3999999999999,95.04008789062583
2019-03-17,2019-03-23,-1.8400024414062384,15.2,8.0,3.8159912109375003,1079.2,0.0
2019-03-24,2019-03-30,4.2200012207031135,1.0,-12.8,2.07998046875,-28.8,-11.959887695312501
2019-03-31,2019-04-06,0.460003662109375,19.2,20.2,-46.67999267578125,464.0,93.3599853515625
2019-04-07,2019-04-13,0.15999755859375,3.0,16.2,19.1520263671875,1542.8,-37.24005126953125
2019-04-14,2019-04-20,0.4,-11.4,-7.4,-0.8840063476562501,-1884.8,-30.600219726562504
2019-04-21,2019-04-27,-3.2,6.8,0.0,6.8,508.79999999999995,23.8
2019-04-28,2019-05-04,0.0,0.8,16.0,26.491990966796877,-1700.0,250.59991455078125
2019-05-05,2019-05-11,-0.720001220703125,-8.6,-20.4,-3.100006103515625,24.0,-22.320043945312502
2019-05-12,2019-05-18,-1.3,-10.2,37.8,0.044002685546875,-849.6,-0.36002197265624997
2019-05-19,2019-05-25,-1.139996337890625,-6.4,-23.0,-20.88,-2433.6,57.6
2019-05-26,2019-06-01,0.019995117187511367,4.8,-1.6,5.5,-64.39999999999999,82.0
2019-06-02,2019-06-08,-0.8799987792968864,0.0,-50.4,-0.36000000000000004,4704.0,-54.0
2019-06-09,2019-06-15,0.24000244140625,-0.2,30.4,8.8,-249.6,-148.0
2019-06-16,2019-06-22,1.720001220703125,-3.4,1.2,-0.8159985351562501,1972.0,-183.59967041015628
2019-06-23,2019-06-29,10.539996337890623,6.2,-10.4,9.0,-230.4,-36.0
2019-06-30,2019-07-06,0.3799987792968864,25.2,-6.0,11.33599365234375,288.0,706.3196044921875
2019-07-07,2019-07-13,0.3800048828124886,23.8,-4.6,-20.328010253906253,-1220.8,159.72008056640627
2019-07-14,2019-07-20,1.739996337890625,-3.6,16.4,5.175581518560657,220.00000000000003,90.43970947265625
2019-07-21,2019-07-27,-1.15999755859375,-4.2,-13.0,6.968773364275722,1561.6000000000001,-42.159875488281244
2019-07-28,2019-08-03,11.599993896484374,17.6,23.6,-3.7200073242187504,-25.2,94.240185546875
2019-08-04,2019-08-10,-2.3199951171875,24.4,-16.2,3.837609716802817,3120.0,-127.9201904296875
2019-08-11,2019-08-17,3.8800048828125,-9.6,-9.2,0.7079992675781273,336.0,11.4
2019-08-18,2019-08-24,3.6199951171875,-2.2,-2.4,-25.219952392578275,-4622.400000000001,-520.0
2019-08-25,2019-08-31,-0.0199951171875,14.4,25.2,-69.24001464843744,-104.39999999999999,-102.0
2019-09-01,2019-09-07,1.17999267578125,73.4,4.6,4.800000000000001,810.0,0.0
2019-09-08,2019-09-14,-0.6999969482421875,11.6,-6.6,22.271978759765624,192.0,46.0799560546875
2019-09-15,2019-09-21,-0.44000244140625,-15.5,-44.25,-0.20000076293945312,-215.0,38.000144958496094
2019-09-22,2019-09-28,9.45001220703125,8.8,9.8,5.4,-940.8000000000001,18.0
2019-09-29,2019-10-05,3.633321126302084,0.5,-2.0,15.60003662109375,277.5,26.00006103515625
2019-10-06,2019-10-12,12.23333740234375,39.0,9.666666666666666,1.633338080512153,1689.9999999999998,175.0005086263021
2019-10-13,2019-10-19,-13.433329264322914,-7.333333333333333,-48.333333333333336,30.277777777777782,7101.111111111112,-5.555555555555556
2019-10-20,2019-10-26,0.0,-27.0,-7.0,18.666666666666664,-2755.555555555556,-240.0
2019-10-27,2019-11-02,-0.9800048828125,-10.0,5.8,-22.11998291015625,91.19999999999999,31.5999755859375
2019-11-03,2019-11-09,-0.5,8.2,-10.2,7.776013183593751,-182.4,-73.44012451171875
2019-11-10,2019-11-16,6.52000732421875,-41.2,7.4,6.6240087890625,210.0,-49.68006591796875
2019-11-17,2019-11-23,0.9,7.0,25.4,-22.187989501953123,413.99999999999994,134.1599365234375
2019-11-24,2019-11-30,-4.14000244140625,-43.8,24.6,5.512012939453125,4617.6,68.64016113281251
2019-12-01,2019-12-07,2.54000244140625,-2.2,46.8,-6.383979492187564,514.8000000000001,11.399963378906364
2019-12-08,2019-12-14,2.6199951171875,64.6,-60.8,-43.63189453125025,6156.0,-40.39990234375023
2019-12-15,2019-12-21,1.54000244140625,12.6,-2.4,3.339996337890625,-1234.8,227.1197509765625
2019-12-22,2019-12-28,-0.7,33.8,17.4,-0.6080004882812501,-1980.0,-63.84005126953125
2019-12-29,2020-01-04,-1.4,16.4,47.4,36.260000000000005,4989.599999999999,294.0
2020-01-05,2020-01-11,1.6199951171875,-24.2,-25.4,-95.39999999999999,-4940.0,396.0
2020-01-12,2020-01-18,-0.239990234375,21.2,11.6,3.9480102539062027,4857.599999999999,-392.9210205078078
2020-01-19,2020-01-25,0.2199951171875,-18.0,-22.2,-3.5519458007814184,11891.6,20.159692382813457
2020-01-26,2020-02-01,-1.1,-12.0,33.6,4.10400146484375,-917.6,752.4002685546875
2020-02-02,2020-02-08,0.34000244140625,6.2,-72.0,27.392031249999857,-444.40000000000003,132.6801513671868
2020-02-09,2020-02-15,2.75999755859375,36.0,19.4,43.43204345703105,900.0,-73.20007324218716
2020-02-16,2020-02-22,-0.6800048828125,2.4,-17.6,53.79998779296875,440.00000000000006,893.0797973632812
2020-02-23,2020-02-29,-4.149993896484375,-52.8,-1.0,100.8,-2099.6,1226.3999999999999
2020-03-01,2020-03-07,-18.89999389648437,-32.5,-67.75,1221.875,37852.5,18912.5
2020-03-08,2020-03-14,-9.94000244140625,-131.75,-241.5,3421.3375930786124,253583.75,30591.499999999993
2020-03-15,2020-03-21,-15.160003662109375,-97.2,-88.0,243.73274467773743,84816.0,452.4879602050783
2020-03-22,2020-03-28,3.220001220703125,-1.2,81.2,165.05758243408053,393.59999999999997,4129.728229980468
2020-03-29,2020-04-04,12.53333536783854,27.8,79.0,62.6687961914019,15876.0,1127.3036627197287
2020-04-05,2020-04-11,6.166666666666668,60.0,66.33333333333333,78.57798936631879,23400.0,-278.0451931423588
2020-04-12,2020-04-18,2.420001220703102,-15.0,14.666666666666666,5.502350328282787,-621.1111111111111,76.00173950194772
2020-04-19,2020-04-25,7.0,-15.4,37.2,5.212415551766718,5319.2,60.09213256835897
2020-04-26,2020-05-02,13.319995117187524,121.33333333333333,43.333333333333336,327.1952016873078,15200.0,1965.5980224609375
2020-05-03,2020-05-09,-3.8,-12.2,-52.0,23.026421044915914,1176.0,-1023.2757678222655
2020-05-10,2020-05-16,4.12000732421875,-49.4,-9.8,180.33906708985566,12168.0,1939.2627734374998
2020-05-17,2020-05-23,-0.475006103515625,48.6,-25.6,-4.4799999999999995,12.0,-16.28
2020-05-24,2020-05-30,0.5,43.5,-43.0,43.70625686645508,6375.0,-0.0
2020-05-31,2020-06-06,2.649993896484375,-3.6,-0.8,-6.614767138659954,-600.0,-7.3599609375
2020-06-07,2020-06-13,1.7800048828125,0.25,13.75,-15.436206359881908,12453.75,240.15569686889648
2020-06-14,2020-06-20,1.45999755859375,32.6,-14.2,93.80878081053496,3966.4,-569.66373046875
2020-06-21,2020-06-27,1.260003662109375,-2.2,-0.8,55.968019409179604,3330.0,385.0881335449213
2020-06-28,2020-07-04,-6.309600830078125,-15.200010681152254,-20.4,-13.448028465272383,655.999267578125,288.6397381591669
2020-07-05,2020-07-11,1.9614013671875,-15.199989318847747,22.8,15.831581156162741,2667.597857666016,34.44407530965878
2020-07-12,2020-07-18,0.0,7.0,27.6,-0.5192023437470491,7212.8,3.7759960937500185
2020-07-19,2020-07-25,,-14.2,-3.4,16.228790698237713,729.6,-5.096001586914048
