first_day_in_week,last_day_in_week,KAFR_main_symb_weekly_mean_diff,PCBT.TA_weekly_mean_diff_0.41,MTRX.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,4.6,1.379998779296875,3.8
2019-03-17,2019-03-23,-2.2,7.8,-16.4
2019-03-24,2019-03-30,25.4,-0.6599975585937727,10.8
2019-03-31,2019-04-06,-5.6,1.4799926757812727,43.2
2019-04-07,2019-04-13,-12.8,3.1800048828125,60.0
2019-04-14,2019-04-20,-14.2,1.7,-24.0
2019-04-21,2019-04-27,-0.6,0.3199951171875,-1.0
2019-04-28,2019-05-04,-2.4,3.42000732421875,-46.0
2019-05-05,2019-05-11,-9.0,-0.85999755859375,14.6
2019-05-12,2019-05-18,-1.6,0.4199951171875,24.4
2019-05-19,2019-05-25,-15.8,0.9199951171875,48.0
2019-05-26,2019-06-01,7.2,0.72000732421875,38.6
2019-06-02,2019-06-08,14.0,-0.85999755859375,-24.6
2019-06-09,2019-06-15,6.6,-0.52000732421875,-7.0
2019-06-16,2019-06-22,2.8,-0.0199951171875,-27.8
2019-06-23,2019-06-29,-14.2,-7.52000732421875,15.8
2019-06-30,2019-07-06,7.0,2.060009765625,92.6
2019-07-07,2019-07-13,0.6,0.7,-2.6
2019-07-14,2019-07-20,-13.8,-3.8400024414062726,-30.4
2019-07-21,2019-07-27,-5.6,-0.6800048828124545,7.4
2019-07-28,2019-08-03,5.4,-4.419995117187545,15.0
2019-08-04,2019-08-10,-13.2,-4.540002441406227,-14.0
2019-08-11,2019-08-17,11.8,-2.25999755859375,-12.0
2019-08-18,2019-08-24,-7.2,2.0199951171875115,57.2
2019-08-25,2019-08-31,18.0,-4.879998779296886,-25.0
2019-09-01,2019-09-07,-5.0,-5.0,-8.8
2019-09-08,2019-09-14,-14.75,-5.079998779296875,-31.6
2019-09-15,2019-09-21,7.8,2.6750030517578125,66.5
2019-09-22,2019-09-28,28.0,3.579998779296875,56.4
2019-09-29,2019-10-05,10.0,8.699996948242188,23.0
2019-10-06,2019-10-12,-5.666666666666668,5.466664632161458,34.666666666666664
2019-10-13,2019-10-19,2.333333333333333,0.100006103515625,32.666666666666664
2019-10-20,2019-10-26,-12.2,1.1999918619791856,58.0
2019-10-27,2019-11-02,-17.6,-3.2399963378906365,26.2
2019-11-03,2019-11-09,-7.4,0.920001220703125,-77.8
2019-11-10,2019-11-16,2.0,-2.820001220703125,117.6
2019-11-17,2019-11-23,1.4,-8.679998779296875,45.2
2019-11-24,2019-11-30,3.4,-2.620001220703125,-104.2
2019-12-01,2019-12-07,4.0,-0.720001220703125,43.8
2019-12-08,2019-12-14,-0.2,1.3,49.4
2019-12-15,2019-12-21,-4.6,-2.4400024414062385,-26.0
2019-12-22,2019-12-28,22.8,12.5,29.0
2019-12-29,2020-01-04,12.2,-3.379998779296886,77.2
2020-01-05,2020-01-11,8.6,-0.32000122070311365,-11.0
2020-01-12,2020-01-18,-20.2,4.7,106.6
2020-01-19,2020-01-25,-3.2,2.5400024414062385,3.4
2020-01-26,2020-02-01,-28.0,-0.979998779296875,-101.2
2020-02-02,2020-02-08,6.0,-1.920001220703125,-70.4
2020-02-09,2020-02-15,9.0,2.84000244140625,-1.0
2020-02-16,2020-02-22,-13.2,1.079998779296875,18.4
2020-02-23,2020-02-29,-10.0,-6.279998779296875,-108.0
2020-03-01,2020-03-07,-54.75,-13.200004577636719,-163.25
2020-03-08,2020-03-14,-27.619995117187518,-19.875,-328.0
2020-03-15,2020-03-21,23.619995117187518,-10.879998779296875,127.0
2020-03-22,2020-03-28,1.8,5.6,95.6
2020-03-29,2020-04-04,24.66666666666667,21.3,77.4
2020-04-05,2020-04-11,22.66666666666667,2.3333333333333335,93.0
2020-04-12,2020-04-18,5.6,-0.3333333333333333,2.6666666666666665
2020-04-19,2020-04-25,7.666666666666668,2.5599975585937615,86.8
2020-04-26,2020-05-02,-13.6,1.1000061035156061,33.0
2020-05-03,2020-05-09,-5.0,3.1399963378906364,-77.0
2020-05-10,2020-05-16,-2.4,1.6800048828124887,-20.2
2020-05-17,2020-05-23,3.0,4.539996337890625,128.2
2020-05-24,2020-05-30,30.2,4.625,208.5
2020-05-31,2020-06-06,15.5,-0.32000122070311365,-36.8
2020-06-07,2020-06-13,-2.6,1.2000045776367045,59.5
2020-06-14,2020-06-20,-19.2,-1.820001220703125,50.0
2020-06-21,2020-06-27,-15.8,1.64000244140625,-103.0
2020-06-28,2020-07-04,1.8,-3.0400062561035157,-2.6
2020-07-05,2020-07-11,18.6,0.46000137329102697,20.0
2020-07-12,2020-07-18,-15.4,-9.959997558593761,42.0
2020-07-19,2020-07-25,0.25,10.120001220703125,58.0
2020-07-26,2020-08-01,,-0.7750015258789062,157.75
