first_day_in_week,last_day_in_week,AVLN_main_symb_weekly_mean_diff,MEAT.TA_weekly_mean_diff_0.39
2019-04-21,2019-04-27,-3.039996337890625,-3.0799987792968637
2019-04-28,2019-05-04,-3.300003051757841,-4.120001220703131
2019-05-05,2019-05-11,0.12000122070313635,7.379998779296881
2019-05-19,2019-05-25,0.4399963378906364,4.399999999999994
2019-05-26,2019-06-01,0.7,-1.0400024414062272
2019-06-02,2019-06-08,0.02000122070311363,-2.919998168945324
2019-06-09,2019-06-15,-1.15999755859375,3.360000610351551
2019-06-16,2019-06-22,0.8,0.8799987792968864
2019-06-23,2019-06-29,0.05999755859375,-11.4
2019-06-30,2019-07-06,-0.6,3.0799987792968806
2019-07-07,2019-07-13,0.0,-4.579998779296881
2019-07-14,2019-07-20,0.2799987792968864,-1.9799987792968807
2019-07-21,2019-07-27,-0.6200012207031363,-1.6600006103515568
2019-07-28,2019-08-03,0.7600036621093637,-1.5600006103515625
2019-08-04,2019-08-10,-0.4799987792968636,0.6
2019-08-11,2019-08-17,0.5399963378906364,-1.7
2019-08-18,2019-08-24,-0.7,1.0
2019-08-25,2019-08-31,-1.0399963378906365,-0.979998779296875
2019-09-01,2019-09-07,-2.4800018310546874,-1.0800018310546875
2019-09-08,2019-09-14,0.2999992370605469,0.2
2019-09-15,2019-09-21,0.3200012207031193,-0.7000007629394531
2019-09-22,2019-09-28,0.5,6.020001220703125
2019-09-29,2019-10-05,2.9999999999999907,20.349998474121094
2019-10-06,2019-10-12,1.2666625976562882,-2.1000010172525947
2019-10-13,2019-10-19,0.03333536783852272,-4.199996948242197
2019-10-20,2019-10-26,-1.474998474121108,-5.033335367838542
2019-10-27,2019-11-02,-2.600002288818345,-1.8
2019-11-10,2019-11-16,0.5600006103515625,-1.479998779296875
2019-11-17,2019-11-23,-0.02000122070311932,-1.120001220703125
2019-11-24,2019-11-30,-0.9799987792968808,0.520001220703125
2019-12-01,2019-12-07,3.7,-0.5
2019-12-08,2019-12-14,-2.7799987792968808,0.65999755859375
2019-12-15,2019-12-21,2.379998779296881,-1.4399993896484375
2019-12-22,2019-12-28,0.6200012207031136,-2.0600006103515627
2019-12-29,2020-01-04,0.6,5.000000000000005
2020-01-05,2020-01-11,-1.7,-1.9599975585937557
2020-01-12,2020-01-18,1.3799987792968864,-1.9
2020-01-19,2020-01-25,-0.3799987792968864,-1.44000244140625
2020-01-26,2020-02-01,0.20000203450522727,14.580001831054688
2020-02-02,2020-02-08,-1.0250015258789205,1.4399993896484375
2020-02-16,2020-02-22,-0.4,-0.4
2020-02-23,2020-02-29,-0.875,-3.180001831054682
2020-03-01,2020-03-07,0.09999847412110796,8.6500015258789
2020-03-08,2020-03-14,-2.25,-20.625
2020-03-15,2020-03-21,-0.879998779296875,-3.0399993896484374
2020-04-19,2020-04-25,-1.8333333333333333,3.620001220703125
2020-04-26,2020-05-02,0.5,13.233332316080729
2020-05-03,2020-05-09,0.060000610351556814,6.8000030517578125
2020-05-10,2020-05-16,-0.7,-4.24000244140625
2020-05-17,2020-05-23,0.3999938964844034,5.05999755859375
2020-05-24,2020-05-30,2.1000022888183523,12.150001525878906
2020-06-07,2020-06-13,0.0,8.75
2020-06-14,2020-06-20,-2.3,-2.8
2020-06-21,2020-06-27,1.939999389648437,-3.7800048828125
2020-06-28,2020-07-04,0.4500007629394531,9.5800048828125
2020-07-05,2020-07-11,-3.800003051757803,-14.45999755859375
2020-07-19,2020-07-25,0.6500015258788991,1.620001220703125
2020-07-26,2020-08-01,-0.4666646321614678,-20.5
2020-08-02,2020-08-08,-1.3799987792968806,5.4
2020-08-30,2020-09-05,-0.02000122070311932,-5.44000244140625
2020-09-06,2020-09-12,,-5.9400024414062385
