first_day_in_week,last_day_in_week,GILT_main_symb_weekly_mean_diff,ELCO.TA_weekly_mean_diff_0.45_INT_ELTR.TA_weekly_mean_diff_0.47_corr_0.8,GZT.TA_weekly_mean_diff_0.46_INT_AZRM.TA_weekly_mean_diff_0.49_corr_0.79,HARL.TA_weekly_mean_diff_0.45_INT_PHOE.TA_weekly_mean_diff_0.38_corr_0.83,MRIN.TA_weekly_mean_diff_0.45_INT_AZRM.TA_weekly_mean_diff_0.49_corr_0.8,NSTR.TA_weekly_mean_diff_0.37_INT_GZT.TA_weekly_mean_diff_0.46_corr_0.95,NSTR.TA_weekly_mean_diff_0.37_INT_MRIN.TA_weekly_mean_diff_0.45_corr_0.8,SNCM.TA_weekly_mean_diff_0.45_INT_SKLN.TA_weekly_mean_diff_0.39_corr_0.78
2019-03-10,2019-03-16,24.80003356933584,7128.4,-144.37188354492187,-28.81119140625,15.799154003933177,2995.56,-327.8153100585959,12.14399719238281
2019-03-17,2019-03-23,-63.00003051757793,19455.2,170.880078125,-22.14990234375,-3.20400146484375,2752.0,-51.6,-2.6879931640625
2019-03-24,2019-03-30,1.5999984741210027,-5280.0,-3.9200073242187274,1537.01953125,14.896027832031185,25.6,-97.28000000000014,22.32
2019-03-31,2019-04-06,11.000022888183594,-1497.6,8.879992675781285,813.3481494140625,-20.601575781256006,-7.199999999999999,16.70399414062497,25.6
2019-04-07,2019-04-13,26.599998474121186,172892.80000000002,30.191990966796876,606.0127148437499,-4.079998779296875,535.7600000000001,-72.4,-5.0
2019-04-14,2019-04-20,6.599995422363191,520.0,-0.5280029296875,40.595966796875,1.6016099609434704,-2.16,6.552004394531291,-80.64
2019-04-21,2019-04-27,-8.199993896484376,5758.400000000001,2.7559936523437503,32.77960449218729,2.9892008788883446,28.6,31.020080566406,3.8000030517578125
2019-04-28,2019-05-04,12.999993896484375,-633.5999999999999,10.97999267578125,142.00790527343662,0.36599975585937505,186.0,6.2,-30.175988769531354
2019-05-05,2019-05-11,-16.6,-3494.3999999999996,18.768050537109218,-14.803125,4.352011718749964,347.76,80.64,-2.6319885253906783
2019-05-12,2019-05-18,-10.0,880.0,2.4960058593749452,1164.409765625,-0.6344052978604775,-24.96,6.344038085937382,-12.03198852539068
2019-05-19,2019-05-25,-19.79999542236319,12560.0,0.26401611328124996,-72.027978515625,0.051203076168894315,340.56,66.04793701171816,-0.5760003662109341
2019-05-26,2019-06-01,5.200004577636628,29116.0,1.7280029296874864,-32.782216796875005,18.921626806631537,-28.32,-310.1039135742188,-7.191978759765691
2019-06-02,2019-06-08,14.599990844726562,115062.0,1.507985839843816,87.361083984375,-0.9983912597597082,163.56,-108.28806884765625,-4.96799560546877
2019-06-09,2019-06-15,-9.199981689453123,6630.0,3.5280102539062503,-1.69404296875,-3.04080986328423,42.0,-36.20001220703125,-0.7200073242187499
2019-06-16,2019-06-22,0.19996643066415346,5202.0,-5.6000000000000005,84.940693359375,-0.76,784.0,106.39999999999999,-4.88798278808599
2019-06-23,2019-06-29,-12.79998779296884,14036.800000000001,-173.67996826171876,301.982216796875,-20.841604345701636,468.0,56.160021972656246,-16.720034790038955
2019-06-30,2019-07-06,26.199989318847656,85919.20000000001,-115.35999145507812,38.831953125,95.2543728271503,96.60000000000001,-79.7639831542972,-0.060000610351556814
2019-07-07,2019-07-13,-23.40000152587881,5684.0,40.32,-3.7743945312499996,10.639999999999999,50.4,13.299999999999999,5.167990722656336
2019-07-14,2019-07-20,-12.199974060058775,27330.8,-9.215976562500218,36.413671875,0.30720624998210405,140.16,-4.672106933593418,-3.6799999999999997
2019-07-21,2019-07-27,15.999984741211028,179.2,-82.34386230468878,19.431650390625,-3.5915904296934835,6125.04,267.1557348632788,1.38
2019-07-28,2019-08-03,2.79998779296875,14396.400000000001,30.24799072265625,25.8890625,-29.92957138672453,162.64,-160.9278955078115,-3.215991821289063
2019-08-04,2019-08-10,-70.0,10611.6,-51.660000000000004,174.73681640625,7.476007690429688,2214.0,-320.40032958984375,0.72
2019-08-11,2019-08-17,43.60000610351572,2358.0,1.1199999999999999,48.53522460937501,-0.09599975585937501,11.2,-0.95999755859375,16.632015380859375
2019-08-18,2019-08-24,-14.199981689453125,72808.0,681.3599999999999,228.24635253906249,-2.856049804687384,8630.56,-36.17663085937353,11.388004760742144
2019-08-25,2019-08-31,7.000007629394349,170240.0,329.28000000000003,2.7744140625,46.03198974609385,3614.2400000000002,505.25588745117295,15.49599365234378
2019-09-01,2019-09-07,17.199974060058775,130540.0,-3.58400390625,96.138046875,10.528011474609375,-0.32000000000000006,0.9400000000000001,-5.1
2019-09-08,2019-09-14,-1.7499923706055824,13668.000000000002,-165.57196533203123,54.312998046875,51.30406042478978,641.84,-198.88027587890625,4.5
2019-09-15,2019-09-21,2.0000076293945312,20587.5,-12.124977111816406,178.44593811035156,14.186238021822785,124.375,-145.5189018249526,-6.093764305114746
2019-09-22,2019-09-28,-61.999988555907976,1504.0,-4.316162109375,104.96,0.2808118164539249,305.44,-19.87208984374937,19.079983520507813
2019-09-29,2019-10-05,31.666628519694015,207200.0,55.299957275390625,369.0,69.12494659423828,385.0,481.25,-101.99981689453125
2019-10-06,2019-10-12,-31.333287556966294,775866.6666666667,12.133341471354166,-3.0,57.83566840282733,32.666666666666664,155.7113104926212,85.94444444444443
2019-10-13,2019-10-19,10.999997456868336,1777.777777777778,50.133355034722214,245.66666666666666,86.47996093746687,177.77777777777777,306.66639539930554,41.299957275390625
