first_day_in_week,last_day_in_week,LUDN_main_symb_weekly_mean_diff,NSTR.TA_weekly_mean_diff_0.46_INT_ADGR.TA_weekly_mean_diff_0.37_corr_0.81,OPAL.TA_weekly_mean_diff_0.39_INT_MNRV.TA_weekly_mean_diff_0.38_corr_0.78,ZUR.TA_weekly_mean_diff_0.4_INT_ASHG.TA_weekly_mean_diff_0.41_corr_0.78
2019-03-10,2019-03-16,-3.15999755859375,-154.487080078125,-58.0803759768591,33.0
2019-03-17,2019-03-23,-10.420007324218727,-18.919580078125,729.2788378894297,15.840000000000002
2019-03-24,2019-03-30,16.199999999999974,64.51203124999999,56.67943603545427,-409.6
2019-03-31,2019-04-06,4.74000244140625,10.799999999999999,373.43899169936776,116.39999999999999
2019-04-07,2019-04-13,1.35999755859375,421.36764648437503,771.4010620117188,213.12
2019-04-14,2019-04-20,-4.45999755859375,2.4840087890625,-4.080070801079273,46.28
2019-04-21,2019-04-27,-5.8,11.440026855468751,-108.8004150390625,71.2
2019-04-28,2019-05-04,-2.8800048828125,209.560302734375,708.8393212892115,241.24
2019-05-05,2019-05-11,-0.95999755859375,-17.639999999999997,-11.159946288913488,201.0
2019-05-12,2019-05-18,0.4800048828125,0.10397460937500001,5.240322265773982,-133.32000000000002
2019-05-19,2019-05-25,6.94000244140625,-100.62,311.40032958984244,375.84
2019-05-26,2019-06-01,-3.3,24.071884765625,56.00006103515625,-743.5999999999999
2019-06-02,2019-06-08,-0.04000244140625,225.6,640.7995605468777,8.64
2019-06-09,2019-06-15,-3.52000732421875,78.4000244140625,167.99987792968895,-0.0
2019-06-16,2019-06-22,0.42000732421875,-27.44013671875,138.71950195357203,-3.04
2019-06-23,2019-06-29,0.77999267578125,-50.040087890624996,50.3997802734375,-1.0
2019-06-30,2019-07-06,0.5,-13.523898925781252,1246.960898436606,-25.480000000000004
2019-07-07,2019-07-13,-5.1199951171875,5.04005126953125,-479.16142334043633,-352.8
2019-07-14,2019-07-20,-1.5199951171875,-2.62789306640625,196.07927734404856,106.23596191406268
2019-07-21,2019-07-27,-0.4,503.9042651367187,560.478496093303,160.73186035156317
2019-07-28,2019-08-03,0.15999755859375,1.7121044921875,1108.5617285147327,47.400000000000006
2019-08-04,2019-08-10,-7.780004882812477,136.799560546875,47.55997070297718,3.7440039062499824
2019-08-11,2019-08-17,3.9400024414062274,-10.0,30.0,-284.6157055664072
2019-08-18,2019-08-24,34.3,1219.6483154296875,883.9984130859375,133.47174804687577
2019-08-25,2019-08-31,-12.7,-73.76,-1836.0003662109375,327.73606933593715
