first_day_in_week,last_day_in_week,MVNE_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.36,TUZA.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,-1.3599975585937727,1.3200012207031364,0.3599998474121094
2019-03-17,2019-03-23,8.6,2.1199951171875,0.3599998474121094
2019-03-24,2019-03-30,-3.4,-0.25999755859375,0.04000015258789062
2019-03-31,2019-04-06,4.94000244140625,7.779998779296875,0.0
2019-04-07,2019-04-13,3.25999755859375,2.660003662109375,-0.14000015258789061
2019-04-14,2019-04-20,2.75999755859375,-0.34000244140625,-0.01999969482421875
2019-04-21,2019-04-27,-2.97999267578125,1.7,-0.4
2019-04-28,2019-05-04,3.6,-3.579998779296875,-0.3
2019-05-05,2019-05-11,1.2,-0.620001220703125,0.0
2019-05-12,2019-05-18,2.8199951171875,-0.020001220703125,0.3400001525878906
2019-05-19,2019-05-25,0.0,0.9,-0.020000457763671875
2019-05-26,2019-06-01,2.0,-0.5,-0.3
2019-06-02,2019-06-08,5.0800048828125,1.8,-0.41999969482421873
2019-06-09,2019-06-15,5.9199951171875,-1.0,0.15999984741210938
2019-06-16,2019-06-22,-0.6,-2.039996337890625,-0.04000015258789062
2019-06-23,2019-06-29,2.15999755859375,1.8,-0.2799995422363281
2019-06-30,2019-07-06,0.2,4.35999755859375,0.1
2019-07-07,2019-07-13,3.42000732421875,2.420001220703125,-0.24000015258789062
2019-07-14,2019-07-20,-1.62000732421875,-0.379998779296875,-0.24000015258789062
2019-07-21,2019-07-27,2.25999755859375,1.239996337890625,0.5400001525878906
2019-07-28,2019-08-03,6.1800048828125,1.24000244140625,-0.5
2019-08-04,2019-08-10,3.5800048828125,-0.820001220703125,1.18000030517578
2019-08-11,2019-08-17,10.2199951171875,-0.1,-0.020000457763670453
2019-08-18,2019-08-24,-10.2,-6.5,-0.3
2019-08-25,2019-08-31,-6.6,-3.0,-0.059999847412109376
2019-09-01,2019-09-07,1.45999755859375,3.0,-0.8599998474121093
2019-09-08,2019-09-14,4.25,1.279998779296875,0.45999984741210936
2019-09-15,2019-09-21,4.15999755859375,0.40000152587890625,-0.05000019073486328
2019-09-22,2019-09-28,-0.54998779296875,-1.8,-0.17999954223632814
2019-09-29,2019-10-05,1.0,-1.3000030517578125,-0.20000076293945312
2019-10-06,2019-10-12,10.0,0.7000020345052084,0.599999745686849
2019-10-13,2019-10-19,-7.0,0.8333333333333334,-0.09999974568684895
2019-10-20,2019-10-26,-5.7,2.6666666666666665,-0.5333328247070312
2019-10-27,2019-11-02,3.7800048828125,1.579998779296875,-0.020000457763671875
2019-11-03,2019-11-09,-1.3800048828125,0.720001220703125,0.3599998474121094
2019-11-10,2019-11-16,2.1199951171875,0.920001220703125,0.0
2019-11-17,2019-11-23,24.3800048828125,2.579998779296875,-0.4799995422363281
2019-11-24,2019-11-30,-0.5199951171875228,0.520001220703125,-0.12000045776367188
2019-12-01,2019-12-07,7.259997558593772,1.1399963378906364,0.1
2019-12-08,2019-12-14,2.85999755859375,-2.0199951171875115,0.5
2019-12-15,2019-12-21,-6.4,3.339996337890625,-0.2799995422363281
2019-12-22,2019-12-28,1.0,1.520001220703125,-0.28000030517578123
2019-12-29,2020-01-04,2.419995117187523,4.9,0.14000015258789061
2020-01-05,2020-01-11,-6.039990234375045,9.0,0.5199996948242187
2020-01-12,2020-01-18,7.119995117187523,-0.9400024414062387,0.38000030517578126
2020-01-19,2020-01-25,2.74000244140625,-0.23999633789063637,-0.6199996948242188
2020-01-26,2020-02-01,2.15999755859375,-3.420001220703125,-0.32000045776367186
2020-02-02,2020-02-08,-3.6,-2.1400024414062386,-0.5799995422363281
2020-02-09,2020-02-15,8.6,2.4400024414062385,0.1
2020-02-16,2020-02-22,-4.1,5.379998779296875,-0.3600006103515625
2020-02-23,2020-02-29,-13.899993896484403,-2.8,0.24000015258789062
2020-03-01,2020-03-07,-43.17500305175778,-21.25,-1.175000190734865
2020-03-08,2020-03-14,-6.0800048828125,-30.499999999999993,0.10000038146972834
2020-03-15,2020-03-21,-7.15999755859375,-13.87999877929688,-0.41999969482421873
2020-03-22,2020-03-28,5.94000244140625,10.960000610351562,1.1399993896484375
2020-03-29,2020-04-04,-17.566670735677082,6.119998168945324,-0.21999969482421874
2020-04-05,2020-04-11,-7.0,2.266672770182273,-0.7666664123535156
2020-04-12,2020-04-18,4.8,-0.2666727701822727,0.5333328247070312
2020-04-19,2020-04-25,23.63334147135417,1.6600036621093637,0.4400001525878906
2020-04-26,2020-05-02,-13.260009765625,6.066660563151042,0.3333333333333333
2020-05-03,2020-05-09,0.12000732421875,5.379998779296875,-0.04000015258789062
2020-05-10,2020-05-16,-0.04000244140625,-7.7199951171875,1.1599998474121094
2020-05-17,2020-05-23,13.75,-0.2,2.8400001525878906
2020-05-24,2020-05-30,-7.0,-2.25,-0.25
2020-05-31,2020-06-06,7.725006103515625,0.45999755859375,-0.27999954223632956
2020-06-07,2020-06-13,-11.6,1.3249969482421875,0.34999942779541193
2020-06-14,2020-06-20,-13.6,-5.15999755859375,0.04000015258789062
2020-06-21,2020-06-27,18.219999694824214,-3.5200012207031195,0.5800003051757798
2020-06-28,2020-07-04,-15.280009460449216,-4.100000190734863,-0.24000043869018411
2020-07-05,2020-07-11,2.660009765625,-1.5799985885620174,0.34000043869018415
2020-07-12,2020-07-18,-7.5800048828125,1.1799987792968807,0.23999938964843892
2020-07-19,2020-07-25,15.300003051757812,1.9600006103515568,1.7400009155273437
2020-07-26,2020-08-01,,0.9750022888183523,0.0
