first_day_in_week,last_day_in_week,REKA_main_symb_weekly_mean_diff,DLRL.TA_weekly_mean_diff_0.37
2019-03-10,2019-03-16,4.6,-8.4
2019-03-17,2019-03-23,-32.8,8.0
2019-03-24,2019-03-30,21.4,-2.6
2019-03-31,2019-04-06,-32.4,3.2
2019-04-07,2019-04-13,-34.8,-11.4
2019-04-14,2019-04-20,23.2,-2.6
2019-04-21,2019-04-27,-12.0,-3.6
2019-04-28,2019-05-04,-13.2,-6.6
2019-05-05,2019-05-11,19.0,-3.4
2019-05-12,2019-05-18,-7.4,-25.8
2019-05-19,2019-05-25,1.2,11.180004882812478
2019-05-26,2019-06-01,-4.0,-11.520007324218728
2019-06-02,2019-06-08,7.4,15.74000244140625
2019-06-09,2019-06-15,-13.4,-5.44000244140625
2019-06-16,2019-06-22,-42.6,4.059997558593773
2019-06-23,2019-06-29,86.0,-1.6599975585937727
2019-06-30,2019-07-06,-69.2,-1.1400024414062273
2019-07-07,2019-07-13,-44.2,-11.639990234375023
2019-07-14,2019-07-20,5.2,-15.24000244140625
2019-07-21,2019-07-27,44.6,10.9199951171875
2019-07-28,2019-08-03,0.0,0.52000732421875
2019-08-04,2019-08-10,-6.4,-15.44000244140625
2019-08-11,2019-08-17,6.2,-5.15999755859375
2019-08-18,2019-08-24,2.8,14.17999267578125
2019-08-25,2019-08-31,3.8,7.42000732421875
2019-09-01,2019-09-07,9.2,19.6199951171875
2019-09-08,2019-09-14,-43.5,-1.1
2019-09-15,2019-09-21,-3.2,-3.7749938964844034
2019-09-22,2019-09-28,21.5,-0.9400024414062272
2019-09-29,2019-10-05,16.0,7.649993896484375
2019-10-06,2019-10-12,-28.33333333333333,-2.6999918619792047
2019-10-13,2019-10-19,21.33333333333333,2.7999877929687877
2019-10-20,2019-10-26,-20.2,-20.23333740234375
2019-10-27,2019-11-02,9.0,-1.65999755859375
2019-11-03,2019-11-09,-9.0,12.7800048828125
2019-11-10,2019-11-16,-6.8,-13.7800048828125
2019-11-17,2019-11-23,-18.8,-8.77999267578125
2019-11-24,2019-11-30,-4.8,-6.54000244140625
2019-12-01,2019-12-07,-8.8,-9.4800048828125
2019-12-08,2019-12-14,-12.6,10.04000244140625
2019-12-15,2019-12-21,-9.8,-2.8800048828125
2019-12-22,2019-12-28,36.8,6.84000244140625
2019-12-29,2020-01-04,58.0,19.159997558593773
2020-01-05,2020-01-11,6.0,3.240002441406227
2020-01-12,2020-01-18,-22.8,-2.4199951171875
2020-01-19,2020-01-25,-14.0,-24.92000732421875
2020-01-26,2020-02-01,-24.0,-2.9199951171875
2020-02-02,2020-02-08,-9.8,-5.4
2020-02-09,2020-02-15,22.8,12.1800048828125
2020-02-16,2020-02-22,-44.2,-4.04000244140625
2020-02-23,2020-02-29,-4.25,-6.82000732421875
2020-03-01,2020-03-07,12.25,-4.0
2020-03-08,2020-03-14,-47.4,-43.09999084472659
2020-03-15,2020-03-21,39.0,5.159997558593773
2020-03-22,2020-03-28,5.0,2.5199951171875
2020-03-29,2020-04-04,4.333333333333333,29.8800048828125
2020-04-05,2020-04-11,17.333333333333332,12.9666748046875
2020-04-12,2020-04-18,-9.6,-3.0
2020-04-19,2020-04-25,-2.6666666666666665,-18.22000732421875
2020-04-26,2020-05-02,-2.0,15.900004069010416
2020-05-03,2020-05-09,-18.8,-16.5
2020-05-10,2020-05-16,17.8,-18.1199951171875
2020-05-17,2020-05-23,3.5,-1.860009765625
2020-05-24,2020-05-30,-1.4,-1.399993896484375
2020-05-31,2020-06-06,20.75,7.5
2020-06-07,2020-06-13,8.4,7.25
2020-06-14,2020-06-20,-20.2,-7.4800048828125
2020-06-21,2020-06-27,13.400001525878904,-5.4
2020-06-28,2020-07-04,-25.400001525878906,-18.999994659423827
2020-07-05,2020-07-11,12.6,-8.460002899169911
2020-07-12,2020-07-18,-16.2,2.3600036621093636
2020-07-19,2020-07-25,16.75,9.779998779296875
2020-07-26,2020-08-01,,-8.449996948242188
