first_day_in_week,last_day_in_week,ZMH_main_symb_weekly_mean_diff,ASHG.TA_weekly_mean_diff_0.36_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.78,ELCO.TA_weekly_mean_diff_0.43_INT_AZRM.TA_weekly_mean_diff_0.48_corr_0.79,GOHO.TA_weekly_mean_diff_0.4_INT_ADGR.TA_weekly_mean_diff_0.36_corr_0.76,ILDC.TA_weekly_mean_diff_0.51_INT_GZT.TA_weekly_mean_diff_0.44_corr_0.79,PTBL.TA_weekly_mean_diff_0.35_INT_NSTR.TA_weekly_mean_diff_0.41_corr_0.76
2020-03-29,2020-04-04,36.66666666666666,661.5041577148437,-439.2800415039062,361.76,2502.72,57142.799999999996
2020-04-05,2020-04-11,35.0,4344.888888888889,18050.0,172.3887905544705,12761.666666666666,169722.22222222222
2020-04-12,2020-04-18,-11.4,-48.14446343315973,5213.330078125,304.3665262858073,3545.1111111111113,44426.666666666664
2020-04-19,2020-04-25,24.33333333333333,288.2522241210938,489.4392578125,2.112001953125,2429.5200000000004,-10159.2
2020-04-26,2020-05-02,-36.0,5806.821784125434,1060.0,354.51102362738715,-826.6666666666667,66266.66666666667
2020-05-03,2020-05-09,-10.0,-229.40826171875003,1026.0,35.61597412109375,-640.8000000000001,20790.0
2020-05-10,2020-05-16,17.8,1420.2878515625,1366.8,120.8,3423.2,81175.2
2020-05-17,2020-05-23,16.75,1272.32,1651.679638671875,25.987982177734374,35.6,91.2
2020-05-24,2020-05-30,-9.4,1184.9251861572266,-4010.7481384277344,175.80010986328057,-892.5,27520.0
2020-05-31,2020-06-06,12.0,1826.2606201171875,1317.12041015625,308.44806152343693,-546.56,44525.200000000004
2020-06-07,2020-06-13,9.0,-1074.7119369506836,5181.251525878906,-34.6875,-481.25,-35955.0
2020-06-14,2020-06-20,0.2,-178.16404785156251,1516.9588867187501,16.380010986328127,426.4,13363.199999999999
2020-06-21,2020-06-27,4.799990844726564,2140.14,6130.400000000001,-8.19203125,319.44,-980.0000000000001
2020-06-28,2020-07-04,-21.999990844726558,122.67217387373672,-105.23946792600896,-35.9159405060031,487.2007952879237,9256.010675050638
2020-07-05,2020-07-11,33.0,607.2115750580584,3336.9595716855806,123.45604973601527,491.8394769285469,8474.391754152284
2020-07-12,2020-07-18,8.0,-26.22414550781386,5380.478906249999,-17.90322150878608,-132.48,4670.400000000001
2020-07-19,2020-07-25,-20.75,245.0877832031257,269.640087890625,45.936010742187506,652.08,-28950.4
2020-07-26,2020-08-01,,29.924942016601022,245.999755859375,13.050006866455078,317.625,-24570.0
