first_day_in_week,last_day_in_week,ZMH_main_symb_weekly_mean_diff,ASHG.TA_weekly_mean_diff_0.36_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.78,ELCO.TA_weekly_mean_diff_0.43_INT_AZRM.TA_weekly_mean_diff_0.48_corr_0.79,GOHO.TA_weekly_mean_diff_0.4_INT_ADGR.TA_weekly_mean_diff_0.36_corr_0.76,ILDC.TA_weekly_mean_diff_0.51_INT_GZT.TA_weekly_mean_diff_0.44_corr_0.79,PTBL.TA_weekly_mean_diff_0.35_INT_NSTR.TA_weekly_mean_diff_0.41_corr_0.76
2019-03-10,2019-03-16,15.94000244140625,33.0,-64.46794799804688,-9.183945312499999,-311.64000000000004,-1388.530078125
2019-03-17,2019-03-23,10.0,15.840000000000002,312.92414306640626,-1.0119775390624999,-236.8,14583.88671875
2019-03-24,2019-03-30,10.6,-409.6,21.560040283203,46.368022460937496,-26.0,-2618.88
2019-03-31,2019-04-06,3.6,116.39999999999999,92.35192382812535,-10.799999999999999,14.399999999999999,-650.304375
2019-04-07,2019-04-13,9.6,213.12,454.51186401367187,23.27998046875,436.6,29626.08
2019-04-14,2019-04-20,20.4,46.28,-1.14400634765625,7.452026367187501,-12.239999999999998,-265.42828125000005
2019-04-21,2019-04-27,-1.0,71.2,-25.0159423828125,-2.4960058593750003,-6.760000000000001,3305.06171875
2019-04-28,2019-05-04,1.8,241.24,-24.15598388671875,31.096044921875,-22.200000000000003,17828.7296875
2019-05-05,2019-05-11,-10.6,201.0,-60.928164062499484,5.319999999999999,-132.48,-3158.5739062499997
2019-05-12,2019-05-18,4.6,-133.32000000000002,0.8320019531249818,-0.0,-29.759999999999998,-1035.21640625
2019-05-19,2019-05-25,9.0,375.84,0.4000244140625,21.060000000000002,-145.2,4375.155937500001
2019-05-26,2019-06-01,-1.4,-743.5999999999999,-72.28812255859319,11.6279443359375,25.92,-6090.2104687500005
2019-06-02,2019-06-08,-21.0,8.64,19.811813964844617,57.6,183.28,-14554.581796875002
2019-06-09,2019-06-15,14.4,-0.0,14.28004150390625,31.360009765625,183.96,387.19921875
2019-06-16,2019-06-22,13.6,-3.04,3.4000000000000004,5.6840283203125,5.6000000000000005,10012.8109375
2019-06-23,2019-06-29,9.6,-1.0,378.08793090820313,-6.672011718749999,176.79999999999998,7731.00703125
2019-06-30,2019-07-06,5.8,-25.480000000000004,1390.9118969726562,-2.351982421875,-212.79999999999998,1449.824765625
2019-07-07,2019-07-13,2.2,-352.8,-54.88,3.1680322265625005,123.84,-1974.1421874999999
2019-07-14,2019-07-20,8.6,106.23596191406268,-43.583889160157284,1.04395751953125,499.2,2341.2525781249997
2019-07-21,2019-07-27,4.6,160.73186035156317,-16.351972656250254,-19.48801025390625,2695.9199999999996,199.80703125
2019-07-28,2019-08-03,-2.2,47.400000000000006,616.1038110351564,-0.3360205078125,133.76,28322.482031249998
2019-08-04,2019-08-10,-5.8,3.7440039062499824,46.62,10.031967773437499,590.4000000000001,-39650.4140625
2019-08-11,2019-08-17,37.8,-284.6157055664072,-1.8,39.0,-374.08,-482.9203125
2019-08-18,2019-08-24,-1.0,133.47174804687577,977.1599999999999,75.52001953125,841.68,87163.51828124998
2019-08-25,2019-08-31,-3.8,327.73606933593715,-893.7600000000001,-1.4400000000000002,501.76000000000005,25662.969609375003
2019-09-01,2019-09-07,-5.0,8.959999999999999,239.68026123046874,5.2080102539062505,9.28,61.93609375
2019-09-08,2019-09-14,18.25,-170.52,468.7319018554688,16.900000000000002,-315.23999999999995,19829.257656250003
2019-09-15,2019-09-21,2.0,-16.375,73.96236038208008,1.4875106811523438,-35.625,20632.573608398438
2019-09-22,2019-09-28,-16.0,-36.0,-4.88818359375,17.82,-3.3200000000000003,2849.053125
2019-09-29,2019-10-05,20.666666666666668,-78.0,884.79931640625,194.400146484375,126.0,3041.435546875
2019-10-06,2019-10-12,3.0,122.11111111111113,2139.512546115451,162.84440104166666,162.0,3713.111111111111
2019-10-13,2019-10-19,12.333333333333336,2180.0,250.66677517361111,342.3333333333333,158.22222222222223,10547.743055555557
2019-10-20,2019-10-26,17.6,233.33333333333334,272.0003255208333,81.03338623046875,-36.0,-3276.6927083333335
2019-10-27,2019-11-02,9.0,72.8,-10.2,-6.911992187500001,3.9599999999999995,6083.390625
2019-11-03,2019-11-09,-33.0,280.8,-26.8,-0.0,-32.16,-4920.86578125
2019-11-10,2019-11-16,12.6,-56.16,232.319677734375,-24.7680419921875,134.0,-887.8693749999999
2019-11-17,2019-11-23,17.4,-67.08,420.83876953125,31.251987304687503,2025.6000000000001,12028.873281249998
2019-11-24,2019-11-30,-2.6,744.12,1940.2805419921876,43.455986328125,8.64,-275.67093750000004
2019-12-01,2019-12-07,-6.0,21.279999999999998,365.0398681640625,-24.76798828125,-112.48,-1136.8256250000002
2019-12-08,2019-12-14,0.0,2384.6400000000003,768.5999999999999,-23.540026855468753,1434.88,10482.8
2019-12-15,2019-12-21,21.0,45.2,-13.6,-51.21202880859376,-688.5600000000001,4104.0
2019-12-22,2019-12-28,10.2,2.72,-265.43979492187503,-1.0760009765625,656.0400000000001,145.6
2019-12-29,2020-01-04,-0.6,8.88,17.60009765625,4.355983886718749,19.599999999999998,1778.4
2020-01-05,2020-01-11,-2.0,-644.4799999999999,1158.8395751953124,-4.760009765625,620.4,-2755.2000000000003
2020-01-12,2020-01-18,-0.6,-151.20000000000002,-40.560009765625,0.7559692382812501,-36.239999999999995,-1886.3999999999999
2020-01-19,2020-01-25,-10.0,-103.60000000000001,660.0,-0.0,-1702.0,4048.0
2020-01-26,2020-02-01,8.0,113.75999999999999,1.199951171875,0.68397216796875,-510.71999999999997,-5420.0
2020-02-02,2020-02-08,24.4,693.7600000000001,5051.99951171875,122.0,6901.84,20019.2
2020-02-09,2020-02-15,9.6,1078.68,-102.23994140625028,73.64395019531248,1435.76,10064.800000000001
2020-02-16,2020-02-22,-42.2,1124.0,503.87900390625464,-17.4239892578125,41.6,3252.4
2020-02-23,2020-02-29,-49.25,4608.0,6557.5182617187575,334.8,8715.199999999999,182912.4
2020-03-01,2020-03-07,-94.75,4600.0,8482.498168945312,202.0625,5601.75,141093.75
2020-03-08,2020-03-14,-65.4,50198.31386566162,64907.48062133789,4202.100154876709,137576.25,1825659.375
2020-03-15,2020-03-21,22.4,526.7999267578125,-1506.4924877929666,285.728291772455,4326.0,286291.2
2020-03-22,2020-03-28,12.2,2560.1995849609375,6572.860430908199,62.636449121087786,1432.5600000000002,13920.0
