first_day_in_week,last_day_in_week,BRND_main_symb_weekly_mean_diff,PTX.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,0.04000244140625,-0.5799995422363281
2019-03-17,2019-03-23,-3.0800048828125,0.0
2019-03-24,2019-03-30,3.0,-0.6599998474121094
2019-03-31,2019-04-06,0.04000244140625,-1.0200004577636705
2019-04-07,2019-04-13,-12.7199951171875,0.22000045776367044
2019-04-14,2019-04-20,-3.1200073242187267,-0.04000015258789062
2019-04-21,2019-04-27,-2.819995117187545,-0.24000015258789062
2019-04-28,2019-05-04,0.8400024414062728,-0.21999969482421874
2019-05-05,2019-05-11,-7.960003662109375,0.11999969482421875
2019-05-12,2019-05-18,-5.04000244140625,-0.08000030517578267
2019-05-19,2019-05-25,0.5799987792968864,0.04000015258789347
2019-05-26,2019-06-01,-2.2,0.1400001525878892
2019-06-02,2019-06-08,-0.7599975585937614,-0.7599998474121101
2019-06-09,2019-06-15,5.079998779296875,0.0799999237060561
2019-06-16,2019-06-22,1.7799987792968863,-0.24000015258789134
2019-06-23,2019-06-29,-1.9399963378906364,0.16000022888183524
2019-06-30,2019-07-06,-8.460003662109361,0.3199996948242202
2019-07-07,2019-07-13,0.0,-0.41999969482422017
2019-07-14,2019-07-20,-0.11999511718751135,0.03999977111816477
2019-07-21,2019-07-27,-1.2,-0.5399997711181648
2019-07-28,2019-08-03,-4.160003662109375,0.01999969482422017
2019-08-04,2019-08-10,3.379998779296886,-1.0199996948242194
2019-08-11,2019-08-17,0.18000488281248864,-0.2
2019-08-18,2019-08-24,1.039996337890625,0.3599998474121094
2019-08-25,2019-08-31,1.220001220703125,-0.1799999237060547
2019-09-01,2019-09-07,-0.4,0.059999847412109376
2019-09-08,2019-09-14,0.09999847412109376,-0.039999771118164065
2019-09-15,2019-09-21,1.8799987792968864,-0.5750002861022949
2019-09-22,2019-09-28,-17.899993896484407,-0.07999992370605469
2019-09-29,2019-10-05,4.766662597656269,-0.19999980926513672
2019-10-06,2019-10-12,-3.366658528645852,0.2999998728434245
2019-10-13,2019-10-19,0.7333272298177084,0.09999974568684895
2019-10-20,2019-10-26,0.9799987792968864,-0.2666664123535156
2019-10-27,2019-11-02,-5.659997558593762,0.07999992370605469
2019-11-03,2019-11-09,-0.85999755859375,1.0
2019-11-10,2019-11-16,0.379998779296875,-0.3
2019-11-17,2019-11-23,14.120001220703125,-0.03999977111816477
2019-11-24,2019-11-30,-9.8,-0.14000015258788992
2019-12-01,2019-12-07,7.75999755859375,-0.3
2019-12-08,2019-12-14,6.279998779296875,-0.3
2019-12-15,2019-12-21,5.220001220703125,0.12000007629394531
2019-12-22,2019-12-28,1.1,-0.04000015258789062
2019-12-29,2020-01-04,2.0,0.04000015258789062
2020-01-05,2020-01-11,0.0,-0.12000007629394531
2020-01-12,2020-01-18,-7.520001220703125,0.2799999237060547
2020-01-19,2020-01-25,2.520001220703125,0.12000007629394531
2020-01-26,2020-02-01,1.0,0.1799999237060547
2020-02-02,2020-02-08,1.5199951171875,0.0
2020-02-09,2020-02-15,2.4800048828125,0.2799999237060554
2020-02-16,2020-02-22,-2.259997558593773,0.0
2020-02-23,2020-02-29,-8.650001525878878,-0.3599998474121101
2020-03-01,2020-03-07,-20.25,-0.4250001907348633
2020-03-08,2020-03-14,-1.620001220703125,-1.5999999046325684
2020-03-15,2020-03-21,-0.820001220703125,-0.4
2020-03-22,2020-03-28,3.84000244140625,-0.13999996185302735
2020-03-29,2020-04-04,-8.033335367838541,0.33999996185302733
2020-04-05,2020-04-11,-11.799997965494793,0.16666666666666666
2020-04-12,2020-04-18,-6.079998779296875,-0.4333330790201823
2020-04-19,2020-04-25,24.599995930989586,18.779999923706054
2020-04-26,2020-05-02,-7.779998779296875,1.6666666666666667
2020-05-03,2020-05-09,-2.54000244140625,1.0800003051757812
2020-05-10,2020-05-16,0.460003662109375,1.1399993896484375
2020-05-17,2020-05-23,-2.975006103515625,-5.289959716796875
2020-05-24,2020-05-30,-2.05999755859375,-2.597475051879883
2020-05-31,2020-06-06,-14.324996948242188,-4.152059936523438
2020-06-07,2020-06-13,0.65999755859375,0.350000381469723
2020-06-14,2020-06-20,4.45999755859375,-0.9400001525878878
2020-06-21,2020-06-27,-13.619998168945312,0.15999984741210938
2020-06-28,2020-07-04,-5.460000610351557,0.04000015258789062
2020-07-05,2020-07-11,4.7800018310546815,0.3
2020-07-12,2020-07-18,-4.1,-0.8599998474121108
2020-07-19,2020-07-25,0.875,-0.22000045776367044
2020-07-26,2020-08-01,,0.40000057220458807
