first_day_in_week,last_day_in_week,NNDM_main_symb_weekly_mean_diff,CAMT.TA_weekly_mean_diff_0.38,EMTC.TA_weekly_mean_diff_0.4
2019-03-03,2019-03-09,-0.5599998474121094,-9.4,-0.2800003051757784
2019-03-10,2019-03-16,-0.7200004577636718,9.8,-0.1
2019-03-17,2019-03-23,-0.8,19.0,0.16000061035155966
2019-03-24,2019-03-30,0.7400001525878906,-23.0,-0.1
2019-03-31,2019-04-06,-0.07999954223632955,77.0,-0.48000030517578124
2019-04-07,2019-04-13,-0.4400001525878892,24.6,-0.1
2019-04-14,2019-04-20,0.7799995422363282,11.0,-0.7599990844726563
2019-04-21,2019-04-27,-0.7199996948242188,19.6,0.8399993896484375
2019-04-28,2019-05-04,0.24000015258789065,-37.6,0.5199996948242187
2019-05-05,2019-05-11,-1.140000152587891,-4.4,-0.38000030517577843
2019-05-12,2019-05-18,-1.7199996948242189,-66.2,-0.8199996948242216
2019-05-19,2019-05-25,-0.4400001525878906,-55.6,0.48000030517578124
2019-05-26,2019-06-01,-0.3800003051757813,1.6,-0.03999938964844034
2019-06-02,2019-06-08,0.22000045776367189,0.6,0.07999877929688068
2019-06-09,2019-06-15,0.0,-15.6,0.18000030517577842
2019-06-16,2019-06-22,-0.22000045776367189,42.8,-1.9199996948242188
2019-06-23,2019-06-29,0.4200004577636719,-17.4,0.7199996948242188
2019-06-30,2019-07-06,-1.3200004577636704,2.6,-0.6800003051757812
2019-07-07,2019-07-13,-0.8199996948242209,-30.6,0.220001220703125
2019-07-14,2019-07-20,-0.060000228881835226,10.0,-1.6800003051757812
2019-07-21,2019-07-27,-0.4599998474121086,91.8,-0.28000030517578123
2019-07-28,2019-08-03,-0.7600002288818366,19.4,-0.2
2019-08-04,2019-08-10,-0.4399997711181641,-76.2,0.21999969482421874
2019-08-11,2019-08-17,-0.06000022888183594,-37.4,0.9600006103515625
2019-08-18,2019-08-24,-0.03999977111816407,49.4,-1.2
2019-08-25,2019-08-31,0.6,5.0,0.01999969482421875
2019-09-01,2019-09-07,0.1799999237060547,0.0,-0.1600006103515625
2019-09-08,2019-09-14,0.09999990463256836,50.2,0.3600006103515625
2019-09-15,2019-09-21,1.6799999237060554,7.0,1.8999996185302734
2019-09-22,2019-09-28,1.149999618530268,17.6,3.9600006103515626
2019-09-29,2019-10-05,-1.9333330790201788,-128.5,-4.950000762939453
2019-10-06,2019-10-12,-0.36666615804036695,77.33333333333333,-0.7333323160807291
2019-10-13,2019-10-19,-1.6000003814697257,1.3333333333333333,-0.2666676839192708
2019-10-20,2019-10-26,0.12000007629394532,58.0,0.8000005086263021
2019-10-27,2019-11-02,-0.24000015258789065,8.4,-0.4
2019-11-03,2019-11-09,-0.5199996948242187,-47.4,0.18000030517578125
2019-11-10,2019-11-16,0.01999969482421875,12.8,-0.8600006103515625
2019-11-17,2019-11-23,-0.03999977111816407,-19.8,0.5
2019-11-24,2019-11-30,0.2,45.2,0.2600006103515625
2019-12-01,2019-12-07,-0.24000015258789065,-31.2,-0.34000091552734374
2019-12-08,2019-12-14,-0.15999984741210938,26.0,1.9
2019-12-15,2019-12-21,-0.06000022888183594,11.6,-1.3800003051757783
2019-12-22,2019-12-28,0.020000076293945308,6.2,1.9200012207031194
2019-12-29,2020-01-04,-0.12000007629394532,2.2,-1.0200012207031193
2020-01-05,2020-01-11,-0.2,25.6,1.3600006103515596
2020-01-12,2020-01-18,0.26000022888183594,69.2,0.16000061035155966
2020-01-19,2020-01-25,-0.16000022888183593,71.4,-0.36000061035155967
2020-01-26,2020-02-01,-1.2999998092651368,-107.4,0.08000030517578124
2020-02-02,2020-02-08,-0.2200000762939453,4.4,-0.3
2020-02-09,2020-02-15,-0.19999999999999965,-28.2,-0.1199996948242216
2020-02-16,2020-02-22,0.1,10.6,-0.9400009155273409
2020-02-23,2020-02-29,0.0250000953674312,-114.2,0.4400009155273409
2020-03-01,2020-03-07,-0.6500000953674314,-23.25,-0.15000152587889914
2020-03-08,2020-03-14,-0.2399999618530275,-71.0,0.0
2020-03-15,2020-03-21,0.019999980926513672,-99.6,-4.600000000000003
2020-03-22,2020-03-28,0.21999998092651385,106.0,3.520001220703122
2020-03-29,2020-04-04,-0.0666666030883792,-7.2,-0.7400009155273409
2020-04-05,2020-04-11,1.3999999364217122,115.66666666666667,2.6999994913737027
2020-04-12,2020-04-18,-0.9199999809265136,-26.0,2.533335367838532
2020-04-19,2020-04-25,0.03333330154418975,16.0,0.7599990844726591
2020-04-26,2020-05-02,0.0,91.0,-0.16666666666666666
2020-05-03,2020-05-09,-0.0599999427795412,29.6,1.2
2020-05-10,2020-05-16,0.16666666666666696,8.2,-0.1399993896484375
2020-05-17,2020-05-23,,132.6,0.38000030517577843
