first_day_in_week,last_day_in_week,MSHR_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.51_INT_ILDC.TA_weekly_mean_diff_0.36_corr_0.72,OPAL.TA_weekly_mean_diff_0.51_INT_MMAN.TA_weekly_mean_diff_0.37_corr_0.74,ZUR.TA_weekly_mean_diff_0.46_INT_MRIN.TA_weekly_mean_diff_0.38_corr_0.72,MNRV.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.51_corr_0.78
2019-03-10,2019-03-16,6.54000244140625,12.936011962890738,-7.392006835937563,7.655983886718801,-58.0803759768591
2019-03-17,2019-03-23,0.82000732421875,-15.6879638671875,6.3599853515625,-1.08,729.2788378894297
2019-03-24,2019-03-30,3.2,3.37996826171875,2.23597900390625,60.80000000000009,56.67943603545427
2019-03-31,2019-04-06,-8.44000244140625,-37.343994140625,-26.763214794918895,-41.759985351562435,373.43899169936776
2019-04-07,2019-04-13,-3.3,156.94021606445312,3.138817309588194,-7.2,771.4010620117188
2019-04-14,2019-04-20,6.84000244140625,-3.46802490234375,0.4488057129085064,9.46400634765631,-4.080070801079273
2019-04-21,2019-04-27,26.57999267578125,-4.42,2.00600830078125,11.28002929687491,-108.8004150390625
2019-04-28,2019-05-04,-2.8,-26.491990966796877,6.300789111331105,0.7400000000000001,708.8393212892115
2019-05-05,2019-05-11,-2.14000244140625,-5.95201171875,0.5828026611357927,-16.0,-11.159946288913488
2019-05-12,2019-05-18,2.8800048828125,0.124007568359375,0.12360764160752295,2.6840161132812,5.240322265773982
2019-05-19,2019-05-25,-10.24000244140625,-9.9,3.1140087890625003,-59.39194335937447,311.40032958984244
2019-05-26,2019-06-01,0.04000244140625,10.8,-0.00999755859375,144.5399597167969,56.00006103515625
2019-06-02,2019-06-08,0.3199951171875,-56.88,-3.2759912109375,-0.76800048828125,640.7995605468777
2019-06-09,2019-06-15,-11.7,-43.8,2.54000244140625,31.8560107421875,167.99987792968895
2019-06-16,2019-06-22,5.12000732421875,-0.40799926757812505,-1.3056026367098092,1.52,138.71950195357203
2019-06-23,2019-06-29,-2.15999755859375,-12.24,11.0159912109375,-15.600006103515625,50.3997802734375
2019-06-30,2019-07-06,-8.0,132.54392578124998,13.690402978509665,15.027996826171936,1246.960898436606
2019-07-07,2019-07-13,1.35999755859375,41.624020996093755,-5.1304203125089405,-15.959999999999999,-479.16142334043633
2019-07-14,2019-07-20,3.1,19.7599365234375,-1.2235988525301218,-4.358498193323309,196.07927734404856
2019-07-21,2019-07-27,-5.74000244140625,59.271824951171865,-0.3223960205167532,13.825174267589976,560.478496093303
2019-07-28,2019-08-03,-1.85999755859375,43.64808593750001,-1.6368123047053815,11.27999267578118,1108.5617285147327
2019-08-04,2019-08-10,2.24000244140625,-19.680029296875,-0.2788024169951677,16.660834521502178,47.55997070297718
2019-08-11,2019-08-17,0.97999267578125,6.68,0.29400024414062503,3.3983878418058264,30.0
2019-08-18,2019-08-24,6.5800048828125,-81.89999999999999,13.389984130859375,-1.0864168944954495,883.9984130859375
2019-08-25,2019-08-31,5.4199951171875,38.400000000000006,1.5599853515625002,-126.47839858397856,-1836.0003662109375
2019-09-01,2019-09-07,22.15999755859375,-17.4,-0.24001464843749998,7.5200000000000005,617.999267578125
2019-09-08,2019-09-14,6.20001220703125,28.415972900390624,2.4064039550721645,76.56010620117186,-133.12018554657513
2019-09-15,2019-09-21,-3.6,-5.700021743774414,-0.24000335694290698,1.4625015258789205,-32.000244141091386
2019-09-22,2019-09-28,-31.100006103515625,0.36000000000000004,8.64,3.240014648437398,-158.40087890625
2019-09-29,2019-10-05,24.06667073567708,23.400054931640625,-0.0,105.0,-448.5026397742331
2019-10-06,2019-10-12,12.433329264322914,56.700164794921875,-1.0500030517578125,22.244472927517318,-77.00136312180096
2019-10-13,2019-10-19,6.26666259765625,24.722222222222225,1.6111077202690973,334.26637098524304,166.66666666666669
2019-10-20,2019-10-26,-1.6800048828124772,-32.0,24.622233072916664,5.366638183594015,1013.3355034722222
2019-10-27,2019-11-02,4.7,0.947999267578125,4.739996337890625,-87.08010253906218,-701.5198437496997
2019-11-03,2019-11-09,-6.559997558593773,-9.648016357421875,1.4832007568329573,77.3279736328125,72.0001220703125
2019-11-10,2019-11-16,7.120007324218728,-24.65603271484375,-3.808807299807668,-24.768017578125,-253.9201123043908
2019-11-17,2019-11-23,-1.1200073242187272,108.87594848632813,26.88360617674887,-24.2519580078125,670.7996826171875
2019-11-24,2019-11-30,-2.2,-0.9360021972656251,-2.2360052490234374,-45.58,-68.63990722596645
2019-12-01,2019-12-07,-0.14000244140622725,8.663972167968836,-0.7752030761540014,-12.544013671874998,-253.08002196997492
2019-12-08,2019-12-14,-2.359997558593773,-122.8157031250007,2.2219946289062626,45.792158203125,-109.08022949099308
2019-12-15,2019-12-21,-3.6199951171875,201.73577880859375,-0.46760764159262186,0.6,1770.1980590820312
2019-12-22,2019-12-28,10.379992675781274,64.75205200195313,4.4688072998076676,-0.6719970703125,-614.0808642581082
2019-12-29,2020-01-04,-4.119995117187523,13.72,-8.133988037109376,49.87601806640625,3449.6011962890557
2020-01-05,2020-01-11,21.8,594.0,-3.4200439453125,-368.2440258789062,-1457.99560546875
2020-01-12,2020-01-18,-1.4,1.1280029296874863,-3.2336106933652964,-67.36801025390615,-251.9199658185227
2020-01-19,2020-01-25,13.4,11.039831542969273,0.2111950195580821,20.42389160156284,25.439553223551872
2020-01-26,2020-02-01,18.0,-38.304013671875,13.81681328125298,21.7919970703125,-581.4002075195312
