first_day_in_week,last_day_in_week,PLRM_main_symb_weekly_mean_diff,UNON.TA_weekly_mean_diff_0.52,ALRPR.TA_weekly_mean_diff_0.49_INT_MRIN.TA_weekly_mean_diff_0.5_corr_0.72,PHOE.TA_weekly_mean_diff_0.43_INT_HARL.TA_weekly_mean_diff_0.4_corr_0.81
2019-03-10,2019-03-16,3.6,8.0,222.71953125000147,-28.81119140625
2019-03-17,2019-03-23,-4.8,-6.4,-0.0,-22.14990234375
2019-03-24,2019-03-30,-17.2,-14.0,-349.60000000000053,1537.01953125
2019-03-31,2019-04-06,-1.0,-5.6,83.51997070312487,813.3481494140625
2019-04-07,2019-04-13,15.0,9.0,14.0,606.0127148437499
2019-04-14,2019-04-20,-8.4,-0.6,327.60021972656455,40.595966796875
2019-04-21,2019-04-27,3.0,0.8,39.48010253906218,32.77960449218729
2019-04-28,2019-05-04,-3.6,4.0,7.0,142.00790527343662
2019-05-05,2019-05-11,1.4,-3.2,-115.2,-14.803125
2019-05-12,2019-05-18,-3.6,-4.8,-21.96013183593709,1164.409765625
2019-05-19,2019-05-25,1.0,-3.4,163.83984374999855,-72.027978515625
2019-05-26,2019-06-01,-34.6,-5.0,2154.959399414063,-32.782216796875005
2019-06-02,2019-06-08,13.0,-2.8,-115.2000732421875,87.361083984375
2019-06-09,2019-06-15,-6.4,1.4,-535.7601806640624,-1.69404296875
2019-06-16,2019-06-22,0.6,-2.8,342.0,84.940693359375
2019-06-23,2019-06-29,-4.4,8.0,62.4000244140625,301.982216796875
2019-06-30,2019-07-06,-15.0,-1.0,936.3598022460975,38.831953125
2019-07-07,2019-07-13,-11.4,0.0,125.39999999999999,-3.7743945312499996
2019-07-14,2019-07-20,-9.8,-3.6,-76.16174316405709,36.413671875
2019-07-21,2019-07-27,-11.2,-3.0,-83.63991699218673,19.431650390625
2019-07-28,2019-08-03,-0.6,2.6,-285.7598144531233,25.8890625
2019-08-04,2019-08-10,-9.8,-7.4,-555.3605712890625,174.73681640625
2019-08-11,2019-08-17,8.4,-14.8,54.719860839843754,48.53522460937501
2019-08-18,2019-08-24,-4.2,16.4,-22.40039062499909,228.24635253906249
2019-08-25,2019-08-31,32.2,-13.4,-186.31995849609416,2.7744140625
2019-09-01,2019-09-07,-3.6,11.8,0.0,96.138046875
2019-09-08,2019-09-14,-3.0,-3.0,158.40021972656248,54.312998046875
2019-09-15,2019-09-21,-1.8,-3.5,-277.8752899169949,178.44593811035156
2019-09-22,2019-09-28,8.5,-2.2,10.800048828124659,104.96
2019-09-29,2019-10-05,26.33333333333333,-1.5,175.0,369.0
2019-10-06,2019-10-12,1.0,2.6666666666666665,2383.336385091141,-3.0
2019-10-13,2019-10-19,-8.0,13.666666666666666,-61.33327907986111,245.66666666666666
2019-10-20,2019-10-26,2.2,34.666666666666664,-68.99963378906591,22.666666666666668
2019-10-27,2019-11-02,2.0,-7.4,124.40014648437455,464.28
2019-11-03,2019-11-09,-4.8,-2.4,-730.3197509765624,-6.16
2019-11-10,2019-11-16,-3.4,-0.2,185.7601318359375,7.68
2019-11-17,2019-11-23,5.2,3.2,146.63974609375,28.08
2019-11-24,2019-11-30,21.6,66.4,-567.6,285.2
2019-12-01,2019-12-07,9.8,6.0,22.4000244140625,37.519999999999996
2019-12-08,2019-12-14,-5.8,39.6,42.400146484375,121.43999999999998
2019-12-15,2019-12-21,0.4,-7.2,40.8,88.44
2019-12-22,2019-12-28,-2.2,13.6,-70.5596923828125,15.36
2019-12-29,2020-01-04,-2.2,-5.8,404.400146484375,4.960000000000001
2020-01-05,2020-01-11,-4.8,2.8,1528.5601074218748,628.0
2020-01-12,2020-01-18,2.8,-1.8,6704.721020507803,1.7600000000000002
2020-01-19,2020-01-25,-7.0,-0.4,-115.91938476562692,0.72
2020-01-26,2020-02-01,-8.2,-47.8,3995.1994628906255,651.24
2020-02-02,2020-02-08,13.8,3.2,-1041.6000000000001,28.56
2020-02-09,2020-02-15,4.6,7.6,-666.0,57.76
2020-02-16,2020-02-22,-19.8,-9.8,2921.6000000000004,168.48000000000002
2020-02-23,2020-02-29,-13.25,-29.4,17038.2,3467.6400000000003
2020-03-01,2020-03-07,-56.0,-38.0,25031.25,3977.875
