first_day_in_week,last_day_in_week,RMLI_main_symb_weekly_mean_diff,GOHO.TA_weekly_mean_diff_-0.36,ELTR.TA_weekly_mean_diff_-0.37,ELWS.TA_weekly_mean_diff_-0.38,RSEL.TA_weekly_mean_diff_-0.38,GOHO.TA_weekly_mean_diff_-0.36_INT_ISRS.TA_weekly_mean_diff_-0.39_corr_0.81,INRM.TA_weekly_mean_diff_-0.39,ISRS.TA_weekly_mean_diff_-0.39,HLAN.TA_weekly_mean_diff_-0.4,PSTI.TA_weekly_mean_diff_0.4,RMLI.TA_weekly_mean_diff_-0.42,VCTR.TA_weekly_mean_diff_-0.41,KRUR.TA_weekly_mean_diff_-0.42,ORA.TA_weekly_mean_diff_-0.42,SPEN.TA_weekly_mean_diff_-0.35,ELCO.TA_weekly_mean_diff_-0.47,FOX.TA_weekly_mean_diff_-0.49,RIT1.TA_weekly_mean_diff_-0.4
2019-09-15,2019-09-21,8.0,3.5,-1350.0,-12.0,-1.5,2983.75,13.75,852.5,137.5,8.25,97.5,19.25,4.5,40.0,37.0,-15.25,190.0,11.75
2019-09-22,2019-09-28,-50.0,5.4,80.0,306.0,0.720001220703125,2430.0,12.8,450.0,12.0,-20.0,8.0,5.0,7.4,118.0,14.2,18.8,192.0,18.4
2019-09-29,2019-10-05,133.33333333333334,-24.0,-1850.0,34.5,0.0,13200.0,-34.0,-550.0,-25.0,-55.0,-50.0,-61.5,-64.0,-340.0,16.5,-112.0,-190.0,12.0
2019-10-06,2019-10-12,-160.0,10.666666666666666,2200.0,76.33333333333333,0.433334350585928,10204.444444444443,14.666666666666666,956.6666666666666,113.33333333333333,-2.0,133.33333333333334,65.66666666666667,49.333333333333336,133.33333333333334,23.0,352.6666666666667,116.66666666666667,12.0
2019-10-13,2019-10-19,76.66666666666667,13.0,66.66666666666667,123.33333333333333,0.5,10096.666666666666,1.3333333333333333,776.6666666666666,-6.666666666666667,8.0,-160.0,38.0,35.0,96.66666666666667,17.333333333333332,26.666666666666668,326.6666666666667,9.0
2019-10-20,2019-10-26,-6.0,13.0,700.0,40.666666666666664,-1.4666697184244697,3120.0,0.3333333333333333,240.0,143.33333333333334,-1.6666666666666667,76.66666666666667,57.333333333333336,31.333333333333332,233.33333333333334,-10.0,-80.0,-23.333333333333332,2.6666666666666665
2019-10-27,2019-11-02,20.0,3.2,1760.0,-120.2,-1.2600006103515569,883.2,-8.2,276.0,140.0,-19.8,-6.0,47.0,6.0,26.0,-22.8,34.0,70.0,-11.0
2019-11-03,2019-11-09,-76.0,0.0,360.0,-40.8,0.0,0.0,-1.2,242.0,-52.0,-2.0,20.0,-40.0,-27.4,-40.0,-1.8,4.0,90.0,-18.0
2019-11-10,2019-11-16,186.0,-8.6,460.0,-38.4,0.2600006103515568,3732.3999999999996,7.8,-434.0,10.0,-10.4,-76.0,-5.6,-31.6,-36.0,9.8,-66.0,-170.0,1.0
2019-11-17,2019-11-23,-90.0,2.6,1420.0,89.8,0.4399993896484432,1591.2,36.2,612.0,-214.0,-2.8,186.0,105.4,85.8,-96.0,27.2,126.0,150.0,23.2
2019-11-24,2019-11-30,-12.0,-5.6,1880.0,-45.2,-0.41999816894531816,-403.2,5.2,72.0,-20.0,9.2,-90.0,18.6,-47.2,82.0,43.6,222.0,-74.0,-8.2
2019-12-01,2019-12-07,14.0,4.8,-1180.0,-214.4,-2.120001220703125,-5059.2,-15.0,-1054.0,-72.0,28.6,-12.0,-14.6,-9.0,-48.0,-2.4,-54.0,-126.0,-9.8
2019-12-08,2019-12-14,-24.0,-11.0,1620.0,49.6,-0.379998779296875,572.0,0.8,-52.0,114.0,-21.0,14.0,69.0,35.4,14.0,3.8,126.0,324.0,5.8
2019-12-15,2019-12-21,92.0,11.8,-20.0,-75.0,0.4,5970.8,4.8,506.0,-94.0,31.8,-24.0,24.4,-24.8,-126.0,-10.8,-4.0,54.0,-26.6
2019-12-22,2019-12-28,86.0,-0.2,180.0,-23.0,0.9600006103515568,-22.0,1.4,110.0,70.0,2.6,92.0,15.0,0.8,-42.0,-10.8,-42.0,10.0,2.2
2019-12-29,2020-01-04,-24.0,6.6,1260.0,7.2,13.05999755859376,1148.3999999999999,-8.8,174.0,58.0,-3.0,86.0,26.6,11.4,-10.0,28.4,20.0,292.0,1.8
2020-01-05,2020-01-11,-76.0,2.0,2560.0,-4.6,6.16000366210937,-272.0,6.4,-136.0,2.0,-0.4,-24.0,-5.2,-13.4,84.0,16.2,174.0,98.0,5.4
2020-01-12,2020-01-18,-4.0,-4.2,-320.0,29.6,-6.060003662109369,-4200.0,-1.0,1000.0,42.0,7.4,-76.0,-6.2,-12.2,170.0,0.4,-4.0,-2.0,-4.8
2020-01-19,2020-01-25,-44.0,0.0,2820.0,253.4,-4.459997558593761,0.0,18.2,872.0,130.0,-16.8,-4.0,15.8,-9.0,262.0,65.4,88.0,254.0,10.8
2020-01-26,2020-02-01,0.0,-11.4,380.0,-67.2,5.439996337890631,12904.800000000001,-0.8,-1132.0,-278.0,-5.6,-44.0,-6.6,-7.2,-124.0,-26.4,-20.0,-344.0,-5.2
2020-02-02,2020-02-08,-18.0,10.0,-200.0,98.4,-2.3399963378906308,-100.0,-15.0,-10.0,6.0,-4.6,0.0,-30.4,88.4,392.0,51.0,200.0,358.0,17.4
2020-02-09,2020-02-15,154.0,-10.2,-1080.0,26.6,-0.7200012207031193,-3977.9999999999995,-0.2,390.0,-78.0,13.0,-18.0,2.8,-79.8,-110.0,-18.2,12.0,-176.0,16.2
2020-02-16,2020-02-22,-224.0,-4.4,1180.0,794.2,3.25999755859375,-2173.6000000000004,1.2,494.0,20.0,42.2,154.0,52.6,-48.8,88.0,-6.2,102.0,-68.0,-7.4
2020-02-23,2020-02-29,160.0,-18.0,-2300.0,-158.0,-4.619998168945313,23832.0,-13.6,-1324.0,-92.0,-47.6,-224.0,-93.8,-90.4,-980.0,-29.6,-356.0,-436.0,-30.2
2020-03-01,2020-03-07,-532.5,-13.25,-1837.5,322.5,0.7000007629394531,3643.75,-4.5,-275.0,-187.5,-18.5,160.0,53.5,-20.0,87.5,-21.75,-300.0,-272.5,-11.0
2020-03-08,2020-03-14,412.0,-82.80000305175781,-7465.0,-712.5,-12.450000762939453,472995.0174331665,-78.5,-5712.5,-422.5,-13.5,-532.5,-79.75,-280.25,-902.5,-121.75,-921.0,-877.5,-91.0
2020-03-15,2020-03-21,-14.0,-11.4199951171875,2760.0,-330.0,0.4399993896484432,8450.79638671875,10.0,-740.0,72.0,6.2,412.0,36.2,-20.4,662.0,3.8,199.8,-113.0,-6.0
2020-03-22,2020-03-28,0.0,22.85999755859375,682.0,0.0,-0.4799987792968807,35890.19616699219,15.0,1570.0,182.0,0.4,-14.0,141.2,269.8,-118.0,47.4,353.0,709.0,20.0
2020-03-29,2020-04-04,350.0,30.4,-1852.0,-40.0,-5.979998779296875,56787.2,-5.8,1868.0,-96.0,6.4,0.0,105.8,-75.0,-34.0,38.6,-34.0,-440.0,-30.6
2020-04-05,2020-04-11,-160.0,9.666666666666666,2420.0,66.66666666666667,4.2333323160807295,9441.11111111111,1.3333333333333333,976.6666666666666,393.3333333333333,66.66666666666667,350.0,14.333333333333334,232.66666666666666,-263.3333333333333,58.666666666666664,570.0,513.3333333333334,4.333333333333333
2020-04-12,2020-04-18,528.0,-23.0,-700.0,370.0,-2.233332316080729,51520.0,-34.333333333333336,-2240.0,-203.33333333333334,661.6666666666666,-160.0,-231.33333333333334,-250.66666666666666,-576.6666666666666,-72.0,-400.0,-503.3333333333333,-8.0
2020-04-19,2020-04-25,-153.33333333333334,0.8,2520.0,150.0,2.1199981689453127,-753.6,16.6,-942.0,114.0,-12.0,528.0,108.2,305.0,-40.0,-6.0,152.0,224.0,-10.2
2020-04-26,2020-05-02,-198.0,14.333333333333334,566.6666666666666,713.3333333333334,1.0666656494140625,23697.777777777777,25.333333333333332,1653.3333333333333,316.6666666666667,-9.333333333333334,-153.33333333333334,4.0,141.0,473.3333333333333,64.66666666666667,60.0,316.6666666666667,65.0
2020-05-03,2020-05-09,-22.0,-10.6,-2048.0,280.0,1.320001220703125,2056.4,15.0,-194.0,-112.0,-58.0,-198.0,44.6,-174.0,-112.0,-11.8,-54.0,48.0,0.0
2020-05-10,2020-05-16,88.0,-8.0,1008.0,-26.0,-4.660000610351562,6608.0,-9.0,-826.0,-168.0,115.6,-22.0,-29.6,-110.2,90.0,-4.6,-268.0,-328.0,-50.8
2020-05-17,2020-05-23,-47.5,14.6,760.0,226.0,0.520001220703125,-9490.0,-3.4,-650.0,86.0,-110.0,88.0,79.2,100.2,400.0,-17.8,148.0,200.0,-7.6
2020-05-24,2020-05-30,-396.0,24.0,1550.0,522.5,1.6749992370605469,23580.0,-30.25,982.5,495.0,-54.0,-47.5,66.25,-41.25,0.0,-4.5,305.0,90.0,17.0
2020-05-31,2020-06-06,47.5,-25.2,-200.0,-246.0,-0.6399993896484375,32004.0,-2.8,-1270.0,100.0,-7.6,-396.0,-37.8,23.0,62.0,-12.2,-168.0,-178.0,-13.8
2020-06-07,2020-06-13,-158.0,3.75,765.0,-147.5,-2.1000022888183594,-1171.875,26.75,-312.5,72.5,-76.0,47.5,3.0,-37.5,-190.0,28.75,250.0,397.5,0.75
2020-06-14,2020-06-20,10.0,-9.0,1328.0,52.0,-0.9399993896484375,4176.0,-7.6,-464.0,-92.0,-4.8,-158.0,62.2,9.6,-52.0,-0.4,152.0,122.0,-14.0
2020-06-21,2020-06-27,3.9998779296882274,-12.8,-4320.0,454.0,2.4399993896484373,8780.800000000001,-19.6,-686.0,-178.0,119.2,10.0,-43.0,-11.6,-546.0,-20.4,-388.0,-194.0,-24.6
2020-06-28,2020-07-04,82.00012207031179,-8.199990844726562,-886.0009765625,-132.0001220703125,-1.1399988174438533,-5641.5957031227645,-3.9999923706054235,688.000244140625,2.0,-2.0,3.9998779296882274,-22.6,115.00003051757812,127.99993896484375,-16.60001373291025,-5.999969482421875,-87.9998779296875,24.60000381469731
2020-07-05,2020-07-11,80.0,-12.860006713867188,-899.9990234375,64.0001220703125,-5.722045841594081e-07,1594.6439721696079,-21.400007629394576,-124.000244140625,36.0,-10.6,82.00012207031178,66.0,110.99996948242188,24.00006103515625,7.600013732910247,-158.00003051757812,-116.0001220703125,-18.000003814697312
2020-07-12,2020-07-18,22.0,19.45999755859375,1686.0,420.0,-1.5399993896484374,6772.079150390625,39.0,348.0,56.0,13.2,80.0,114.0,-16.0,-22.0,12.4,224.0,-88.0,8.2
2020-07-19,2020-07-25,100.0,-8.8,260.0,338.0,0.0,9222.400000000001,-0.6,-1048.0,232.0,16.2,22.0,36.4,-6.0,-34.0,60.4,-18.0,130.0,-20.8
2020-07-26,2020-08-01,,4.5,240.0,142.4999237060547,15.6500015258789,-22.5,-3.75,-5.0,-177.5,-82.5,100.0,-2.5,60.0,-90.0,1.5,-40.0,-10.0,26.25
