first_day_in_week,last_day_in_week,PEN_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.5
2019-03-10,2019-03-16,3.92000122070312,64.0
2019-03-17,2019-03-23,0.1199981689453182,0.0
2019-03-24,2019-03-30,1.420001220703125,46.0
2019-03-31,2019-04-06,0.2399993896484375,12.0
2019-04-07,2019-04-13,-0.3,-14.0
2019-04-14,2019-04-20,0.0399993896484375,90.0
2019-04-21,2019-04-27,-1.8,14.0
2019-04-28,2019-05-04,0.820001220703125,-70.0
2019-05-05,2019-05-11,-0.2600006103515625,36.0
2019-05-12,2019-05-18,6.560000610351563,18.0
2019-05-19,2019-05-25,1.679998779296875,64.0
2019-05-26,2019-06-01,-3.4399993896484373,-164.0
2019-06-02,2019-06-08,1.9200012207031196,-30.0
2019-06-09,2019-06-15,3.859997558593762,148.0
2019-06-16,2019-06-22,-1.719998168945318,90.0
2019-06-23,2019-06-29,5.219998168945325,-20.0
2019-06-30,2019-07-06,1.8,162.0
2019-07-07,2019-07-13,-1.8399963378906363,66.0
2019-07-14,2019-07-20,3.9199951171875,-238.0
2019-07-21,2019-07-27,-1.279998779296875,-34.0
2019-07-28,2019-08-03,0.7,76.0
2019-08-04,2019-08-10,0.120001220703125,156.0
2019-08-11,2019-08-17,1.579998779296875,-114.0
2019-08-18,2019-08-24,-2.55999755859375,80.0
2019-08-25,2019-08-31,4.95999755859375,34.0
2019-09-01,2019-09-07,2.020001220703125,0.0
2019-09-08,2019-09-14,-2.5500030517578125,36.0
2019-09-15,2019-09-21,-2.739996337890625,95.0
2019-09-22,2019-09-28,0.9499969482421876,-10.0
2019-09-29,2019-10-05,-2.0666707356770835,-20.0
2019-10-06,2019-10-12,1.73333740234375,250.0
2019-10-13,2019-10-19,3.9666646321614585,-6.666666666666667
2019-10-20,2019-10-26,2.079998779296875,-90.0
2019-10-27,2019-11-02,4.0,20.0
2019-11-03,2019-11-09,-0.279998779296875,-102.0
2019-11-10,2019-11-16,3.0,-54.0
2019-11-17,2019-11-23,-3.120001220703125,52.0
2019-11-24,2019-11-30,-2.139996337890625,132.0
2019-12-01,2019-12-07,-3.179998779296875,10.0
2019-12-08,2019-12-14,-0.8,20.0
2019-12-15,2019-12-21,-1.1800048828125,68.0
2019-12-22,2019-12-28,2.14000244140625,-42.0
2019-12-29,2020-01-04,-2.1,60.0
2020-01-05,2020-01-11,6.94000244140625,44.0
2020-01-12,2020-01-18,6.85999755859375,418.0
2020-01-19,2020-01-25,-1.74000244140625,-84.0
2020-01-26,2020-02-01,0.14000244140625,-220.0
2020-02-02,2020-02-08,-0.8,-62.0
2020-02-09,2020-02-15,1.1,-30.0
2020-02-16,2020-02-22,-10.95999755859375,166.0
2020-02-23,2020-02-29,-9.175003051757812,-438.0
2020-03-01,2020-03-07,-21.825000762939453,-890.0
2020-03-08,2020-03-14,-7.339999389648438,-1003.0
2020-03-15,2020-03-21,11.820001220703121,-32.6
2020-03-22,2020-03-28,2.379998779296881,376.8
2020-03-29,2020-04-04,3.3999989827473964,184.2
2020-04-05,2020-04-11,-2.833333333333333,-122.66666666666667
2020-04-12,2020-04-18,-1.2399993896484376,-285.0
2020-04-19,2020-04-25,11.966664632161468,36.2
2020-04-26,2020-05-02,8.12000122070312,324.0
2020-05-03,2020-05-09,-12.539999389648438,-190.2
2020-05-10,2020-05-16,7.719998168945325,-251.2
2020-05-17,2020-05-23,-0.724998474121108,81.4
2020-05-24,2020-05-30,0.2,0.0
2020-05-31,2020-06-06,-1.625,-16.0
2020-06-07,2020-06-13,0.9799987792968864,181.25
2020-06-14,2020-06-20,-5.639999389648449,110.4
2020-06-21,2020-06-27,-2.2399993896484376,-109.4
2020-06-28,2020-07-04,-4.239999389648437,-70.39993286132812
2020-07-05,2020-07-11,1.8199981689453184,-21.800067138671874
2020-07-12,2020-07-18,2.3800018310546815,3.2
2020-07-19,2020-07-25,0.3999977111816477,-2.6
2020-07-26,2020-08-01,,-123.0
