first_day_in_week,last_day_in_week,XENA_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.35_INT_ALRPR.TA_weekly_mean_diff_0.49_corr_0.72,DLEKG.TA_weekly_mean_diff_0.36,SHOM.TA_weekly_mean_diff_0.36,PHOE.TA_weekly_mean_diff_0.37,ELRN.TA_weekly_mean_diff_0.38,PCBT.TA_weekly_mean_diff_0.38,CLIS.TA_weekly_mean_diff_0.39,RPAC.TA_weekly_mean_diff_0.41,DRSL.TA_weekly_mean_diff_0.42,HARL.TA_weekly_mean_diff_0.42,MTRX.TA_weekly_mean_diff_0.45,ALRPR.TA_weekly_mean_diff_0.49,PHOE.TA_weekly_mean_diff_0.37_INT_HARL.TA_weekly_mean_diff_0.42_corr_0.81
2019-03-10,2019-03-16,-0.3,84.48007812500073,-10.0,-0.6,3.2739990234375,1.1399902343750454,1.379998779296875,40.6,-2.6,7.4,-8.8,3.8,64.0,-28.81119140625
2019-03-17,2019-03-23,-0.3799987792968864,0.0,-50.0,1.44000244140625,4.42998046875,3.7600097656249547,7.8,-46.8,5.8,-4.6,-5.0,-16.4,0.0,-22.14990234375
2019-03-24,2019-03-30,-0.4399993896484318,-11.959887695312501,-352.0,3.3,-51.233984375,-5.880004882812477,-0.6599975585937727,-54.2,-3.8,20.6,-30.0,10.8,46.0,1537.01953125
2019-03-31,2019-04-06,-0.3800018310546818,93.3599853515625,256.0,5.05999755859375,26.5800048828125,9.1,1.4799926757812727,33.8,4.4,-10.4,30.6,43.2,12.0,813.3481494140625
2019-04-07,2019-04-13,0.5666656494140531,-37.24005126953125,686.0,6.34000244140625,14.63798828125,-1.15999755859375,3.1800048828125,60.4,0.6,6.2,41.4,60.0,-14.0,606.0127148437499
2019-04-28,2019-05-04,0.2600006103515682,250.59991455078125,64.0,-5.0,-7.319995117187455,-12.65999755859375,3.42000732421875,94.0,-2.0,2.0,-19.4,-46.0,-70.0,142.00790527343662
2019-05-05,2019-05-11,0.1399993896484318,-22.320043945312502,-398.0,4.620001220703125,1.5419921875,-5.34000244140625,-0.85999755859375,155.0,9.2,-0.6,-9.6,14.6,36.0,-14.803125
2019-05-12,2019-05-18,-0.1199981689453182,-0.36002197265624997,-1128.0,-1.620001220703125,32.166015625,-8.35999755859375,0.4199951171875,3.8,3.0,0.8,36.2,24.4,18.0,1164.409765625
2019-05-19,2019-05-25,-0.5399993896484319,57.6,620.0,8.74000244140625,6.547998046875,-10.32000732421875,0.9199951171875,-47.6,1.4,5.0,-11.0,48.0,64.0,-72.027978515625
2019-05-26,2019-06-01,0.5,82.0,-14.0,-6.54000244140625,-4.430029296875,-19.57999267578125,0.72000732421875,-50.4,-3.6,2.8,7.4,38.6,-164.0,-32.782216796875005
2019-06-02,2019-06-08,0.55999755859375,-54.0,-400.0,4.8,-16.177978515625,-7.8,-0.85999755859375,8.4,-9.4,0.0,-5.4,-24.6,-30.0,87.361083984375
2019-06-09,2019-06-15,-1.019998168945318,-148.0,-152.0,-3.820001220703125,0.77001953125,-1.8800048828125,-0.52000732421875,-16.6,3.6,2.0,-2.2,-7.0,148.0,-1.69404296875
2019-06-16,2019-06-22,-2.440000915527338,-183.59967041015628,12.0,-0.639996337890625,20.223974609375,0.6,-0.0199951171875,62.2,-3.0,-1.2,4.2,-27.8,90.0,84.940693359375
2019-06-23,2019-06-29,-0.5199996948242187,-36.0,-92.0,3.35999755859375,-22.535986328125,1.5800048828125,-7.52000732421875,-12.0,2.6,-3.0,-13.4,15.8,-20.0,301.982216796875
2019-06-30,2019-07-06,0.16000061035155966,706.3196044921875,0.0,1.0599975585937613,8.089990234375,2.939990234375,2.060009765625,10.0,60.8,7.4,4.8,92.6,162.0,38.831953125
2019-07-07,2019-07-13,1.5,159.72008056640627,-248.0,-0.5,-2.69599609375,-4.6199951171875,0.7,3.2,-7.8,-8.6,1.4,-2.6,66.0,-3.7743945312499996
2019-07-14,2019-07-20,-0.6800003051757784,90.43970947265625,-1640.0,-0.6399963378906364,-1.733984375,-13.720001220703125,-3.8400024414062726,-56.0,10.4,6.8,-21.0,-30.4,-238.0,36.413671875
2019-07-21,2019-07-27,0.3,-42.159875488281244,552.0,5.95999755859375,0.961962890625,-1.3200012207031135,-0.6800048828124545,24.2,0.8,-0.8,20.2,7.4,-34.0,19.431650390625
2019-07-28,2019-08-03,-0.9,94.240185546875,-190.0,1.94000244140625,3.08203125,-2.0599975585937615,-4.419995117187545,-36.6,9.0,-2.0,8.4,15.0,76.0,25.8890625
2019-08-04,2019-08-10,-0.6,-127.9201904296875,-822.0,-4.520001220703125,-20.802001953125,-1.8400024414062386,-4.540002441406227,-54.8,-10.4,7.8,-8.4,-14.0,156.0,174.73681640625
2019-08-11,2019-08-17,0.7800003051757785,11.4,-660.0,1.14000244140625,-5.7780029296875,0.3,-2.25999755859375,-56.0,1.6,1.8,-8.4,-12.0,-114.0,48.53522460937501
2019-08-18,2019-08-24,-0.02000122070311932,-520.0,168.0,6.119995117187523,14.4459716796875,4.980004882812489,2.0199951171875115,1.0,-3.8,7.2,15.8,57.2,80.0,228.24635253906249
2019-08-25,2019-08-31,-0.2599990844726591,-102.0,512.0,2.5800048828124544,1.156005859375,1.27999267578125,-4.879998779296886,26.6,4.8,-3.0,2.4,-25.0,34.0,2.7744140625
2019-09-01,2019-09-07,-0.08000030517578123,0.0,-536.0,6.159997558593773,4.622021484375,5.4800048828125,-5.0,-8.0,4.8,-7.2,20.8,-8.8,0.0,96.138046875
2019-09-08,2019-09-14,0.02499961853027344,46.0799560546875,-334.0,4.15999755859375,5.777978515625,-2.0800048828125,-5.079998779296875,15.6,7.2,8.8,9.4,-31.6,36.0,54.312998046875
2019-09-15,2019-09-21,1.0400009155273409,38.000144958496094,300.0,-0.649993896484375,12.52252197265625,0.4250030517578409,2.6750030517578125,-4.5,33.25,16.25,14.25,66.5,95.0,178.44593811035156
2019-09-22,2019-09-28,1.049999237060554,18.0,-1176.0,-1.94000244140625,8.2,-2.879992675781273,3.579998779296875,-3.6,4.6,11.0,12.8,56.4,-10.0,104.96
2019-09-29,2019-10-05,0.9666671752929641,26.00006103515625,1250.0,4.79998779296875,-20.5,2.25,8.699996948242188,-44.0,-12.0,0.5,-18.0,23.0,-20.0,369.0
2019-10-06,2019-10-12,0.8666636149088589,175.0005086263021,-140.0,6.900004069010417,0.3333333333333333,0.0,5.466664632161458,-7.0,2.3333333333333335,2.6666666666666665,-9.0,34.666666666666664,250.0,-3.0
2019-10-13,2019-10-19,-0.4333292643229167,-5.555555555555556,803.3333333333334,2.20001220703125,22.333333333333332,-4.066670735677083,0.100006103515625,66.33333333333333,-0.3333333333333333,11.333333333333334,11.0,32.666666666666664,-6.666666666666667,245.66666666666666
2019-10-20,2019-10-26,0.25999755859375,-240.0,-10.0,4.133321126302083,-4.0,-2.9000040690104165,1.1999918619791856,19.333333333333332,13.666666666666666,16.666666666666668,-5.666666666666667,58.0,-90.0,22.666666666666668
