first_day_in_week,last_day_in_week,APLP_main_symb_weekly_mean_diff,HAIN.TA_weekly_mean_diff_0.76
2019-03-10,2019-03-16,-0.21999969482421874,0.9599975585937613
2019-03-17,2019-03-23,-4.760000610351558,0.22000122070311362
2019-03-24,2019-03-30,1.4800003051757784,-0.85999755859375
2019-03-31,2019-04-06,3.480000305175781,-5.079998779296875
2019-04-07,2019-04-13,0.08000030517578123,0.779998779296875
2019-04-14,2019-04-20,-0.2400009155273409,1.9399963378906364
2019-04-21,2019-04-27,-3.4799987792968805,0.18000488281248864
2019-04-28,2019-05-04,1.0199996948242216,-2.1800048828124887
2019-05-05,2019-05-11,10.980000305175784,-1.2
2019-05-12,2019-05-18,-7.520001220703123,1.0400024414062385
2019-05-19,2019-05-25,-1.8399993896484403,-0.420001220703125
2019-05-26,2019-06-01,-1.2800003051757811,0.24000244140625
2019-06-02,2019-06-08,6.8000015258789075,2.679998779296875
2019-06-09,2019-06-15,-3.4,-0.24000244140623864
2019-06-16,2019-06-22,-0.8600006103515654,-2.0
2019-06-23,2019-06-29,0.6799987792968807,2.4400024414062385
2019-06-30,2019-07-06,-0.6799987792968807,4.659997558593761
2019-07-07,2019-07-13,2.599999999999997,3.2
2019-07-14,2019-07-20,-1.1,2.5
2019-07-21,2019-07-27,0.2600006103515682,8.900000000000011
2019-07-28,2019-08-03,3.679998779296875,4.080004882812455
2019-08-04,2019-08-10,-3.320001220703125,-4.880004882812466
2019-08-11,2019-08-17,3.020001220703125,1.1000000000000114
2019-08-18,2019-08-24,-2.979998779296875,4.240002441406228
2019-08-25,2019-08-31,0.0,0.5599975585937728
2019-09-01,2019-09-07,-1.7400009155273437,1.3400024414062273
2019-09-08,2019-09-14,1.8249988555908276,-0.3
2019-09-15,2019-09-21,3.8999999999999932,0.350006103515625
2019-09-22,2019-09-28,-2.75,0.5799926757812728
2019-09-29,2019-10-05,-1.1999969482421875,-3.25
2019-10-06,2019-10-12,-0.3333333333333333,-0.5999959309896212
2019-10-13,2019-10-19,0.3333333333333333,-0.8000081380208334
2019-10-20,2019-10-26,-2.420001220703125,-4.233317057291667
2019-10-27,2019-11-02,-1.4199996948242188,-1.7800048828125
2019-11-03,2019-11-09,-1.7,-8.279998779296875
2019-11-10,2019-11-16,3.199998474121094,0.879998779296875
2019-11-17,2019-11-23,-2.879998779296875,1.5
2019-11-24,2019-11-30,0.08000030517578123,-1.979998779296875
2019-12-01,2019-12-07,3.240000915527344,-10.14000244140625
2019-12-08,2019-12-14,0.4,-5.2
2019-12-15,2019-12-21,-1.3,-5.15999755859375
2019-12-22,2019-12-28,0.3199981689453182,20.379998779296876
2019-12-29,2020-01-04,0.23999938964843184,-1.05999755859375
2020-01-05,2020-01-11,0.14000244140625,-5.8800048828124885
2020-01-12,2020-01-18,1.6399993896484375,-1.1399963378906364
2020-01-19,2020-01-25,2.3600006103515625,-1.3
2020-01-26,2020-02-01,-2.420001220703125,-2.5
2020-02-02,2020-02-08,-0.879998779296875,2.579998779296875
2020-02-09,2020-02-15,1.279998779296875,5.4
2020-02-16,2020-02-22,-2.7,4.84000244140625
2020-02-23,2020-02-29,-1.75,-4.94000244140625
2020-03-01,2020-03-07,-5.9750003814697275,-6.224998474121094
2020-03-08,2020-03-14,0.6199996948242216,-14.650001525878906
2020-03-15,2020-03-21,-0.5399993896484403,-12.779998779296875
2020-03-22,2020-03-28,0.3,0.020001220703125
2020-03-29,2020-04-04,4.300000508626302,-3.060003662109375
2020-04-05,2020-04-11,-0.16666666666666666,2.0333353678385415
2020-04-12,2020-04-18,-0.6199996948242216,-3.2999979654947915
2020-04-19,2020-04-25,3.2333323160807343,0.820001220703125
2020-04-26,2020-05-02,4.220001220703125,0.23332722981770834
2020-05-03,2020-05-09,-2.198800659179682,-2.15999755859375
2020-05-10,2020-05-16,-0.5904006958007869,-0.920001220703125
2020-05-17,2020-05-23,0.3365001678466797,1.7
2020-05-24,2020-05-30,11.97999877929688,1.6999969482421875
2020-05-31,2020-06-06,-10.049999237060556,-2.8799987792968635
2020-06-07,2020-06-13,2.3800018310546878,0.8000030517577983
2020-06-14,2020-06-20,-3.3800018310546878,-0.9000000000000113
2020-06-21,2020-06-27,1.0600008964538574,-0.9
2020-06-28,2020-07-04,-0.9000002861022949,1.0199996948242187
2020-07-05,2020-07-11,1.2,-0.11999969482421875
2020-07-12,2020-07-18,30.0,3.3399963378906365
2020-07-19,2020-07-25,77.5,56.22000732421875
2020-07-26,2020-08-01,,3.25
