first_day_in_week,last_day_in_week,AURA_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.55_INT_MMAN.TA_weekly_mean_diff_0.37_corr_0.74,PIU.TA_weekly_mean_diff_0.41,BSEN.TA_weekly_mean_diff_0.42,BSEN.TA_weekly_mean_diff_0.42_INT_ALRPR.TA_weekly_mean_diff_0.6_corr_0.7,MISH.TA_weekly_mean_diff_0.43,PHOE.TA_weekly_mean_diff_0.43,ASGR.TA_weekly_mean_diff_0.44,BIOV.TA_weekly_mean_diff_0.44,MRIN.TA_weekly_mean_diff_0.41_INT_ATRY.TA_weekly_mean_diff_0.37_corr_0.73,KNFM.TA_weekly_mean_diff_0.47,ZUR.TA_weekly_mean_diff_0.4_INT_POLI.TA_weekly_mean_diff_0.35_corr_0.75,PCBT.TA_weekly_mean_diff_0.49,MTRX.TA_weekly_mean_diff_0.5,MRIN.TA_weekly_mean_diff_0.41_INT_AZRM.TA_weekly_mean_diff_0.35_corr_0.72,MTDS.TA_weekly_mean_diff_0.39_INT_AZRM.TA_weekly_mean_diff_0.35_corr_0.74,OPAL.TA_weekly_mean_diff_0.55,ALRPR.TA_weekly_mean_diff_0.6,MNRV.TA_weekly_mean_diff_0.35_INT_NTGR.TA_weekly_mean_diff_0.39_corr_0.7,NSTR.TA_weekly_mean_diff_0.37_INT_MRIN.TA_weekly_mean_diff_0.41_corr_0.75,SNEL.TA_weekly_mean_diff_0.37_INT_KNFM.TA_weekly_mean_diff_0.47_corr_0.71,ALRPR.TA_weekly_mean_diff_0.6_INT_MRIN.TA_weekly_mean_diff_0.41_corr_0.72,ASGR.TA_weekly_mean_diff_0.44_INT_NSTR.TA_weekly_mean_diff_0.37_corr_0.72,NTGR.TA_weekly_mean_diff_0.39_INT_OPAL.TA_weekly_mean_diff_0.55_corr_0.71,NTGR.TA_weekly_mean_diff_0.39_INT_ZUR.TA_weekly_mean_diff_0.4_corr_0.7,ZUR.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.55_corr_0.71,ZUR.TA_weekly_mean_diff_0.4_INT_SHOM.TA_weekly_mean_diff_0.38_corr_0.7,ILDC.TA_weekly_mean_diff_0.39_INT_OPAL.TA_weekly_mean_diff_0.55_corr_0.72,MRIN.TA_weekly_mean_diff_0.41_INT_OPAL.TA_weekly_mean_diff_0.55_corr_0.74,NSTR.TA_weekly_mean_diff_0.37_INT_AZRM.TA_weekly_mean_diff_0.35_corr_0.73,OPAL.TA_weekly_mean_diff_0.55_INT_ANLT.TA_weekly_mean_diff_0.41_corr_0.72,OPAL.TA_weekly_mean_diff_0.55_INT_BLSR.TA_weekly_mean_diff_0.36_corr_0.72,SLGN.TA_weekly_mean_diff_0.36_INT_ZUR.TA_weekly_mean_diff_0.4_corr_0.75,ZMH.TA_weekly_mean_diff_0.36_INT_NTGR.TA_weekly_mean_diff_0.39_corr_0.74,ZUR.TA_weekly_mean_diff_0.4_INT_ATRY.TA_weekly_mean_diff_0.37_corr_0.75,MNRV.TA_weekly_mean_diff_0.35_INT_OPAL.TA_weekly_mean_diff_0.55_corr_0.78,SHOM.TA_weekly_mean_diff_0.38_INT_OPAL.TA_weekly_mean_diff_0.55_corr_0.77
2019-03-10,2019-03-16,-0.4399993896484375,-7.392006835937563,5.1199951171875,-36.8,-2355.2,134.8,3.2739990234375,0.67999267578125,1.839996337890625,44.5439062500003,-12.2,16.28,1.379998779296875,3.8,15.799154003933177,-19.97598388671875,1.3200012207031364,64.0,-64.24051757901694,-327.8153100585959,-197.64,222.71953125000147,-64.05531005859375,1.9272066162154247,3.2120080566406255,2.9040026855469003,-1.32,12.936011962890738,4.593594580069254,-427.6676550292969,2.1120019531250183,118.80010986328227,-5.6319946289063,-4.642818774431944,28.160000000000004,-58.0803759768591,-0.7920007324218818
2019-03-17,2019-03-23,-0.2399993896484375,6.3599853515625,3.4,73.6,0.0,-6.8,4.42998046875,12.34000244140625,0.820001220703125,-6.84,-11.0,7.5600000000000005,7.8,-16.4,-3.20400146484375,24.56401123046875,2.1199951171875,0.0,275.2001953124988,-51.6,-66.0,-0.0,1061.2402099609376,1.69599609375,1.4400000000000002,3.8159912109375003,2.59200439453125,-15.6879638671875,-1.2719970703124999,459.24020996093753,-2.1199951171875,114.479736328125,3.6719824218750823,12.752001953125001,20.52,729.2788378894297,3.052798144519329
2019-03-24,2019-03-30,-1.6,2.23597900390625,0.75999755859375,-4.8,-220.79999999999998,-34.0,-51.233984375,-4.64000244140625,1.64000244140625,-173.28000000000026,-9.2,185.6,-0.6599975585937727,10.8,14.896027832031185,10.584019775390566,-0.25999755859375,46.0,-361.8792651370168,-97.28000000000014,106.71999999999998,-349.60000000000053,-59.39203125,-0.4315953125059605,-13.27998046875,2.07998046875,-26.4,3.37996826171875,1.975981445312503,-25.088046874999858,3.0679711914062504,-18.719824218750002,104.8,16.5999755859375,-182.4,56.67943603545427,-0.857991943359375
2019-03-31,2019-04-06,0.679998779296875,-26.763214794918895,15.64000244140625,-15.2,-182.39999999999998,-21.8,26.5800048828125,2.3800048828125,0.6,118.31995849609356,16.0,-111.60000000000001,1.4799926757812727,43.2,-20.601575781256006,-17.75998535156257,7.779998779296875,12.0,-47.03982177749276,16.70399414062497,323.2,83.51997070312487,5.7120117187499995,-7.624389306642115,5.879992675781249,-46.67999267578125,-30.3599853515625,-37.343994140625,54.14877250976852,-7.103994140625027,192.9439697265625,-824.6798706054688,5.519970703125136,-10.387987060546875,-102.0,373.43899169936776,39.36677482910454
2019-04-07,2019-04-13,1.0,3.138817309588194,-13.0,20.4,-285.59999999999997,-19.8,14.63798828125,2.5800048828125,0.879998779296875,-30.0,8.8,120.96000000000001,3.1800048828125,60.0,-4.079998779296875,16.3199951171875,2.660003662109375,-14.0,516.1996459960938,-72.4,-241.12,14.0,186.79235351562502,4.734803271479905,12.8159912109375,19.1520263671875,45.64801757812501,156.94021606445312,-2.660003662109375,295.39191162109375,14.364019775390625,329.8404541015625,-26.063964843750163,6.40799560546875,216.0,771.4010620117188,16.864429711923005
2019-04-14,2019-04-20,-0.6199981689453182,0.4488057129085064,7.7,6.2,558.0,-40.6,-5.9699951171875,-3.52000732421875,-0.479998779296875,59.69604003906287,-8.0,-6.760000000000001,1.7,-24.0,1.6016099609434704,1.5840087890625,-0.34000244140625,90.0,-28.320258788764473,6.552004394531291,140.8,327.60021972656455,-6.33601318359375,0.8024049316346645,-6.13599365234375,-0.8840063476562501,6.447996826171876,-3.46802490234375,-1.2376097168028433,0.79200439453125,9.24806640625,-22.440161132812502,24.12798095703131,-22.655976562499998,42.64,-4.080070801079273,-0.8432056396454574
2019-04-21,2019-04-27,-0.18000183105468182,2.00600830078125,2.680004882812477,5.0,70.0,20.8,7.126000976562454,-2.84000244140625,-0.320001220703125,-9.024023437499928,5.2,10.4,0.3199951171875,-1.0,2.9892008788883446,1.2719970703124999,1.7,14.0,43.52047851681636,31.020080566406,85.28,39.48010253906218,-31.24002685546875,-1.1560083007812305,-2.7200195312499544,6.8,7.9199951171875,-4.42,4.794012451171836,11.65997314453125,0.34,27.2,79.760009765625,-13.872099609374766,-12.8,-108.8004150390625,3.365997924804687
2019-04-28,2019-05-04,-0.2600006103515568,6.300789111331105,-10.2,-50.2,3514.0,-33.0,-7.319995117187455,-3.6199951171875,1.4,2.3800000000000003,-17.0,-199.8,3.42000732421875,-46.0,0.36599975585937505,27.08398193359375,-3.579998779296875,-70.0,300.9588476568483,6.2,34.0,7.0,224.439697265625,5.441580664068502,11.247963867187586,26.491990966796877,37.0,-26.491990966796877,0.3579998779296875,226.91984863281252,95.22796752929688,708.8397583007812,-16.28,1.5199951171875115,176.12,708.8393212892115,17.899993896484375
2019-05-05,2019-05-11,-0.7399993896484431,0.5828026611357927,1.7599975585937728,42.4,1526.3999999999999,-34.8,1.5419921875,3.9199951171875,-0.25999755859375,-35.839999999999996,0.0,-31.0,-0.85999755859375,14.6,4.352011718749964,-5.984016113281201,-0.620001220703125,36.0,-14.39990234375,80.64,0.0,-115.2,-98.78387695312499,0.49600097656250003,-4.0,-3.100006103515625,23.100006103515625,-5.95201171875,1.9840039062500001,34.27209228515596,1.8600036621093752,27.2800537109375,16.0,-1.4400000000000002,56.0,-11.159946288913488,-2.8644063964858653
2019-05-12,2019-05-18,-0.8,0.12360764160752295,-6.84000244140625,17.2,309.59999999999997,-53.6,32.166015625,0.660009765625,-1.160003662109375,-8.784052734374837,-7.4,19.8,0.4199951171875,24.4,-0.6344052978604775,1.456003417968718,-0.020001220703125,18.0,36.68065673857907,6.344038085937382,-125.80000000000001,-21.96013183593709,-3.43205078125,0.0028002197295427323,0.30800537109375004,0.044002685546875,3.564002685546875,0.124007568359375,0.02440163575112774,-2.704006347656191,-0.2080126953125,-1.32008056640625,-5.28,1.4840258789062502,-15.840000000000002,5.240322265773982,0.032402001954615116
