first_day_in_week,last_day_in_week,VTNA_main_symb_weekly_mean_diff,ASHG.TA_weekly_mean_diff_0.39,ALHE.TA_weekly_mean_diff_0.4,MTRX.TA_weekly_mean_diff_0.41,PHOE.TA_weekly_mean_diff_0.41,ENOG.TA_weekly_mean_diff_0.42,MMHD.TA_weekly_mean_diff_0.45
2020-05-17,2020-05-23,-33.5,56.8,-8.2,128.2,16.0,5.2,51.4
2020-05-24,2020-05-30,-28.0,-61.0,27.5,208.5,7.5,-31.25,-9.5
2020-05-31,2020-06-06,9.5,-127.0,-34.2,-36.8,-28.0,0.2,-14.0
2020-06-07,2020-06-13,6.4,92.25,47.75,59.5,11.25,-8.0,-83.25
2020-06-14,2020-06-20,-36.4,9.8,-6.8,50.0,12.6,-26.6,-43.8
2020-06-21,2020-06-27,-282.0780000686645,-134.6,-117.8,-103.0,-44.2,-62.2,-72.6
2020-06-28,2020-07-04,255.67800006866452,37.39997558593759,96.40000610351562,-2.6,3.399999237060547,145.2,72.40000915527344
2020-07-05,2020-07-11,21.6,-60.59997558593759,-85.60000610351562,20.0,-5.599999237060547,-95.4,4.5999908447265625
2020-07-12,2020-07-18,-20.8,59.6,26.6,42.0,22.2,26.6,42.0
2020-07-19,2020-07-25,37.75,29.6,-37.6,58.0,4.2,31.2,21.8
2020-07-26,2020-08-01,,-19.0,63.25,157.75,5.0,28.5,-47.75
