first_day_in_week,last_day_in_week,AMOT_main_symb_weekly_mean_diff,TUZA.TA_weekly_mean_diff_0.36,RLCO.TA_weekly_mean_diff_0.42,ALRPR.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,0.0,0.3599998474121094,-1.0,64.0
2019-03-17,2019-03-23,-11.0,0.3599998474121094,-3.2,0.0
2019-03-24,2019-03-30,15.0,0.04000015258789062,1.2,46.0
2019-03-31,2019-04-06,1.0,0.0,27.6,12.0
2019-04-07,2019-04-13,3.4,-0.14000015258789061,27.2,-14.0
2019-04-14,2019-04-20,0.4,-0.01999969482421875,-33.4,90.0
2019-04-21,2019-04-27,-1.2,-0.4,-23.4,14.0
2019-04-28,2019-05-04,-3.6,-0.3,22.6,-70.0
2019-05-05,2019-05-11,7.0,0.0,-9.2,36.0
2019-05-12,2019-05-18,7.8,0.3400001525878906,10.0,18.0
2019-05-19,2019-05-25,14.0,-0.020000457763671875,0.0,64.0
2019-05-26,2019-06-01,-4.8,-0.3,9.8,-164.0
2019-06-02,2019-06-08,7.2,-0.41999969482421873,-9.8,-30.0
2019-06-09,2019-06-15,19.6,0.15999984741210938,-2.0,148.0
2019-06-16,2019-06-22,4.2,-0.04000015258789062,-0.8,90.0
2019-06-23,2019-06-29,-14.4,-0.2799995422363281,4.2,-20.0
2019-06-30,2019-07-06,8.6,0.1,7.0,162.0
2019-07-07,2019-07-13,6.0,-0.24000015258789062,-32.2,66.0
2019-07-14,2019-07-20,12.0,-0.24000015258789062,-2.4,-238.0
2019-07-21,2019-07-27,18.8,0.5400001525878906,29.8,-34.0
2019-07-28,2019-08-03,4.6,-0.5,-3.0,76.0
2019-08-04,2019-08-10,-23.2,1.18000030517578,-8.0,156.0
2019-08-11,2019-08-17,12.6,-0.020000457763670453,10.2,-114.0
2019-08-18,2019-08-24,-2.2,-0.3,2.8,80.0
2019-08-25,2019-08-31,3.2,-0.059999847412109376,11.8,34.0
2019-09-01,2019-09-07,-24.8,-0.8599998474121093,-23.2,0.0
2019-09-08,2019-09-14,16.5,0.45999984741210936,-2.0,36.0
2019-09-15,2019-09-21,26.2,-0.05000019073486328,21.5,95.0
2019-09-22,2019-09-28,-20.0,-0.17999954223632814,-1.0,-10.0
2019-09-29,2019-10-05,-0.6666666666666666,-0.20000076293945312,-33.5,-20.0
2019-10-06,2019-10-12,-7.0,0.599999745686849,24.666666666666668,250.0
2019-10-13,2019-10-19,-16.666666666666668,-0.09999974568684895,0.3333333333333333,-6.666666666666667
2019-10-20,2019-10-26,4.0,-0.5333328247070312,-32.333333333333336,-90.0
2019-10-27,2019-11-02,10.0,-0.020000457763671875,5.0,20.0
2019-11-03,2019-11-09,-7.2,0.3599998474121094,18.0,-102.0
2019-11-10,2019-11-16,-2.8,0.0,-2.6,-54.0
2019-11-17,2019-11-23,17.2,-0.4799995422363281,19.2,52.0
2019-11-24,2019-11-30,-1.2,-0.12000045776367188,17.0,132.0
2019-12-01,2019-12-07,11.8,0.1,14.2,10.0
2019-12-08,2019-12-14,-7.4,0.5,5.8,20.0
2019-12-15,2019-12-21,-6.4,-0.2799995422363281,-0.2,68.0
2019-12-22,2019-12-28,-6.8,-0.28000030517578123,-45.0,-42.0
2019-12-29,2020-01-04,5.4,0.14000015258789061,-5.4,60.0
2020-01-05,2020-01-11,3.2,0.5199996948242187,28.6,44.0
2020-01-12,2020-01-18,11.8,0.38000030517578126,2.2,418.0
2020-01-19,2020-01-25,-20.4,-0.6199996948242188,-29.2,-84.0
2020-01-26,2020-02-01,8.8,-0.32000045776367186,-8.2,-220.0
2020-02-02,2020-02-08,28.0,-0.5799995422363281,30.0,-62.0
2020-02-09,2020-02-15,10.6,0.1,9.6,-30.0
2020-02-16,2020-02-22,-25.0,-0.3600006103515625,-3.6,166.0
2020-02-23,2020-02-29,-32.25,0.24000015258789062,-64.0,-438.0
2020-03-01,2020-03-07,-115.75,-1.175000190734865,-59.0,-890.0
2020-03-08,2020-03-14,-19.4,0.10000038146972834,-85.25,-1003.0
2020-03-15,2020-03-21,-3.2,-0.41999969482421873,-35.2,-32.6
2020-03-22,2020-03-28,22.2,1.1399993896484375,93.8,376.8
2020-03-29,2020-04-04,-28.33333333333333,-0.21999969482421874,-7.2,184.2
2020-04-05,2020-04-11,-53.0,-0.7666664123535156,20.0,-122.66666666666667
2020-04-12,2020-04-18,-8.6,0.5333328247070312,-43.666666666666664,-285.0
2020-04-19,2020-04-25,71.0,0.4400001525878906,36.2,36.2
2020-04-26,2020-05-02,-6.0,0.3333333333333333,-33.666666666666664,324.0
2020-05-03,2020-05-09,-34.6,-0.04000015258789062,-16.8,-190.2
2020-05-10,2020-05-16,5.4,1.1599998474121094,-21.8,-251.2
2020-05-17,2020-05-23,14.0,2.8400001525878906,18.0,81.4
2020-05-24,2020-05-30,-23.6,-0.25,39.0,0.0
2020-05-31,2020-06-06,-1.25,-0.27999954223632956,-22.8,-16.0
2020-06-07,2020-06-13,7.2,0.34999942779541193,18.25,181.25
2020-06-14,2020-06-20,-40.6,0.04000015258789062,-12.2,110.4
2020-06-21,2020-06-27,25.60001373291016,0.5800003051757798,-9.4,-109.4
2020-06-28,2020-07-04,-33.60001373291016,-0.24000043869018411,3.4000152587890624,-70.39993286132812
2020-07-05,2020-07-11,36.2,0.34000043869018415,1.7999847412109375,-21.800067138671874
2020-07-12,2020-07-18,-18.2,0.23999938964843892,6.6,3.2
2020-07-19,2020-07-25,10.0,1.7400009155273437,1.0,-2.6
2020-07-26,2020-08-01,,0.0,-11.75,-123.0
