first_day_in_week,last_day_in_week,UNVO_main_symb_weekly_mean_diff,CANF.TA_weekly_mean_diff_-0.43
2019-03-10,2019-03-16,2.4200010299682617,-1.7
2019-03-17,2019-03-23,2.519998550415039,5.460000610351562
2019-03-24,2019-03-30,29.39999580383301,-14.520001220703126
2019-03-31,2019-04-06,28.46000671386719,-7.619999694824219
2019-04-07,2019-04-13,-6.3800048828125,-1.2
2019-04-14,2019-04-20,-2.139997482299782,-2.8199996948242188
2019-04-21,2019-04-27,-14.940004348754885,0.36000061035155967
2019-04-28,2019-05-04,7.560005187988281,-2.1600006103515597
2019-05-05,2019-05-11,-22.560005187988306,-1.3199996948242188
2019-05-12,2019-05-18,3.8199996948242414,-2.4
2019-05-19,2019-05-25,-11.180000305175804,-6.320000457763672
2019-05-26,2019-06-01,-2.7399921417236333,-0.9599998474121094
2019-06-02,2019-06-08,0.26000022888183594,0.9599998474121094
2019-06-09,2019-06-15,1.1199951171875,-0.8799995422363281
2019-06-16,2019-06-22,-8.339996337890625,0.6
2019-06-23,2019-06-29,-1.4599990844726107,-0.3600006103515625
2019-06-30,2019-07-06,-1.1200046539307096,0.1600006103515625
2019-07-07,2019-07-13,-12.059998512268065,0.0399993896484375
2019-07-14,2019-07-20,8.020000457763674,0.1600006103515625
2019-07-21,2019-07-27,-3.580002784729004,-0.5800003051757813
2019-07-28,2019-08-03,-8.919997215270996,0.18000030517578125
2019-08-04,2019-08-10,-3.3200025558471795,-1.0600002288818353
2019-08-11,2019-08-17,6.6200017929077015,-0.12000007629394602
2019-08-18,2019-08-24,-0.3800010681152116,-0.44000015258788994
2019-08-25,2019-08-31,-2.8599977493286133,0.6
2019-09-01,2019-09-07,-1.859998703002941,-0.6399997711181641
2019-09-08,2019-09-14,-0.9500026702880716,1.0200000762939432
2019-09-15,2019-09-21,-3.200001716613747,-0.6249999999999991
2019-09-22,2019-09-28,-8.55000019073492,-0.42000007629394387
2019-09-29,2019-10-05,-1.0666608810424616,-1.4000005722045898
2019-10-06,2019-10-12,-2.6666720708211265,0.7333335876464832
2019-10-13,2019-10-19,-3.8666645685831895,-0.03333346048990885
2019-10-20,2019-10-26,20.1200008392334,-0.20000012715657434
2019-10-27,2019-11-02,2.539997100830078,0.6
2019-11-03,2019-11-09,-1.4999961853027344,-0.1799999237060554
2019-11-10,2019-11-16,1.2799978256225586,-0.1200000762939446
2019-11-17,2019-11-23,-5.759997367858875,0.18000030517577983
2019-11-24,2019-11-30,1.3800001144409066,0.13999977111816478
2019-12-01,2019-12-07,-0.2800035476684684,3.720000076293945
2019-12-08,2019-12-14,-3.5999965667724383,-1.8400001525878906
2019-12-15,2019-12-21,-1.860003471374512,-0.7199996948242188
2019-12-22,2019-12-28,6.600003242492676,1.5
2019-12-29,2020-01-04,-7.300000190734887,-0.9599998474121094
2020-01-05,2020-01-11,10.000000000000009,-1.1
2020-01-12,2020-01-18,-5.020003318786621,0.1
2020-01-19,2020-01-25,-2.0199966430664182,-0.22000045776367116
2020-01-26,2020-02-01,-0.9000015258788949,-0.939999771118164
2020-02-02,2020-02-08,-2.1400022506713867,-0.4799999237060561
2020-02-09,2020-02-15,1.3800001144409066,-2.180000114440917
2020-02-16,2020-02-22,-4.624997806549049,0.6600000381469723
2020-02-23,2020-02-29,-3.7187503576278838,-0.4200000762939453
2020-03-01,2020-03-07,-25.475000619888306,2.0250000953674325
2020-03-08,2020-03-14,1.7199993133544922,-1.7000002861022958
2020-03-15,2020-03-21,19.580001831054688,0.16000022888183593
2020-03-22,2020-03-28,2.079997062683105,0.02000007629394531
2020-03-29,2020-04-04,6.600006421407045,-0.08000030517578124
2020-04-05,2020-04-11,-5.366667111714682,0.5333334604899088
2020-04-12,2020-04-18,6.700000762939465,1.4666665395100924
2020-04-19,2020-04-25,3.3666610717773247,-0.41999969482421945
2020-04-26,2020-05-02,-6.7000007629394425,0.39999961853027344
2020-05-03,2020-05-09,0.980000495910656,-0.25999984741210935
2020-05-10,2020-05-16,-0.8799982070922965,-0.06000022888183594
2020-05-17,2020-05-23,-2.1749973297119283,0.9600002288818367
2020-05-24,2020-05-30,-6.000006198883026,-0.20000028610229492
2020-05-31,2020-06-06,,-0.01999969482422017
