first_day_in_week,last_day_in_week,EMTC_main_symb_weekly_mean_diff,ORL.TA_weekly_mean_diff_0.45,PRSK.TA_weekly_mean_diff_0.46,DLEKG.TA_weekly_mean_diff_0.52,DANH.TA_weekly_mean_diff_0.37_INT_SNCM.TA_weekly_mean_diff_0.36_corr_0.72,ZUR.TA_weekly_mean_diff_0.35_INT_MGDL.TA_weekly_mean_diff_0.44_corr_0.72,ISRS.TA_weekly_mean_diff_0.37_INT_GOHO.TA_weekly_mean_diff_0.37_corr_0.81,MTDS.TA_weekly_mean_diff_0.36_INT_ISRS.TA_weekly_mean_diff_0.37_corr_0.74
2019-03-10,2019-03-16,0.16000061035155966,-1.9799987792968807,0.4,-10.0,5.807998657226563,0.8800000000000001,-1500.8,-1179.2
2019-03-17,2019-03-23,-0.1,-0.2,19.8,-50.0,-1.72799560546875,-0.54,2833.6,2833.6
2019-03-24,2019-03-30,-0.4800003051757813,-0.3,11.6,-352.0,-12.719999999999999,23.2,1876.8,-1101.6000000000001
2019-03-31,2019-04-06,-0.1,-0.7399993896484375,12.4,256.0,4.64,-21.0,700.8,-1752.0
2019-04-07,2019-04-13,-0.7599990844726563,0.9,65.8,686.0,-0.0,28.08,1464.0,1464.0
2019-04-14,2019-04-20,0.8399993896484375,0.3,22.4,-202.0,-1.2800000000000002,-2.547996826171875,993.6,662.4
2019-04-21,2019-04-27,0.5199996948242187,-0.220001220703125,-6.2,448.0,8.360006713867188,8.639990234375,-187.2,93.6
2019-04-28,2019-05-04,-0.3800003051757784,-0.3399993896484375,-5.6,64.0,-52.1519805908205,-14.948009033203125,2668.0,2146.0
2019-05-05,2019-05-11,-0.8199996948242216,0.1,-18.2,-398.0,-1.343994140625027,4.299987792968807,425.59999999999997,246.40000000000003
2019-05-12,2019-05-18,0.4800003051757813,0.9600006103515625,-17.8,-1128.0,37.119964599609546,-1.6720080566406001,-0.0,-285.59999999999997
2019-05-19,2019-05-25,-0.03999938964844034,-1.7600006103515624,-5.8,620.0,-8.4480053710937,-13.4559716796875,-1587.6000000000001,1293.6000000000001
2019-05-26,2019-06-01,0.07999877929688068,1.0,38.8,-14.0,-2.9759912109375275,34.979986572265624,456.0,912.0
2019-06-02,2019-06-08,0.18000030517577842,-0.3,19.6,-400.0,-8.279992675781283,0.724000244140625,1425.6000000000001,594.0
2019-06-09,2019-06-15,-1.9199996948242188,-0.1399993896484375,-1.8,-152.0,-0.036000366210937496,-3.5200000000000005,1048.0,419.20000000000005
2019-06-16,2019-06-22,0.7199996948242188,1.5399993896484374,1.2,12.0,6.967975463867263,0.48,-1090.3999999999999,-601.6
2019-06-23,2019-06-29,-0.6800003051757812,-0.2,67.0,-92.0,-0.35200073242187274,-5.0,-1128.0,3666.0
