first_day_in_week,last_day_in_week,TMRP_main_symb_weekly_mean_diff,BRAM.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,-6.0,0.920001220703125
2019-03-17,2019-03-23,-4.6,5.25999755859375
2019-03-24,2019-03-30,-1.4,1.160003662109375
2019-03-31,2019-04-06,-4.0,-0.360003662109375
2019-04-07,2019-04-13,-50.4,-1.35999755859375
2019-04-14,2019-04-20,-4.0,2.55999755859375
2019-04-21,2019-04-27,-6.8,4.060003662109375
2019-04-28,2019-05-04,-5.8,-2.920001220703125
2019-05-05,2019-05-11,-4.8,-3.2
2019-05-12,2019-05-18,5.0,-5.0
2019-05-19,2019-05-25,-8.8,0.15999755859375
2019-05-26,2019-06-01,8.6,-0.739996337890625
2019-06-02,2019-06-08,-0.8,-0.74000244140625
2019-06-09,2019-06-15,3.8,-0.720001220703125
2019-06-16,2019-06-22,-17.8,-0.1
2019-06-23,2019-06-29,-1.8,1.460003662109375
2019-06-30,2019-07-06,7.4,0.039996337890625
2019-07-07,2019-07-13,-22.0,-0.2
2019-07-14,2019-07-20,1.6,-0.079998779296875
2019-07-21,2019-07-27,5.8,-4.9
2019-07-28,2019-08-03,-18.98000488281248,0.55999755859375
2019-08-04,2019-08-10,-9.700000000000024,-2.0799987792968637
2019-08-11,2019-08-17,2.560009765624977,-5.119998168945324
2019-08-18,2019-08-24,7.479992675781273,0.1399993896484375
2019-08-25,2019-08-31,-14.55999755859375,-1.4
2019-09-01,2019-09-07,14.280004882812474,2.120001220703119
2019-09-08,2019-09-14,2.3999938964844034,8.77999877929688
2019-09-15,2019-09-21,-12.74000244140625,-2.8000030517578125
2019-09-22,2019-09-28,21.850006103515625,4.1800048828125
2019-09-29,2019-10-05,7.86665852864587,-2.3000030517578125
2019-10-06,2019-10-12,4.233337402343712,-2.100006103515625
2019-10-13,2019-10-19,-15.466654459635455,2.4666748046875
2019-10-20,2019-10-26,-2.980004882812477,-0.100006103515625
2019-10-27,2019-11-02,-3.6,-0.639996337890625
2019-11-03,2019-11-09,-9.7,-2.7800048828125
2019-11-10,2019-11-16,-6.75999755859375,1.260003662109375
2019-11-17,2019-11-23,-2.95999755859375,1.85999755859375
2019-11-24,2019-11-30,2.0199951171875,0.5
2019-12-01,2019-12-07,-4.8800048828125,-0.479998779296875
2019-12-08,2019-12-14,5.42000732421875,1.4
2019-12-15,2019-12-21,-10.4,-0.2
2019-12-22,2019-12-28,7.05999755859375,0.220001220703125
2019-12-29,2020-01-04,-12.64000244140625,3.639996337890625
2020-01-05,2020-01-11,-6.4,0.920001220703125
2020-01-12,2020-01-18,-17.0,1.260003662109375
2020-01-19,2020-01-25,-7.2,1.5199951171875
2020-01-26,2020-02-01,-14.35999755859375,-0.85999755859375
2020-02-02,2020-02-08,-20.920001220703124,-5.620001220703125
2020-02-09,2020-02-15,0.260003662109375,-1.45999755859375
2020-02-16,2020-02-22,-13.960003662109376,-0.54000244140625
2020-02-23,2020-02-29,-2.5999984741210938,-3.9999999999999885
2020-03-01,2020-03-07,-38.974998474121094,-9.099998474121108
2020-03-08,2020-03-14,-7.720001220703125,-6.025001525878899
2020-03-15,2020-03-21,-0.5199996948242187,-0.7799987792968807
2020-03-22,2020-03-28,38.51999969482422,8.22000122070312
2020-03-29,2020-04-04,13.5,1.3799987792968806
2020-04-05,2020-04-11,-8.833333333333334,1.2999979654948106
2020-04-12,2020-04-18,-15.4,-7.466664632161478
2020-04-19,2020-04-25,-2.600001017252604,-2.379998779296881
2020-04-26,2020-05-02,-5.6,-1.6333363850911364
2020-05-03,2020-05-09,1.820001220703125,-0.1399993896484375
2020-05-10,2020-05-16,1.779998779296875,0.2
2020-05-17,2020-05-23,1.174999237060554,2.0799987792968806
2020-05-24,2020-05-30,2.2200012207031192,0.825000762939446
2020-05-31,2020-06-06,-7.674999237060548,-0.5
2020-06-07,2020-06-13,4.360000610351556,10.575000762939453
2020-06-14,2020-06-20,-7.6,4.979998779296875
2020-06-21,2020-06-27,0.15999946594239414,-2.6
2020-06-28,2020-07-04,-2.100001907348633,1.6999988555908316
2020-07-05,2020-07-11,5.5,-1.6599964141845818
2020-07-12,2020-07-18,3.2600006103515566,4.439996337890625
2020-07-19,2020-07-25,-5.524997711181649,5.420001220703125
2020-07-26,2020-08-01,,7.75
