first_day_in_week,last_day_in_week,SHAN_main_symb_weekly_mean_diff,NVLG.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,-4.139996337890625,-1.4399993896484404
2019-03-17,2019-03-23,1.279998779296875,-1.0200012207031193
2019-03-24,2019-03-30,-0.720001220703125,-0.859999084472659
2019-03-31,2019-04-06,3.15999755859375,5.040000915527344
2019-04-07,2019-04-13,2.0800048828125,0.7399993896484375
2019-04-14,2019-04-20,-1.7,-0.620001220703125
2019-04-21,2019-04-27,1.35999755859375,-0.8600006103515625
2019-04-28,2019-05-04,1.3,0.720001220703125
2019-05-05,2019-05-11,1.420001220703125,-0.16000061035155683
2019-05-12,2019-05-18,1.420001220703125,1.0200012207031193
2019-05-19,2019-05-25,6.4,-0.5800018310546875
2019-05-26,2019-06-01,1.15999755859375,-0.4399993896484318
2019-06-02,2019-06-08,-0.6,-1.7399993896484431
2019-06-09,2019-06-15,-2.7400024414062387,1.379998779296875
2019-06-16,2019-06-22,2.720001220703113,0.44000244140625
2019-06-23,2019-06-29,6.34000244140625,0.6
2019-06-30,2019-07-06,-2.74000244140625,1.0
2019-07-07,2019-07-13,7.7799987792968865,0.65999755859375
2019-07-14,2019-07-20,3.760003662109364,-0.879998779296875
2019-07-21,2019-07-27,-1.020001220703125,0.4600006103515625
2019-07-28,2019-08-03,-1.4,-1.1600006103515625
2019-08-04,2019-08-10,0.4599975585937614,0.479998779296875
2019-08-11,2019-08-17,3.9200012207031136,-1.279998779296875
2019-08-18,2019-08-24,-1.939996337890625,0.3600006103515625
2019-08-25,2019-08-31,-0.860003662109375,3.0199981689453126
2019-09-01,2019-09-07,-0.6200012207031136,3.14000244140625
2019-09-08,2019-09-14,3.5500030517577983,-2.3600006103515625
2019-09-15,2019-09-21,2.74000244140625,-1.5499992370605469
2019-09-22,2019-09-28,-6.2000122070312225,0.95999755859375
2019-09-29,2019-10-05,4.066670735677064,-4.4499969482421875
2019-10-06,2019-10-12,3.9000040690103783,0.7333323160807291
2019-10-13,2019-10-19,-1.8333333333333333,0.3000030517578125
2019-10-20,2019-10-26,-2.199999999999977,3.0999959309895835
2019-10-27,2019-11-02,-8.7,0.2600006103515625
2019-11-03,2019-11-09,0.7199951171875114,1.720001220703125
2019-11-10,2019-11-16,1.7600036621093635,-0.5800018310546875
2019-11-17,2019-11-23,3.75999755859375,-1.4
2019-11-24,2019-11-30,-6.639996337890625,-0.35999755859375
2019-12-01,2019-12-07,-1.060003662109375,-2.54000244140625
2019-12-08,2019-12-14,-1.45999755859375,2.0800018310546875
2019-12-15,2019-12-21,-1.9,-0.5600006103515625
2019-12-22,2019-12-28,3.379998779296875,0.2
2019-12-29,2020-01-04,-2.479998779296875,3.579998779296875
2020-01-05,2020-01-11,3.320001220703125,0.820001220703125
2020-01-12,2020-01-18,3.839996337890625,6.320001220703119
2020-01-19,2020-01-25,0.720001220703125,0.6199981689453182
2020-01-26,2020-02-01,-1.179998779296875,-2.9
2020-02-02,2020-02-08,4.75999755859375,2.0
2020-02-09,2020-02-15,1.4799987792968865,0.9
2020-02-16,2020-02-22,-8.7,0.220001220703125
2020-02-23,2020-02-29,-4.324996948242202,-2.4600006103515626
2020-03-01,2020-03-07,-1.5250015258789062,-2.5
2020-03-08,2020-03-14,2.120001220703125,-4.75
2020-03-15,2020-03-21,6.379998779296875,1.4600006103515626
2020-03-22,2020-03-28,0.44000244140625,3.8600006103515567
2020-03-29,2020-04-04,0.16666666666666666,-2.0
2020-04-05,2020-04-11,-0.866668701171875,6.299997965494801
2020-04-12,2020-04-18,2.64000244140625,0.0
2020-04-19,2020-04-25,7.16666666666663,7.179998779296881
2020-04-26,2020-05-02,-1.2200012207031024,3.7000020345051987
2020-05-03,2020-05-09,1.2399963378906478,-3.2200012207031192
2020-05-10,2020-05-16,4.680004882812455,-3.539999389648443
2020-05-17,2020-05-23,25.34999084472659,10.219998168945313
2020-05-24,2020-05-30,-16.6,-4.6999969482421875
2020-05-31,2020-06-06,-4.024993896484375,1.2
2020-06-07,2020-06-13,4.24000244140625,1.625
2020-06-14,2020-06-20,-7.000000000000023,-0.42000122070311363
2020-06-21,2020-06-27,-3.919998550415016,0.02000122070311363
2020-06-28,2020-07-04,10.239993667602564,2.0999998092651366
2020-07-05,2020-07-11,-6.840002441406273,2.200000190734863
2020-07-12,2020-07-18,1.1,0.4
2020-07-19,2020-07-25,-3.099990844726591,3.74000244140625
2020-07-26,2020-08-01,,1.3249969482421875
