first_day_in_week,last_day_in_week,LAHAV_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.37,ALRPR.TA_weekly_mean_diff_0.44,ROTS.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,6.582999515533452,1.839996337890625,64.0,-5.6
2019-03-17,2019-03-23,-6.906199741363519,0.820001220703125,0.0,-22.8
2019-03-24,2019-03-30,0.5654001235961801,1.64000244140625,46.0,-12.6
2019-03-31,2019-04-06,-0.12919902801512534,0.6,12.0,16.8
2019-04-07,2019-04-13,0.27460098266601,0.879998779296875,-14.0,39.4
2019-04-14,2019-04-20,6.995397663116461,-0.479998779296875,90.0,5.0
2019-04-21,2019-04-27,-5.9291993141174375,-0.320001220703125,14.0,2.4
2019-04-28,2019-05-04,7.489199924468994,1.4,-70.0,10.2
2019-05-05,2019-05-11,-7.472999382019049,-0.25999755859375,36.0,-3.6
2019-05-12,2019-05-18,0.3232002258300895,-1.160003662109375,18.0,2.4
2019-05-19,2019-05-25,-0.2261996269226188,0.779998779296875,64.0,15.6
2019-05-26,2019-06-01,-0.5008006095886229,-0.879998779296875,-164.0,3.6
2019-06-02,2019-06-08,0.6622004508972281,0.379998779296875,-30.0,-6.4
2019-06-09,2019-06-15,-0.8238005638122559,-2.1,148.0,2.2
2019-06-16,2019-06-22,0.7432007789611703,-1.7,90.0,-5.8
2019-06-23,2019-06-29,-0.2748012542724553,2.920001220703125,-20.0,-33.8
2019-06-30,2019-07-06,0.4685997962951604,-3.420001220703125,162.0,36.8
2019-07-07,2019-07-13,-0.3877997398376408,-2.3,66.0,-12.4
2019-07-14,2019-07-20,0.29080152511596113,-4.139996337890636,-238.0,20.0
2019-07-21,2019-07-27,0.17779827117919922,1.4599975585937728,-34.0,9.4
2019-07-28,2019-08-03,-1.340799331665039,2.9400024414062385,76.0,3.8
2019-08-04,2019-08-10,-0.7753992080688477,-3.560003662109375,156.0,33.0
2019-08-11,2019-08-17,-0.6786012649536021,-0.05999755859375,-114.0,-0.2
2019-08-18,2019-08-24,-0.2907991409301758,-0.9,80.0,-12.6
2019-08-25,2019-08-31,1.4053988456725959,1.9200012207031136,34.0,5.8
2019-09-01,2019-09-07,1.5994000434875488,-0.32000122070311365,0.0,26.2
2019-09-08,2019-09-14,0.6462514400482249,0.4799987792968864,36.0,16.6
2019-09-15,2019-09-21,-1.1470007896423398,0.125,95.0,43.75
2019-09-22,2019-09-28,-0.6864964962005473,-1.5200012207031364,-10.0,-20.4
2019-09-29,2019-10-05,0.24233261744181314,-3.149993896484375,-20.0,-58.5
2019-10-06,2019-10-12,0.5383332570393881,3.6666666666666665,250.0,-7.0
2019-10-13,2019-10-19,1.0770003000895183,3.466664632161477,-6.666666666666667,9.666666666666666
2019-10-20,2019-10-26,-0.032401084899908034,-2.466664632161477,-90.0,1.0
2019-10-27,2019-11-02,2.778599262237549,-1.25999755859375,20.0,-8.6
2019-11-03,2019-11-09,-0.6299996376037541,-1.74000244140625,-102.0,-12.0
2019-11-10,2019-11-16,1.389200687408453,-1.2399993896484376,-54.0,-40.4
2019-11-17,2019-11-23,-0.14539957046509358,2.0800018310546875,52.0,-2.0
2019-11-24,2019-11-30,0.8723998069763184,6.439996337890625,132.0,52.2
2019-12-01,2019-12-07,-0.5008006095886229,-1.279998779296875,10.0,27.0
2019-12-08,2019-12-14,10.338799953460693,1.04000244140625,20.0,83.4
2019-12-15,2019-12-21,0.8237981796264592,1.239996337890625,68.0,-26.2
2019-12-22,2019-12-28,0.7754039764404524,1.660003662109375,-42.0,-14.8
2019-12-29,2020-01-04,-2.681603431701677,-1.8800048828125,60.0,29.2
2020-01-05,2020-01-11,0.9208011627197038,0.64000244140625,44.0,34.0
2020-01-12,2020-01-18,8.662600517272972,1.3,418.0,12.4
2020-01-19,2020-01-25,-0.8799982070922852,-1.3,-84.0,32.6
2020-01-26,2020-02-01,-0.5800008773803711,-1.75999755859375,-220.0,-17.0
2020-02-02,2020-02-08,13.800001144409167,-1.820001220703125,-62.0,15.4
2020-02-09,2020-02-15,1.4199972152710074,-0.34000244140623864,-30.0,-27.2
2020-02-16,2020-02-22,-7.919997692108153,0.4999999999999886,166.0,15.4
2020-02-23,2020-02-29,-3.5750018358230586,0.560003662109375,-438.0,-62.4
2020-03-01,2020-03-07,-23.27499878406525,-8.925003051757812,-890.0,-117.0
2020-03-08,2020-03-14,-4.079999923706043,-16.549999237060547,-1003.0,-134.25
2020-03-15,2020-03-21,7.299997806549068,-4.380001831054687,-32.6,-28.0
2020-03-22,2020-03-28,4.120001792907715,5.0800018310546875,376.8,62.0
2020-03-29,2020-04-04,3.3999999364217124,11.539999389648438,184.2,23.6
2020-04-05,2020-04-11,-6.90000057220459,-4.799997965494801,-122.66666666666667,58.333333333333336
2020-04-12,2020-04-18,7.139997482299809,4.266662597656269,-285.0,40.666666666666664
2020-04-19,2020-04-25,1.5333334604899185,-1.9199981689453183,36.2,15.2
2020-04-26,2020-05-02,1.5200042724609375,3.899998982747396,324.0,63.0
2020-05-03,2020-05-09,-6.900000572204601,-2.2,-190.2,-54.8
2020-05-10,2020-05-16,1.7799997329711914,-0.6799987792968807,-251.2,-7.2
2020-05-17,2020-05-23,0.9000003337860107,0.019998168945318185,81.4,-44.0
2020-05-24,2020-05-30,-2.1000027656555176,-2.424999237060547,0.0,-20.75
2020-05-31,2020-06-06,,0.4399993896484375,-16.0,4.4
