first_day_in_week,last_day_in_week,SLARL_main_symb_weekly_mean_diff,MMAN.TA_weekly_mean_diff_0.36_INT_OPAL.TA_weekly_mean_diff_0.58_corr_0.74,OPAL.TA_weekly_mean_diff_0.58_INT_MNRV.TA_weekly_mean_diff_0.42_corr_0.78,OPAL.TA_weekly_mean_diff_0.58_INT_ZUR.TA_weekly_mean_diff_0.42_corr_0.71,ZUR.TA_weekly_mean_diff_0.42_INT_SHOM.TA_weekly_mean_diff_0.5_corr_0.7,ATRY.TA_weekly_mean_diff_0.37_INT_SHOM.TA_weekly_mean_diff_0.5_corr_0.72,HLMS.TA_weekly_mean_diff_0.41_INT_ALRPR.TA_weekly_mean_diff_0.61_corr_0.71,LUMI.TA_weekly_mean_diff_0.38_INT_MZTF.TA_weekly_mean_diff_0.36_corr_0.71,NSTR.TA_weekly_mean_diff_0.4_INT_ALRPR.TA_weekly_mean_diff_0.61_corr_0.7,ASGR.TA_weekly_mean_diff_0.48_INT_ATRY.TA_weekly_mean_diff_0.37_corr_0.72,ELCRE.TA_weekly_mean_diff_0.42_INT_ASGR.TA_weekly_mean_diff_0.48_corr_0.73,MNRV.TA_weekly_mean_diff_0.42_INT_SHOM.TA_weekly_mean_diff_0.5_corr_0.75,MRIN.TA_weekly_mean_diff_0.45_INT_ZUR.TA_weekly_mean_diff_0.42_corr_0.72,ZUR.TA_weekly_mean_diff_0.42_INT_ADGR.TA_weekly_mean_diff_0.37_corr_0.75,ZUR.TA_weekly_mean_diff_0.42_INT_MNRV.TA_weekly_mean_diff_0.42_corr_0.74,ELCRE.TA_weekly_mean_diff_0.42_INT_AZRM.TA_weekly_mean_diff_0.35_corr_0.79
2019-03-10,2019-03-16,0.2199951171875,-7.392006835937563,-58.0803759768591,2.9040026855469003,-1.32,-7.68,117.759765625,196.79999999999998,-6028.8,8.703906250000001,1.0879882812500001,26.400146484374126,7.655983886718801,3.607978515625,-96.8005371093718,7.263994140625001
2019-03-17,2019-03-23,0.74000244140625,6.3599853515625,729.2788378894297,3.8159912109375003,2.59200439453125,16.41602783203125,-0.0,444.36000000000007,0.0,140.67602783203125,-34.5520068359375,495.36119140684394,-1.08,-0.3959912109375,619.2004394531224,-14.9520068359375
2019-03-24,2019-03-30,0.44000244140625,2.23597900390625,56.67943603545427,2.07998046875,-26.4,75.24,323.840112304687,-430.08000000000004,588.8000000000001,-105.7920556640625,14.8480078125,-719.3995971679688,60.80000000000009,-40.32001953125,1743.9990234375,6.272011718749964
2019-03-31,2019-04-06,5.6,-26.763214794918895,373.43899169936776,-46.67999267578125,-30.3599853515625,86.01995849609375,85.91997070312513,135.60000000000002,28.799999999999997,40.4600830078125,-6.664013671875,242.87926513701677,-41.759985351562435,-27.0,-287.999267578125,8.28799316406253
2019-04-07,2019-04-13,2.14000244140625,3.138817309588194,771.4010620117188,19.1520263671875,45.64801757812501,190.2000732421875,9.51998291015641,308.71999999999997,-1013.6000000000001,77.400146484375,20.6400390625,1838.6007080078125,-7.2,41.90396484375,2088.0,32.639990234375
2019-04-14,2019-04-20,0.0199951171875,0.4488057129085064,-4.080070801079273,-0.8840063476562501,6.447996826171876,40.67197998046875,244.80010986328125,33.0,162.0,-57.7281201171875,-2.816005859375,29.760288085788492,9.46400634765631,3.5880126953125,31.2003173828125,0.35200195312500004
2019-04-21,2019-04-27,0.22000732421875,2.00600830078125,-108.8004150390625,6.8,7.9199951171875,-6.33599609375,-26.319982910156252,564.0,154.0,9.0880078125,-3.4080029296874996,-126.72040527313948,11.28002929687491,4.160009765625,-256.0009765625,1.2719970703124999
2019-04-28,2019-05-04,-0.7800048828125,6.300789111331105,708.8393212892115,26.491990966796877,37.0,119.0,453.59991455078125,26.76,4340.0,86.1558837890625,-13.7559814453125,989.9993896484375,0.7400000000000001,25.0120361328125,1465.1990966796875,-13.90799072265625
2019-05-05,2019-05-11,2.6,0.5828026611357927,-11.159946288913488,-3.100006103515625,23.100006103515625,51.744013671875,-38.88017578124959,-76.80000000000001,-907.1999999999999,43.90394531249999,46.2559423828125,83.15945800766349,-16.0,3.5,89.9993896484375,-16.04804321289049
2019-05-12,2019-05-18,1.5,0.12360764160752295,5.240322265773982,0.044002685546875,3.564002685546875,-11.6640087890625,-44.27995605468771,-55.800000000000004,-93.60000000000001,4.7520703125,-3.300048828125,424.44051757827157,2.6840161132812,0.04398925781250001,576.4002685546843,-2.600006103515568
2019-05-19,2019-05-25,5.65999755859375,3.1140087890625003,311.40032958984244,-20.88,-202.76805664062502,307.64808593750007,-21.760156249999273,-92.16,1651.2,567.423828125,6.447998046875,3024.0440454110376,-59.39194335937447,90.47999999999999,-8027.208496093715,0.00800048828125
2019-05-26,2019-06-01,-3.87999267578125,-0.00999755859375,56.00006103515625,5.5,71.94002685546874,-172.65606445312497,-62.32080078124813,455.91999999999996,-3870.4,49.632128906249996,30.456079101562498,732.4810717776418,144.5399597167969,-11.219946289062499,1232.0013427734375,-23.328039550781064
2019-06-02,2019-06-08,3.1199951171875,-3.2759912109375,640.7995605468777,-0.36000000000000004,-0.96,-115.19999999999999,26.40014648437466,42.839999999999996,846.0,24.480175781249997,4.89603515625,1708.798828125007,-0.76800048828125,1.6,-71.1999511718753,1.2479882812500547
2019-06-09,2019-06-15,3.7199951171875,2.54000244140625,167.99987792968895,8.8,33.616010742187505,-76.4000244140625,390.7203613281233,-39.68000000000001,1480.0,-110.800048828125,-45.428020019531246,641.7597387693878,31.8560107421875,-68.992021484375,1478.398925781263,6.8880200195312495
