first_day_in_week,last_day_in_week,GOHO_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.37,BIOV.TA_weekly_mean_diff_0.38,PHOE.TA_weekly_mean_diff_0.38,TUZA.TA_weekly_mean_diff_0.39,ALRPR.TA_weekly_mean_diff_0.47,ALRPR.TA_weekly_mean_diff_0.47_INT_OPAL.TA_weekly_mean_diff_0.36_corr_0.72
2019-03-10,2019-03-16,4.6,4.6,1.839996337890625,3.2739990234375,0.3599998474121094,64.0,84.48007812500073
2019-03-17,2019-03-23,9.2,27.8,0.820001220703125,4.42998046875,0.3599998474121094,0.0,0.0
2019-03-24,2019-03-30,-2.4,-8.6,1.64000244140625,-51.233984375,0.04000015258789062,46.0,-11.959887695312501
2019-03-31,2019-04-06,4.0,15.2,0.6,26.5800048828125,0.0,12.0,93.3599853515625
2019-04-07,2019-04-13,5.4,1.0,0.879998779296875,14.63798828125,-0.14000015258789061,-14.0,-37.24005126953125
2019-04-14,2019-04-20,-2.4,-1.0,-0.479998779296875,-5.9699951171875,-0.01999969482421875,90.0,-30.600219726562504
2019-04-21,2019-04-27,-9.2,4.4,-0.320001220703125,7.126000976562454,-0.4,14.0,23.8
2019-04-28,2019-05-04,7.6,-14.4,1.4,-7.319995117187455,-0.3,-70.0,250.59991455078125
2019-05-05,2019-05-11,0.0,3.4,-0.25999755859375,1.5419921875,0.0,36.0,-22.320043945312502
2019-05-12,2019-05-18,-5.4,-3.2,-1.160003662109375,32.166015625,0.3400001525878906,18.0,-0.36002197265624997
2019-05-19,2019-05-25,11.4,-17.8,0.779998779296875,6.547998046875,-0.020000457763671875,64.0,57.6
2019-05-26,2019-06-01,-7.2,6.8,-0.879998779296875,-4.430029296875,-0.3,-164.0,82.0
2019-06-02,2019-06-08,4.0,3.6,0.379998779296875,-16.177978515625,-0.41999969482421873,-30.0,-54.0
2019-06-09,2019-06-15,-5.8,8.0,-2.1,0.77001953125,0.15999984741210938,148.0,-148.0
2019-06-16,2019-06-22,-2.4,3.4,-1.7,20.223974609375,-0.04000015258789062,90.0,-183.59967041015628
2019-06-23,2019-06-29,-2.4,-2.2,2.920001220703125,-22.535986328125,-0.2799995422363281,-20.0,-36.0
2019-06-30,2019-07-06,4.4,-6.0,-3.420001220703125,8.089990234375,0.1,162.0,706.3196044921875
2019-07-07,2019-07-13,5.8,-5.2,-2.3,-2.69599609375,-0.24000015258789062,66.0,159.72008056640627
2019-07-14,2019-07-20,-4.2,4.0,-4.139996337890636,-1.733984375,-0.24000015258789062,-238.0,90.43970947265625
2019-07-21,2019-07-27,-8.4,-14.8,1.4599975585937728,0.961962890625,0.5400001525878906,-34.0,-42.159875488281244
2019-07-28,2019-08-03,6.6,-10.6,2.9400024414062385,3.08203125,-0.5,76.0,94.240185546875
