first_day_in_week,last_day_in_week,ISRS_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.53_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.72
2019-03-10,2019-03-16,616.0,84.48007812500073
2019-03-17,2019-03-23,204.0,0.0
2019-03-24,2019-03-30,-292.0,-11.959887695312501
2019-03-31,2019-04-06,366.0,93.3599853515625
2019-04-07,2019-04-13,184.0,-37.24005126953125
2019-04-14,2019-04-20,78.0,-30.600219726562504
2019-04-21,2019-04-27,-290.0,23.8
2019-04-28,2019-05-04,56.0,250.59991455078125
2019-05-05,2019-05-11,-102.0,-22.320043945312502
2019-05-12,2019-05-18,294.0,-0.36002197265624997
2019-05-19,2019-05-25,40.0,57.6
2019-05-26,2019-06-01,-198.0,82.0
2019-06-02,2019-06-08,262.0,-54.0
2019-06-09,2019-06-15,188.0,-148.0
2019-06-16,2019-06-22,470.0,-183.59967041015628
2019-06-23,2019-06-29,252.0,-36.0
2019-06-30,2019-07-06,-92.0,706.3196044921875
2019-07-07,2019-07-13,-346.0,159.72008056640627
2019-07-14,2019-07-20,78.0,90.43970947265625
2019-07-21,2019-07-27,954.0,-42.159875488281244
2019-07-28,2019-08-03,436.0,94.240185546875
2019-08-04,2019-08-10,-534.0,-127.9201904296875
2019-08-11,2019-08-17,334.0,11.4
2019-08-18,2019-08-24,16.0,-520.0
2019-08-25,2019-08-31,204.0,-102.0
2019-09-01,2019-09-07,568.0,0.0
2019-09-08,2019-09-14,852.5,46.0799560546875
2019-09-15,2019-09-21,450.0,38.000144958496094
2019-09-22,2019-09-28,-550.0,18.0
2019-09-29,2019-10-05,956.6666666666665,26.00006103515625
2019-10-06,2019-10-12,776.6666666666665,175.0005086263021
2019-10-13,2019-10-19,240.0,-5.555555555555556
2019-10-20,2019-10-26,276.0,-240.0
2019-10-27,2019-11-02,242.0,31.5999755859375
2019-11-03,2019-11-09,-434.0,-73.44012451171875
2019-11-10,2019-11-16,612.0,-49.68006591796875
2019-11-17,2019-11-23,72.0,134.1599365234375
2019-11-24,2019-11-30,-1054.0,68.64016113281251
2019-12-01,2019-12-07,-52.0,11.399963378906364
2019-12-08,2019-12-14,506.0,-40.39990234375023
2019-12-15,2019-12-21,110.0,227.1197509765625
2019-12-22,2019-12-28,174.0,-63.84005126953125
2019-12-29,2020-01-04,-136.0,294.0
2020-01-05,2020-01-11,1000.0,396.0
2020-01-12,2020-01-18,872.0,-392.9210205078078
2020-01-19,2020-01-25,-1132.0,20.159692382813457
2020-01-26,2020-02-01,-10.0,752.4002685546875
2020-02-02,2020-02-08,390.0,132.6801513671868
2020-02-09,2020-02-15,494.0,-73.20007324218716
2020-02-16,2020-02-22,-1324.0,893.0797973632812
2020-02-23,2020-02-29,-275.0,1226.3999999999999
2020-03-01,2020-03-07,-5712.5,18912.5
2020-03-08,2020-03-14,-740.0,30591.499999999993
2020-03-15,2020-03-21,1570.0,452.4879602050783
2020-03-22,2020-03-28,1868.0,4129.728229980468
2020-03-29,2020-04-04,976.6666666666665,1127.3036627197287
2020-04-05,2020-04-11,-2240.0,-278.0451931423588
2020-04-12,2020-04-18,-942.0,76.00173950194772
2020-04-19,2020-04-25,1653.333333333333,60.09213256835897
2020-04-26,2020-05-02,-194.0,1965.5980224609375
2020-05-03,2020-05-09,-826.0,-1023.2757678222655
2020-05-10,2020-05-16,-650.0,1939.2627734374998
2020-05-17,2020-05-23,982.5,-16.28
2020-05-24,2020-05-30,-1270.0,-0.0
2020-05-31,2020-06-06,-312.5,-7.3599609375
2020-06-07,2020-06-13,-464.0,240.15569686889648
2020-06-14,2020-06-20,-686.0,-569.66373046875
2020-06-21,2020-06-27,688.000244140625,385.0881335449213
2020-06-28,2020-07-04,-124.000244140625,288.6397381591669
2020-07-05,2020-07-11,348.0,34.44407530965878
2020-07-12,2020-07-18,-1048.0,3.7759960937500185
2020-07-19,2020-07-25,-5.0,-5.096001586914048
2020-07-26,2020-08-01,,-119.92528152465732
