first_day_in_week,last_day_in_week,HGG_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.56_INT_SHOM.TA_weekly_mean_diff_0.39_corr_0.72,CLIS.TA_weekly_mean_diff_0.39,ELCRE.TA_weekly_mean_diff_0.39,HOD.TA_weekly_mean_diff_0.39,SHOM.TA_weekly_mean_diff_0.39,ZUR.TA_weekly_mean_diff_0.39,LDER.TA_weekly_mean_diff_0.4,ROTS.TA_weekly_mean_diff_0.4,SHGR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.41,FIBI.TA_weekly_mean_diff_0.45,HARL.TA_weekly_mean_diff_0.45,FIBIH.TA_weekly_mean_diff_0.46,PHOE.TA_weekly_mean_diff_0.46,PIU.TA_weekly_mean_diff_0.46,IES.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_FIBIH.TA_weekly_mean_diff_0.46_corr_0.73,ALRPR.TA_weekly_mean_diff_0.56_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.71,PHOE.TA_weekly_mean_diff_0.46_INT_HARL.TA_weekly_mean_diff_0.45_corr_0.83,BSEN.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.73,AZRM.TA_weekly_mean_diff_0.38_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.74
2019-06-09,2019-06-15,2.2599983215332258,-565.3601806640626,-16.6,8.2,-4.400005340576217,-3.820001220703125,-8.8,0.24000015258789062,2.2,8.0,-0.52000732421875,-12.2,-2.2,14.0,0.77001953125,2.5,84.0,148.0,2072.0,-1302.4,-1.69404296875,-3552.0,124.320361328125
2019-06-16,2019-06-22,0.5800056457519304,-57.59967041015626,62.2,13.0,-7.000007629394531,-0.639996337890625,0.4,0.6400001525878907,-5.8,3.4,-0.0199951171875,-20.8,4.2,-24.0,20.223974609375,0.7,106.0,90.0,-2160.0,36.0,84.940693359375,1602.0,-18.0
2019-06-23,2019-06-29,7.3200035095214835,-67.199951171875,-12.0,2.8,13.200016021728562,3.35999755859375,5.0,-0.6200004577636719,-33.8,-2.2,-7.52000732421875,51.2,-13.4,62.0,-22.535986328125,0.27999267578125,252.0,-20.0,-1240.0,-100.0,301.982216796875,-3236.0,-133.5999755859375
2019-06-30,2019-07-06,3.119983673095703,171.71960449218935,10.0,27.4,5.1999855041503,1.0599975585937613,2.6,0.6800003051757812,36.8,-6.0,2.060009765625,-4.6,4.8,32.0,8.089990234375,9.22000732421875,192.0,162.0,5184.0,421.2,38.831953125,42832.799999999996,2669.759802246094
2019-07-07,2019-07-13,7.0200157165527575,-33.0,3.2,29.8,-12.199993133544876,-0.5,-8.4,-0.14000015258789061,-12.4,-5.2,0.7,-31.6,1.4,-56.0,-2.69599609375,-0.34000244140625,-22.0,66.0,-3696.0,-554.4,-3.7743945312499996,6204.0,369.59999999999997
2019-07-14,2019-07-20,0.4799842834472429,152.31912841797146,-56.0,-0.8,-3.4000015258789062,-0.6399963378906364,-13.619995117187523,1.3400001525878906,20.0,4.0,-3.8400024414062726,-40.0,-21.0,-66.0,-1.733984375,1.95999755859375,-80.0,-238.0,15708.0,3241.5588378906305,36.413671875,32368.0,-228.47941894531792
2019-07-21,2019-07-27,-3.719997406005882,-202.63991699218752,24.2,24.2,7.800006866455033,5.95999755859375,5.619995117187523,-0.38000030517578126,9.4,-14.8,-0.6800048828124545,67.2,20.2,32.0,0.961962890625,5.1800048828125,-12.0,-34.0,-1088.0,-191.0798339843758,19.431650390625,-4216.0,49.639916992188276
2019-07-28,2019-08-03,10.419998168945359,147.440185546875,-36.6,6.0,-7.20001220703125,1.94000244140625,-3.0,0.4200004577636719,3.8,-10.6,-4.419995117187545,44.6,8.4,92.0,3.08203125,-5.82000732421875,458.0,76.0,6992.0,-228.0,25.8890625,-456.0,604.959814453125
2019-08-04,2019-08-10,-0.13999938964848296,-705.1201904296875,-54.8,-0.4,-8.79999160766597,-4.520001220703125,-4.680004882812478,-1.1400001525878907,33.0,-0.2,-4.540002441406227,2.2,-8.4,-20.0,-20.802001953125,-3.47999267578125,72.0,156.0,-3120.0,-730.0807617187465,174.73681640625,-19656.0,-327.6
2019-08-11,2019-08-17,3.439998626709007,-129.96027832031248,-56.0,19.4,4.799995422363236,1.14000244140625,-7.079992675781273,-0.5599998474121094,-0.2,-3.4,-2.25999755859375,-2.4,-8.4,-14.0,-5.7780029296875,4.07999267578125,54.0,-114.0,1596.0,807.119165039065,48.53522460937501,7296.0,-22.8
2019-08-18,2019-08-24,-0.3399848937988509,489.5996093750018,1.0,49.0,10.200004577636765,6.119995117187523,3.879992675781273,1.1400001525878891,-12.6,17.4,2.0199951171875115,-3.6,15.8,66.0,14.4459716796875,32.3800048828125,-16.0,80.0,5280.0,310.3994140625018,228.24635253906249,26080.0,816.0
2019-08-25,2019-08-31,6.079998016357446,87.72016601562345,26.6,-18.0,-6.000003814697266,2.5800048828124544,23.080004882812478,0.41999969482422017,5.8,11.2,-4.879998779296886,-6.0,2.4,-36.0,1.156005859375,-5.8,-44.0,34.0,-1224.0,784.7201660156243,2.7744140625,6188.0,-285.6
2019-09-01,2019-09-07,-1.2000083923339844,0.0,-8.0,5.2,7.20001220703125,6.159997558593773,1.6,0.25999984741210935,26.2,-12.6,-5.0,-30.0,20.8,-34.0,4.622021484375,-2.7,-92.0,0.0,-0.0,0.0,96.138046875,-0.0,0.0
2019-09-08,2019-09-14,2.500009536743164,149.759912109375,15.6,-3.0,15.799999237060547,4.15999755859375,17.4,-0.04000015258789062,16.6,8.4,-5.079998779296875,12.6,9.4,36.0,5.777978515625,6.5,-162.0,36.0,1296.0,626.4,54.312998046875,-3096.0,419.75991210937497
2019-09-15,2019-09-21,20.599994659423828,-61.749420166015625,-4.5,-4.5,11.500000953674316,-0.649993896484375,-0.5,-0.6749992370605487,43.75,-4.5,2.6750030517578125,34.0,14.25,42.5,12.52252197265625,28.0,425.0,95.0,4037.5,-47.5,178.44593811035156,-237.5,-460.74913024902344
2019-09-22,2019-09-28,-7.999992370605582,19.4000244140625,-3.6,7.2,6.399993896484375,-1.94000244140625,-3.0,0.7,-20.4,5.2,3.579998779296875,11.6,12.8,62.0,8.2,-8.6,40.0,-10.0,-620.0,30.0,104.96,-640.0,2.60009765625
2019-09-29,2019-10-05,20.66666285196948,-95.999755859375,-44.0,35.0,13.99998664855957,4.79998779296875,-12.0,0.0,-58.5,-6.0,8.699996948242188,-3.5,-18.0,-25.0,-20.5,-5.5,300.0,-20.0,500.0,240.0,369.0,400.0,157.9998779296875
