first_day_in_week,last_day_in_week,RANI_main_symb_weekly_mean_diff,MNRV.TA_weekly_mean_diff_0.5_INT_ZUR.TA_weekly_mean_diff_0.49_corr_0.74,MRIN.TA_weekly_mean_diff_0.39_INT_ALRPR.TA_weekly_mean_diff_0.51_corr_0.72,NSTR.TA_weekly_mean_diff_0.46_INT_ASHG.TA_weekly_mean_diff_0.37_corr_0.75,NSTR.TA_weekly_mean_diff_0.46_INT_DANH.TA_weekly_mean_diff_0.44_corr_0.73,OPAL.TA_weekly_mean_diff_0.49_INT_ILDC.TA_weekly_mean_diff_0.47_corr_0.72,PIU.TA_weekly_mean_diff_0.36_INT_ANLT.TA_weekly_mean_diff_0.4_corr_0.73,PTBL.TA_weekly_mean_diff_0.45_INT_SKLN.TA_weekly_mean_diff_0.42_corr_0.74,SKLN.TA_weekly_mean_diff_0.42_INT_MNRV.TA_weekly_mean_diff_0.5_corr_0.74,SLGN.TA_weekly_mean_diff_0.51_INT_SKLN.TA_weekly_mean_diff_0.42_corr_0.72,SNEL.TA_weekly_mean_diff_0.44_INT_NTGR.TA_weekly_mean_diff_0.42_corr_0.74,ZMH.TA_weekly_mean_diff_0.43_INT_AURA.TA_weekly_mean_diff_0.38_corr_0.72,ADGR.TA_weekly_mean_diff_0.4_INT_BLSR.TA_weekly_mean_diff_0.45_corr_0.77,ASHG.TA_weekly_mean_diff_0.37_INT_MDPR.TA_weekly_mean_diff_0.4_corr_0.76,AURA.TA_weekly_mean_diff_0.38_INT_GZT.TA_weekly_mean_diff_0.43_corr_0.8,ILDC.TA_weekly_mean_diff_0.47_INT_GZT.TA_weekly_mean_diff_0.43_corr_0.79,LUMI.TA_weekly_mean_diff_0.39_INT_POLI.TA_weekly_mean_diff_0.38_corr_0.78,MNRV.TA_weekly_mean_diff_0.5_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.78,NSTR.TA_weekly_mean_diff_0.46_INT_ZMH.TA_weekly_mean_diff_0.43_corr_0.77,PHOE.TA_weekly_mean_diff_0.39_INT_HARL.TA_weekly_mean_diff_0.39_corr_0.81,PTBL.TA_weekly_mean_diff_0.45_INT_NSTR.TA_weekly_mean_diff_0.46_corr_0.76,SKLN.TA_weekly_mean_diff_0.42_INT_AVIV.TA_weekly_mean_diff_0.41_corr_0.79,SKLN.TA_weekly_mean_diff_0.42_INT_SNCM.TA_weekly_mean_diff_0.4_corr_0.76,SKLN.TA_weekly_mean_diff_0.42_INT_SNEL.TA_weekly_mean_diff_0.44_corr_0.76,ZUR.TA_weekly_mean_diff_0.49_INT_ASHG.TA_weekly_mean_diff_0.37_corr_0.78
2019-03-10,2019-03-16,-0.21999816894531815,-96.8005371093718,222.71953125000147,-1413.0,-207.24,12.936011962890738,8.1919921875,67.805078125,-202.4011230468683,-11.775988769531354,23.652059326171873,-6.105603552237171,147.59912109375,22.199981689453125,-61.055941772461125,-311.64000000000004,22.200000000000003,-58.0803759768591,299.5564599609375,-28.81119140625,-1388.530078125,97.52,12.14399719238281,74.52,33.0
2019-03-17,2019-03-23,1.0399993896484432,619.2004394531224,-0.0,756.8000000000001,619.2,-15.6879638671875,-3.4,1899.2968749999998,3852.802734374983,22.84789062500051,4.800000000000001,-7.013591345213354,-11.879736328125,33.263989257812604,-14.07998046875,-236.8,57.96000000000001,729.2788378894297,1370.8402099609375,-22.14990234375,14583.88671875,85.11999999999999,-2.6879931640625,67.19999999999999,15.840000000000002
2019-03-24,2019-03-30,-0.3,1743.9990234375,-349.60000000000053,655.3600000000001,-135.68,3.37996826171875,-8.96797119140625,-3805.5600000000004,-4054.797729492188,-243.66000000000003,-19.2559716796875,-2.399993896484375,362.88017578125,233.47218749999945,-0.479998779296875,-26.0,593.92,56.67943603545427,128.0,1537.01953125,-2618.88,-14.880000000000003,22.32,-215.76000000000002,-409.6
2019-03-31,2019-04-06,-1.1800018310546818,-287.999267578125,83.51997070312487,-46.559999999999995,-13.92,-37.343994140625,387.872060546875,8670.725,-1535.99609375,29.439843750000726,-19.795975341796872,-16.96,-477.0,-61.30395263671875,4.800000000000001,14.399999999999999,111.60000000000001,373.43899169936776,25.439999999999998,813.3481494140625,-650.304375,-371.2,25.6,-646.4,116.39999999999999
2019-04-07,2019-04-13,3.0200012207031195,2088.0,14.0,2143.0400000000004,0.0,156.94021606445312,-70.2,10230.0,7250.0,-90.49987792968807,-48.77196655273437,2.44799560546875,721.6793945312501,150.36796386718785,5.031990966796875,436.6,114.24,771.4010620117188,260.64000000000004,606.0127148437499,29626.08,1015.0,-5.0,-685.0,213.12
2019-04-14,2019-04-20,-0.6799987792968807,31.2003173828125,327.60021972656455,32.04,-1.4400000000000002,-3.46802490234375,-209.44,7431.991875000001,-604.80615234375,-467.71163085937616,41.53595703125,9.6,91.080322265625,48.06,-1.2,-12.239999999999998,7.800000000000001,-4.080070801079273,17.28,40.595966796875,-265.42828125000005,766.0799999999999,-80.64,887.0400000000001,46.28
2019-04-21,2019-04-27,0.6399993896484432,-256.0009765625,39.48010253906218,195.8,121.0,-4.42,0.5360009765624955,1502.30078125,-320.001220703125,99.70001220703125,-11.152080078124813,-12.64796264648449,16.6400390625,-27.41193481445333,-1.6119952392578274,-6.760000000000001,31.200000000000003,-108.8004150390625,224.39999999999998,32.77960449218729,3305.06171875,53.0,3.8000030517578125,82.0,71.2
2019-04-28,2019-05-04,0.0,1465.1990966796875,7.0,2021.2,-1971.6000000000001,-26.491990966796877,271.32,-5291.1068749999995,-3643.1977539062495,40.48,3.039990234375023,0.18000183105468182,669.240966796875,93.88796020507813,0.5400054931640454,-22.200000000000003,-16.2,708.8393212892115,62.0,142.00790527343662,17828.7296875,92.0,-30.175988769531354,-36.8,241.24
2019-05-05,2019-05-11,0.1399993896484375,89.9993896484375,-115.2,-1013.0400000000001,120.96,-5.95201171875,-5.279992675781319,-1178.198203125,-169.1988525390625,-30.080000000000002,-3.2,-0.46800109863280226,-30.799999999999997,43.41595092773438,3.588008422851484,-132.48,39.68000000000001,-11.159946288913488,-45.36,-14.803125,-3158.5739062499997,-56.400000000000006,-2.6319885253906783,-37.6,201.0
2019-05-12,2019-05-18,0.6200012207031194,576.4002685546843,-21.96013183593709,-315.12,150.8,0.124007568359375,-71.13602539062501,1871.3527343750002,-2462.801147460924,22.56,-2.3800415039062504,7.843993530273497,-1.3196777343750001,-96.96000000000001,-3.551997070312527,-29.759999999999998,-16.2,5.240322265773982,55.12,1164.409765625,-1035.21640625,-67.68,-12.03198852539068,159.8,-133.32000000000002
