first_day_in_week,last_day_in_week,PRTC_main_symb_weekly_mean_diff,TGTR.TA_weekly_mean_diff_0.37,DNA.TA_weekly_mean_diff_0.39,CBI.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,23.6,-2.3400024414062273,-1.320001220703125,2.5199951171875
2019-03-17,2019-03-23,-15.4,-2.0400024414062727,-1.079998779296875,-0.5399963378906364
2019-03-24,2019-03-30,51.8,-0.739990234375,0.1199981689453125,0.37999877929688636
2019-03-31,2019-04-06,35.6,-2.8800048828125,2.2800018310546877,1.04000244140625
2019-04-07,2019-04-13,-5.8,-3.6400024414062386,-0.24000244140625,1.179998779296875
2019-04-14,2019-04-20,34.0,-3.159997558593761,-1.8,-1.620001220703125
2019-04-21,2019-04-27,-33.8,0.8,-1.3199981689453124,1.679998779296875
2019-04-28,2019-05-04,13.8,-2.25999755859375,0.0,-3.779998779296875
2019-05-05,2019-05-11,-1.2,-2.34000244140625,-1.2,-0.74000244140625
2019-05-12,2019-05-18,-28.0,-13.9,-0.9600006103515625,-3.4199981689453125
2019-05-19,2019-05-25,-3.0,6.0599975585937615,2.0399993896484374,-0.9399993896484375
2019-05-26,2019-06-01,-10.6,-2.379998779296886,-3.5999999999999943,-2.5799987792968806
2019-06-02,2019-06-08,-12.6,-4.979998779296875,0.9600006103515568,-0.6400024414062386
2019-06-09,2019-06-15,65.4,10.44000244140625,0.2399993896484432,0.2
2019-06-16,2019-06-22,-4.4,-9.3,-0.36000061035156816,-3.6399993896484433
2019-06-23,2019-06-29,23.0,-0.220001220703125,-0.23999938964843182,-0.8199981689453182
2019-06-30,2019-07-06,-12.0,-1.9600036621093637,2.5200012207031195,-1.0
2019-07-07,2019-07-13,-35.0,-2.1199951171875115,-3.0000000000000058,1.4
2019-07-14,2019-07-20,75.4,-4.7,0.7199981689453182,-2.1
2019-07-21,2019-07-27,-17.0,0.279998779296875,-0.7199981689453182,-2.840002441406239
2019-07-28,2019-08-03,-175.2,-2.420001220703125,-0.12000122070311363,-6.679998779296881
2019-08-04,2019-08-10,-37.4,-4.2,-1.6799987792968836,-1.3600006103515625
2019-08-11,2019-08-17,58.2,-5.44000244140625,-0.9600006103515597,1.6600006103515625
2019-08-18,2019-08-24,-7.8,5.34000244140625,0.0,1.3600006103515625
2019-08-25,2019-08-31,1.2,5.15999755859375,-0.8399993896484403,-0.7800018310546875
2019-09-01,2019-09-07,17.0,-5.379998779296875,-0.7200012207031193,0.720001220703125
2019-09-08,2019-09-14,-33.5,-3.579998779296875,0.2400009155273409,1.3600006103515625
2019-09-15,2019-09-21,16.8,1.0749969482421875,0.600000381469723,0.7249984741210938
2019-09-22,2019-09-28,-89.5,-1.939996337890625,-1.9200012207031194,0.1800018310546875
2019-09-29,2019-10-05,55.66666666666666,-7.4000091552734375,-1.799999237060554,0.6999969482421875
2019-10-06,2019-10-12,-1.6666666666666667,-3.26666259765625,-2.200065612792964,-1.366668701171875
2019-10-13,2019-10-19,23.66666666666667,3.4666646321614585,0.0,-0.8333333333333334
2019-10-20,2019-10-26,17.0,0.16666666666666666,-1.0,-1.4666646321614583
2019-10-27,2019-11-02,-12.2,4.64000244140625,-1.4400009155273465,-0.5399993896484375
2019-11-03,2019-11-09,-9.6,1.95999755859375,-0.9599990844726562,-1.5399993896484374
2019-11-10,2019-11-16,18.0,3.360003662109375,-2.919960021972659,-0.2600006103515625
2019-11-17,2019-11-23,10.6,10.11999511718751,-0.520000457763669,-1.520001220703125
2019-11-24,2019-11-30,-4.4,-7.0599975585937615,-0.7199996948242188,-2.0399993896484374
2019-12-01,2019-12-07,35.0,-4.14000244140625,0.25999984741210935,-1.2399993896484431
2019-12-08,2019-12-14,2.0,-3.739996337890625,0.28000030517577984,-1.8200012207031164
2019-12-15,2019-12-21,1.0,-2.420001220703125,1.1399993896484417,-0.7599990844726591
2019-12-22,2019-12-28,17.6,-3.85999755859375,-0.7599990844726591,1.559999084472659
2019-12-29,2020-01-04,12.4,7.65999755859375,0.4399993896484375,2.4800018310546847
2020-01-05,2020-01-11,62.0,-2.220001220703125,-0.0600006103515625,-0.84000244140625
2020-01-12,2020-01-18,42.2,6.3,1.3600006103515625,-1.0399993896484347
2020-01-19,2020-01-25,-106.2,-4.6,-0.11999969482421875,-1.4799987792968807
2020-01-26,2020-02-01,29.8,1.04000244140625,2.4,-2.8800003051757783
2020-02-02,2020-02-08,-50.6,-0.6,-0.5800003051757813,-0.6800003051757812
2020-02-09,2020-02-15,8.8,-0.320001220703125,0.9800003051757813,-0.28000030517578123
2020-02-16,2020-02-22,-106.2,-0.75999755859375,-0.5199996948242187,0.1600006103515625
2020-02-23,2020-02-29,-11.25,-5.4,-1.6600006103515625,-1.940000915527341
2020-03-01,2020-03-07,-131.5,-3.5,-2.825000762939453,-0.899999618530277
2020-03-08,2020-03-14,-91.2,-30.175003051757812,-4.324998855590822,-5.69999885559082
2020-03-15,2020-03-21,127.6,1.920001220703125,1.5799995422363295,0.7199996948242159
2020-03-22,2020-03-28,-9.2,7.979998779296875,-0.6199996948242188,1.559999084472659
2020-03-29,2020-04-04,152.66666666666666,12.55999755859375,1.179999542236328,1.9400009155273437
2020-04-05,2020-04-11,59.33333333333334,5.533335367838561,1.0,1.4666671752929688
2020-04-12,2020-04-18,6.4,-2.5666605631510606,0.30000050862630206,2.7999979654947964
2020-04-19,2020-04-25,58.0,11.25999755859375,0.7,0.6200012207031194
2020-04-26,2020-05-02,-28.0,-2.4666646321614585,2.3333333333333335,2.033332824707036
2020-05-03,2020-05-09,23.2000244140625,-5.460003662109375,0.6600006103515625,1.0
2020-05-10,2020-05-16,123.5999755859375,3.920001220703125,0.5399993896484375,1.5199996948242187
2020-05-17,2020-05-23,14.0,-2.779998779296875,-0.31999969482421875,1.2
2020-05-24,2020-05-30,-9.2,0.5,-2.8250007629394496,-1.5499992370605504
2020-05-31,2020-06-06,-24.25,-4.520001220703113,-0.43999938964844176,-2.3
2020-06-07,2020-06-13,29.4,-0.9499969482422159,0.47500038146972834,-3.0750007629394496
2020-06-14,2020-06-20,-33.4,3.9200012207031363,0.479998779296875,-0.7800003051757812
2020-06-21,2020-06-27,-6.199990844726562,-2.9200012207031363,-2.399999237060547,-0.9599990844726562
2020-06-28,2020-07-04,-27.600009155273444,-4.020000839233387,-0.8400004386901841,0.8599995613098116
2020-07-05,2020-07-11,10.2,-1.3399997711181642,0.5000002861022935,-1.9200001716613742
2020-07-12,2020-07-18,67.6,-2.680001831054682,0.31999969482421875,1.0600006103515625
2020-07-19,2020-07-25,35.25,-1.0599975585937613,2.1000000000000028,2.7799987792968777
2020-07-26,2020-08-01,,-2.900001525878899,-3.3249998092651403,0.5
