first_day_in_week,last_day_in_week,CHR_main_symb_weekly_mean_diff,OPK.TA_weekly_mean_diff_0.38,SEFA.TA_weekly_mean_diff_0.38,APLP.TA_weekly_mean_diff_0.52,HAIN.TA_weekly_mean_diff_0.57
2019-03-10,2019-03-16,1.4,-2.17999267578125,4.800003051757824,1.0199996948242187,0.9599975585937613
2019-03-17,2019-03-23,1.4,-0.9,54.19999694824219,-0.21999969482421874,0.22000122070311362
2019-03-24,2019-03-30,-1.0,-0.4,-21.199996948242188,-4.760000610351559,-0.85999755859375
2019-03-31,2019-04-06,-6.8,6.2199951171875,-7.599998474121094,1.4800003051757784,-5.079998779296875
2019-04-07,2019-04-13,-2.0,-3.94000244140625,-1.8000030517578125,3.480000305175781,0.779998779296875
2019-04-14,2019-04-20,8.2,-7.95999755859375,-14.799995422363292,0.08000030517578124,1.9399963378906364
2019-04-21,2019-04-27,-2.4,1.0199951171875,-11.600006103515625,-0.2400009155273409,0.18000488281248864
2019-04-28,2019-05-04,-6.4,-11.75999755859375,-8.399993896484364,-3.4799987792968805,-2.1800048828124887
2019-05-19,2019-05-25,-2.8,-5.45999755859375,-6.0,-7.520001220703122,-0.420001220703125
2019-05-26,2019-06-01,7.6,-5.9800048828125,1.8000030517578125,-1.8399993896484403,0.24000244140625
2019-06-02,2019-06-08,-2.4,3.6,4.599998474121094,-1.2800003051757813,2.679998779296875
2019-06-09,2019-06-15,-1.6,-2.0,-2.800003051757824,6.800001525878907,-0.24000244140623864
2019-06-16,2019-06-22,-6.3,9.7,-9.399993896484364,-3.4,-2.0
2019-06-23,2019-06-29,6.420001220703119,-0.7,9.199996948242188,-0.8600006103515654,2.4400024414062385
2019-06-30,2019-07-06,-3.8200012207031193,21.8199951171875,-6.0,0.6799987792968807,4.659997558593761
2019-07-07,2019-07-13,3.4,-9.65999755859375,-7.400001525878906,-0.6799987792968807,3.2
2019-07-14,2019-07-20,-0.2600006103515625,-10.45999755859375,4.200004577636719,2.599999999999997,2.5
2019-07-21,2019-07-27,-3.4600006103515626,1.14000244140625,-8.0,-1.1,8.900000000000011
2019-08-11,2019-08-17,2.9600006103515626,-5.7199951171875,0.20000457763673013,-3.320001220703125,1.1000000000000114
2019-08-18,2019-08-24,-1.7199981689453123,7.7800048828125,-1.20000457763673,3.020001220703125,4.240002441406228
2019-08-25,2019-08-31,0.2,-12.04000244140625,-0.5999984741210824,-2.979998779296875,0.5599975585937728
2019-09-01,2019-09-07,0.2399993896484375,2.4,-0.5999984741210938,0.0,1.3400024414062273
2019-09-08,2019-09-14,2.200000762939453,21.4199951171875,-1.5999984741210938,-1.7400009155273437,-0.3
2019-09-15,2019-09-21,0.3399993896484375,-7.0,5.0,1.8249988555908274,0.350006103515625
2019-09-22,2019-09-28,1.6500015258789062,2.04000244140625,-6.200004577636719,3.899999999999994,0.5799926757812728
2019-09-29,2019-10-05,3.2333323160807286,1.0,9.999999999999972,-2.75,-3.25
2019-10-06,2019-10-12,-8.600001017252604,-9.866658528645834,-2.9999923706054497,-1.1999969482421875,-0.5999959309896212
2019-10-13,2019-10-19,-0.2666676839192708,12.066650390625,0.0,-0.3333333333333333,-0.8000081380208334
2019-10-20,2019-10-26,4.080001831054681,-36.5333251953125,-9.00000254313151,0.3333333333333333,-4.233317057291667
2019-10-27,2019-11-02,-3.940002441406244,-26.120001220703124,-3.0,-2.420001220703125,-1.7800048828125
2019-11-03,2019-11-09,0.620001220703125,2.100006103515625,-1.2000007629394531,-1.4199996948242188,-8.279998779296875
2019-11-10,2019-11-16,1.3399993896484377,-3.460003662109375,-5.200000762939442,-1.7,0.879998779296875
2019-11-17,2019-11-23,2.4600006103515626,9.320001220703102,1.8000030517577899,3.199998474121094,1.5
2019-11-24,2019-11-30,-3.5399993896484374,3.6,1.1999969482422101,-2.879998779296875,-1.979998779296875
2019-12-01,2019-12-07,11.979998779296874,0.9599975585937728,4.400001525878895,0.08000030517578124,-10.14000244140625
2019-12-08,2019-12-14,-6.5600006103515565,-6.159997558593773,-0.40000152587889487,3.240000915527344,-5.2
2019-12-15,2019-12-21,2.5800018310546817,-5.020001220703103,-8.599998474121104,0.4,-5.15999755859375
2019-12-22,2019-12-28,-1.9600006103515624,5.979998779296875,1.0,-1.3,20.379998779296876
2019-12-29,2020-01-04,-1.4399993896484375,-5.8,3.799999237060547,0.3199981689453182,-1.05999755859375
2020-01-05,2020-01-11,-1.3,-1.15999755859375,3.399997711181629,0.23999938964843182,-5.8800048828124885
2020-01-12,2020-01-18,-3.280001831054688,7.05999755859375,-2.9999961853027117,0.14000244140625,-1.1399963378906364
2020-01-19,2020-01-25,-1.6,11.1,-5.79999923706057,1.6399993896484375,-1.3
2020-01-26,2020-02-01,-3.55999755859375,-17.55999755859375,0.5999984741211051,2.3600006103515625,-2.5
2020-02-02,2020-02-08,0.4,9.75999755859375,0.7999992370605469,-2.420001220703125,2.579998779296875
