first_day_in_week,last_day_in_week,EVGN_main_symb_weekly_mean_diff,OPK.TA_weekly_mean_diff_-0.41,CBI.TA_weekly_mean_diff_0.42,ORBI.TA_weekly_mean_diff_0.63
2019-04-21,2019-04-27,-22.2800048828125,-0.360009765625,1.379998779296875,2.4
2019-04-28,2019-05-04,-1.15999755859375,-11.75999755859375,-3.779998779296875,0.4
2019-05-05,2019-05-11,-10.7800048828125,14.05999755859375,-0.74000244140625,-0.2
2019-05-12,2019-05-18,2.5800048828125,-28.37999267578125,-3.4199981689453125,3.8
2019-05-19,2019-05-25,-12.680004882812476,-5.45999755859375,-0.9399993896484375,0.0
2019-05-26,2019-06-01,-5.359997558593773,-5.9800048828125,-2.5799987792968806,-10.6
2019-06-02,2019-06-08,2.0,3.6,-0.6400024414062386,-4.6
2019-06-09,2019-06-15,0.1800048828125,-2.0,0.2,5.0
2019-06-16,2019-06-22,3.439990234375,9.7,-3.6399993896484433,3.4
2019-06-23,2019-06-29,-0.3799926757812727,-0.7,-0.8199981689453182,1.0
2019-06-30,2019-07-06,-2.8400024414062277,21.8199951171875,-1.0,-13.8
2019-07-07,2019-07-13,-2.459997558593773,-9.65999755859375,1.4,-6.8
2019-07-14,2019-07-20,-2.620007324218727,-10.45999755859375,-2.1,-6.6
2019-07-21,2019-07-27,-6.3199951171875,1.14000244140625,-2.840002441406239,4.8
2019-07-28,2019-08-03,10.740002441406226,1.75999755859375,-6.679998779296881,-0.4
2019-08-04,2019-08-10,1.0,-13.8800048828125,-1.3600006103515625,-12.119995117187523
2019-08-11,2019-08-17,2.359997558593773,-5.7199951171875,1.6600006103515625,-5.980004882812477
2019-08-18,2019-08-24,0.3800048828125,7.7800048828125,1.3600006103515625,11.3
2019-08-25,2019-08-31,8.9199951171875,-12.04000244140625,-0.7800018310546875,-8.580004882812478
2019-09-01,2019-09-07,-4.4800048828125,2.4,0.720001220703125,-1.9799926757812727
2019-09-08,2019-09-14,-0.375,21.4199951171875,1.3600006103515625,-7.5800048828125
2019-09-15,2019-09-21,-0.439990234375,-7.0,0.7249984741210938,-5.149993896484375
2019-09-22,2019-09-28,0.5,2.04000244140625,0.1800018310546875,-5.9
2019-09-29,2019-10-05,0.6999918619791666,1.0,0.6999969482421875,7.949981689453125
2019-10-06,2019-10-12,-4.23333740234375,-9.866658528645834,-1.366668701171875,-1.9666544596354167
2019-10-13,2019-10-19,4.26666259765625,12.066650390625,-0.8333333333333334,-0.9666748046875
2019-10-20,2019-10-26,-7.6,-36.5333251953125,-1.4666646321614583,-18.866658528645832
2019-10-27,2019-11-02,1.1,-26.120001220703124,-0.5399993896484375,2.45999755859375
2019-11-03,2019-11-09,-8.2199951171875,2.100006103515625,-1.5399993896484374,-5.3800048828125
2019-11-10,2019-11-16,-1.420001220703125,-3.460003662109375,-0.2600006103515625,4.960009765625
2019-11-17,2019-11-23,-4.45999755859375,9.320001220703102,-1.520001220703125,8.07999267578125
2019-11-24,2019-11-30,-6.279998779296875,3.6,-2.0399993896484374,8.04000244140625
2019-12-01,2019-12-07,10.939996337890623,0.9599975585937728,-1.2399993896484431,-15.8800048828125
2019-12-08,2019-12-14,-9.55999755859375,-6.159997558593773,-1.8200012207031164,1.060009765625
2019-12-15,2019-12-21,18.8200012207031,-5.020001220703103,-0.7599990844726591,3.07999267578125
2019-12-22,2019-12-28,4.259997558593772,5.979998779296875,1.559999084472659,-1.67999267578125
2019-12-29,2020-01-04,9.6,-5.8,2.4800018310546847,17.75999755859375
2020-01-05,2020-01-11,-5.8,-1.15999755859375,-0.84000244140625,-5.32000732421875
2020-01-12,2020-01-18,-2.44000244140625,7.05999755859375,-1.0399993896484347,2.5000000000000226
2020-01-19,2020-01-25,-7.899999999999977,11.1,-1.4799987792968807,21.780004882812477
2020-01-26,2020-02-01,-7.859997558593773,-17.55999755859375,-2.8800003051757783,-6.84000244140625
2020-02-02,2020-02-08,-0.35999755859375,9.75999755859375,-0.6800003051757812,-17.8
2020-02-09,2020-02-15,3.65999755859375,-2.0,-0.28000030517578123,0.8800048828125
2020-02-16,2020-02-22,-10.0,-1.1800048828125,0.1600006103515625,-1.7800048828125
2020-02-23,2020-02-29,-13.400001525878904,-9.859997558593738,-1.940000915527341,-17.07999267578125
2020-03-01,2020-03-07,-21.900001525878906,14.449996948242173,-0.899999618530277,-17.57501220703125
2020-03-08,2020-03-14,-4.579998779296875,0.45001220703125,-5.69999885559082,-49.42498779296875
2020-03-15,2020-03-21,14.160003662109375,3.75999755859375,0.7199996948242159,-12.7800048828125
2020-03-22,2020-03-28,-4.84000244140625,-15.1,1.559999084472659,1.879998779296875
2020-03-29,2020-04-04,11.03333536783854,-14.74000244140625,1.9400009155273437,5.8
2020-04-05,2020-04-11,4.26666259765625,12.666666666666666,1.4666671752929688,27.566660563151043
2020-04-12,2020-04-18,-3.979998779296875,43.333333333333336,2.7999979654947964,13.866678873697916
2020-04-19,2020-04-25,2.133331298828125,34.25999755859375,0.6200012207031194,-2.0
2020-04-26,2020-05-02,4.120001220703125,4.900004069010417,2.033332824707036,4.599995930989583
2020-05-03,2020-05-09,-6.840002441406238,-2.0,1.0,3.75999755859375
2020-05-10,2020-05-16,3.2,17.6,1.5199996948242187,9.62000732421875
2020-05-17,2020-05-23,-2.774993896484389,17.55999755859375,1.2,9.95999755859375
2020-05-24,2020-05-30,5.85999755859375,-44.149993896484375,-1.5499992370605504,9.099990844726562
2020-05-31,2020-06-06,-9.949996948242188,1.94000244140625,-2.3,-36.15999755859375
2020-06-07,2020-06-13,-3.0800048828125,27.599990844726562,-3.0750007629394496,2.0
2020-06-14,2020-06-20,5.0800048828125,2.4,-0.7800003051757812,0.35999755859375
2020-06-21,2020-06-27,-7.44000244140625,1.9,-0.9599990844726562,-7.6199951171875
2020-06-28,2020-07-04,1.920001220703125,58.44000244140625,0.8599990844726563,3.3199951171875
2020-07-05,2020-07-11,0.85999755859375,42.0,-1.9199996948242188,-9.279992675781273
2020-07-12,2020-07-18,5.9,-1.6,1.0600006103515625,-5.7
2020-07-19,2020-07-25,-7.074996948242188,96.0,2.7799987792968777,5.240002441406273
2020-07-26,2020-08-01,8.979998779296873,8.25,0.5,0.524993896484375
2020-08-02,2020-08-08,-0.879998779296875,15.6,-1.7599990844726592,9.25999755859375
2020-08-09,2020-08-15,13.95999755859375,-70.8,0.8,2.25999755859375
2020-08-16,2020-08-22,22.86000366210937,13.0,5.580000305175778,8.1
2020-08-23,2020-08-29,64.05999755859375,-112.0,7.660000610351565,99.6800048828125
2020-08-30,2020-09-05,-24.7800048828125,-18.6,1.079998779296875,-38.2
2020-09-06,2020-09-12,,5.2,-1.9600006103515626,3.34000244140625
