first_day_in_week,last_day_in_week,TIGBUR_main_symb_weekly_mean_diff,CMDR.TA_weekly_mean_diff_0.55
2019-03-10,2019-03-16,-0.4000091552734375,-78.0
2019-03-17,2019-03-23,7.800006866455077,78.0
2019-03-24,2019-03-30,13.600006103515579,-62.0
2019-03-31,2019-04-06,9.200000762939542,134.0
2019-04-07,2019-04-13,-12.333329518636146,-22.0
2019-04-28,2019-05-04,-9.1552734375e-06,-10.0
2019-05-05,2019-05-11,5.600003814697312,-14.0
2019-05-12,2019-05-18,3.999996185302689,86.0
2019-05-19,2019-05-25,12.000007629394574,214.0
2019-05-26,2019-06-01,3.9999961853027344,48.0
2019-06-02,2019-06-08,-16.666666666666668,-108.0
2019-06-09,2019-06-15,15.750002861022836,2.0
2019-06-23,2019-06-29,2.6000022888184047,186.0
2019-06-30,2019-07-06,7.74998664855957,160.0
2019-07-07,2019-07-13,-9.500002861022892,-18.0
2019-07-21,2019-07-27,3.4000015258788614,140.0
2019-07-28,2019-08-03,-10.200004577636765,140.0
2019-08-04,2019-08-10,-13.400001525878858,-176.0
2019-08-11,2019-08-17,0.0,-36.0
2019-08-18,2019-08-24,3.200016021728561,192.0
2019-08-25,2019-08-31,3.599987030029297,22.0
2019-09-01,2019-09-07,-1.5999984741210938,-136.0
2019-09-08,2019-09-14,-2.2500038146973798,188.0
2019-09-15,2019-09-21,19.8000144958497,90.0
2019-09-22,2019-09-28,4.999971389770508,-110.0
2019-09-29,2019-10-05,0.3333409627277888,-275.0
2019-10-06,2019-10-12,5.000019073486442,-86.66666666666667
2019-10-13,2019-10-19,-42.49997138977028,-260.0
2019-11-24,2019-11-30,-9.200000762939453,46.0
2019-12-01,2019-12-07,8.599987030029299,-90.0
2019-12-08,2019-12-14,-2.6000022888184047,-16.0
2019-12-15,2019-12-21,-11.599998474121096,66.0
2020-01-05,2020-01-11,5.99997838338216,148.0
2020-01-26,2020-02-01,1.8000030517578125,94.0
2020-02-02,2020-02-08,-26.49998664855957,-122.0
2020-02-09,2020-02-15,-16.84999752044673,146.0
2020-02-23,2020-02-29,4.812501668930054,-218.0
2020-03-01,2020-03-07,-29.52498912811282,-315.0
2020-03-08,2020-03-14,-22.5,-918.5
2020-03-15,2020-03-21,-3.520011901855446,-60.6
2020-03-22,2020-03-28,17.040004730224588,247.4
2020-03-29,2020-04-04,27.666664123535195,346.0
2020-04-05,2020-04-11,32.99999237060547,293.3333333333333
2020-04-12,2020-04-18,0.0,440.0
2020-04-19,2020-04-25,-12.999979654947838,-122.0
2020-04-26,2020-05-02,11.999988555908205,350.0
2020-05-03,2020-05-09,3.2500028610228924,-54.0
2020-05-17,2020-05-23,-2.500009536743164,192.0
2020-05-24,2020-05-30,3.5000324249266432,-147.5
2020-05-31,2020-06-06,,14.0
