first_day_in_week,last_day_in_week,MNRT_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.44_INT_ALRPR.TA_weekly_mean_diff_0.53_corr_0.72,SHOM.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.44_corr_0.77
2019-03-10,2019-03-16,0.379998779296875,84.48007812500073,-0.7920007324218818
2019-03-17,2019-03-23,0.2600006103515625,0.0,3.052798144519329
2019-03-24,2019-03-30,0.1199981689453125,-11.959887695312501,-0.857991943359375
2019-03-31,2019-04-06,0.3,93.3599853515625,39.36677482910454
2019-04-07,2019-04-13,-0.7,-37.24005126953125,16.864429711923005
2019-04-14,2019-04-20,0.8,-30.600219726562504,-0.8432056396454574
2019-04-21,2019-04-27,-0.679998779296875,23.8,3.365997924804687
2019-04-28,2019-05-04,0.020001220703125,250.59991455078125,17.899993896484375
2019-05-05,2019-05-11,-0.1600006103515625,-22.320043945312502,-2.8644063964858653
2019-05-12,2019-05-18,0.3399993896484375,-0.36002197265624997,0.032402001954615116
2019-05-19,2019-05-25,-0.5,57.6,7.866002197265626
2019-05-26,2019-06-01,0.779998779296875,82.0,3.270001220703125
2019-06-02,2019-06-08,0.220001220703125,-54.0,8.64
2019-06-09,2019-06-15,-0.979998779296875,-148.0,3.820001220703125
2019-06-16,2019-06-22,1.0199981689453126,-183.59967041015628,1.3055901855602863
2019-06-23,2019-06-29,1.0399993896484374,-36.0,6.04799560546875
2019-06-30,2019-07-06,-1.6399993896484375,706.3196044921875,4.621586767584135
2019-07-07,2019-07-13,0.020001220703125,159.72008056640627,-1.2100006103515626
2019-07-14,2019-07-20,-0.4,90.43970947265625,0.24319782715291216
2019-07-21,2019-07-27,1.0399993896484374,-42.159875488281244,7.390375146493316
2019-07-28,2019-08-03,-0.079998779296875,94.240185546875,2.4056077636778355
2019-08-04,2019-08-10,-0.44000244140625,-127.9201904296875,3.7064065185561774
2019-08-11,2019-08-17,0.920001220703125,11.4,-0.114000244140625
2019-08-18,2019-08-24,-0.6,-520.0,-39.7799682617189
2019-08-25,2019-08-31,1.2600006103515624,-102.0,-7.740014648437363
2019-09-01,2019-09-07,-1.120001220703125,0.0,18.479992675781318
2019-09-08,2019-09-14,0.8500022888183594,46.0799560546875,5.32479179687798
2019-09-15,2019-09-21,0.179998779296875,38.000144958496094,-0.25999855040572584
2019-09-22,2019-09-28,0.6999969482421875,18.0,3.49200439453125
2019-09-29,2019-10-05,4.00000000000001,26.00006103515625,-6.239998779259622
2019-10-06,2019-10-12,5.5666707356770635,175.0005086263021,4.830016886401508
2019-10-13,2019-10-19,-2.5,-5.555555555555556,1.833343505859375
2019-10-20,2019-10-26,-0.3200012207031193,-240.0,11.022189670138888
2019-10-27,2019-11-02,1.1,31.5999755859375,12.734786303713918
2019-11-03,2019-11-09,0.9399993896484377,-73.44012451171875,4.809611669927835
2019-11-10,2019-11-16,2.9600006103515626,-49.68006591796875,4.986402124017476
2019-11-17,2019-11-23,2.379998779296881,134.1599365234375,12.332406762689352
2019-11-24,2019-11-30,-1.3799987792968806,68.64016113281251,-3.1200073242187503
2019-12-01,2019-12-07,2.120001220703119,11.399963378906364,-6.589184399396247
2019-12-08,2019-12-14,-1.3400024414062386,-40.39990234375023,10.301975097656308
2019-12-15,2019-12-21,1.5,227.1197509765625,44.22155966795981
2019-12-22,2019-12-28,-0.4799987792968807,-63.84005126953125,5.59361191406846
2019-12-29,2020-01-04,-0.0399993896484375,294.0,59.19196411132813
2020-01-05,2020-01-11,3.0199981689453184,396.0,207.0000000000002
2020-01-12,2020-01-18,0.8,-392.9210205078078,10.095617040991684
2020-01-19,2020-01-25,-1.9799987792968807,20.159692382813457,0.20159750975669385
2020-01-26,2020-02-01,0.3799987792968807,752.4002685546875,11.559620825201273
2020-02-02,2020-02-08,-0.07999877929688068,132.6801513671868,-32.82764267578704
2020-02-09,2020-02-15,0.8399993896484375,-73.20007324218716,-15.908804003894256
2020-02-16,2020-02-22,-4.019998168945318,893.0797973632812,103.72633706055582
2020-02-23,2020-02-29,-1.9000015258788991,1226.3999999999999,57.11999999999999
2020-03-01,2020-03-07,-13.25,18912.5,859.5624351501465
2020-03-08,2020-03-14,-4.020001220703125,30591.499999999993,1899.3875465393062
2020-03-15,2020-03-21,-1.479998779296875,452.4879602050783,30.258380395509313
2020-03-22,2020-03-28,2.9,4129.728229980468,412.09602294921876
2020-03-29,2020-04-04,4.799997965494792,1127.3036627197287,-39.41280314940967
2020-04-05,2020-04-11,0.20000203450520834,-278.0451931423588,26.293394910999254
2020-04-12,2020-04-18,-2.1,76.00173950194772,-3.333409627278409
2020-04-19,2020-04-25,5.133331298828125,60.09213256835897,17.46325068362045
2020-04-26,2020-05-02,-0.1199981689453125,1965.5980224609375,164.60864922424986
2020-05-03,2020-05-09,-6.1,-1023.2757678222655,-49.60356247559189
2020-05-10,2020-05-16,3.5,1939.2627734374998,179.72152402341365
2020-05-17,2020-05-23,0.4249992370605469,-16.28,-2.7600000000000002
2020-05-24,2020-05-30,0.3,-0.0,18.393722534179688
2020-05-31,2020-06-06,-2.549999237060547,-7.3599609375,0.5151950195431709
2020-06-07,2020-06-13,-0.720001220703125,240.15569686889648,-15.270581741351634
2020-06-14,2020-06-20,-0.7,-569.66373046875,3.7152360351383686
2020-06-21,2020-06-27,1.860001754760742,385.0881335449213,19.571198193356363
2020-06-28,2020-07-04,-2.3799999237060545,288.6397381591669,-47.150006885528775
2020-07-05,2020-07-11,0.979998779296875,34.44407530965878,21.23518669585683
