first_day_in_week,last_day_in_week,MDGS_main_symb_weekly_mean_diff,HLMS.TA_weekly_mean_diff_0.36,ELCRE.TA_weekly_mean_diff_0.37,MDGS.TA_weekly_mean_diff_0.37,LDER.TA_weekly_mean_diff_0.39,SCOP.TA_weekly_mean_diff_0.39,ALGS.TA_weekly_mean_diff_0.4,MMAN.TA_weekly_mean_diff_0.4,CLBV.TA_weekly_mean_diff_0.41,KEN.TA_weekly_mean_diff_0.41,HAP.TA_weekly_mean_diff_0.44,KRUR.TA_weekly_mean_diff_0.44,PTX.TA_weekly_mean_diff_0.7
2019-03-10,2019-03-16,0.12000045776367188,1.839996337890625,1.6,-0.18000030517578125,0.03999977111816477,32.4,20.4,-5.6,-1.2,10.8,-46.0,-84.2,-0.5799995422363281
2019-03-17,2019-03-23,-0.28000030517578123,-0.42000122070311363,-2.8,0.12000045776367188,0.04000015258789134,26.0,27.2,3.0,-30.2,47.2,-24.0,-37.2,0.0
2019-03-24,2019-03-30,0.9400001525878906,7.040002441406239,-3.2,-0.28000030517578123,0.2999996185302713,-14.2,-24.2,-8.6,-10.2,-52.0,20.0,-29.2,-0.6599998474121094
2019-03-31,2019-04-06,-0.28000030517578123,7.159997558593761,-2.8,0.9400001525878906,0.24000015258789348,-50.4,4.8,-3.44000244140625,-8.6,-27.6,336.0,-6.6,-1.0200004577636705
2019-04-07,2019-04-13,-0.6399993896484389,-0.6799987792968863,8.0,-0.28000030517578123,0.1,9.0,-18.6,1.1800048828125,7.2,55.0,-124.0,82.4,0.22000045776367044
2019-04-14,2019-04-20,0.3,2.720001220703125,0.8,-0.6399993896484389,0.1400001525878892,61.8,-34.8,-1.32000732421875,24.4,3.4,-244.0,6.4,-0.04000015258789062
2019-04-21,2019-04-27,-0.36000061035156106,-1.879998779296875,1.2,0.3,-0.01999969482421875,-6.8,26.2,1.1800048828125,22.6,13.2,-338.0,41.4,-0.24000015258789062
2019-04-28,2019-05-04,0.16000061035156107,-6.479998779296875,3.8,-0.36000061035156106,-0.020000457763671875,-27.0,-27.2,-1.75999755859375,7.8,-50.6,-34.0,23.4,-0.21999969482421874
2019-05-05,2019-05-11,-0.8,-1.0800048828124886,11.8,0.16000061035156107,-0.059999847412109376,-31.0,12.2,-0.94000244140625,-14.2,35.6,222.0,-38.4,0.11999969482421875
2019-05-12,2019-05-18,-0.060000610351561075,-2.4599975585937615,-5.0,-0.8,-0.1400001525878892,-14.4,-2.2,-6.1800048828125,-42.6,39.8,396.0,23.4,-0.08000030517578267
2019-05-19,2019-05-25,-0.31999969482421875,-0.34000244140623864,0.4,-0.06000061035156108,0.5800003051757798,-105.6,-7.0,3.460009765625,-22.8,21.6,-1010.0,-31.4,0.04000015258789347
2019-05-26,2019-06-01,-0.4400001525878906,0.3800048828124886,16.2,-0.31999969482421875,0.0,-86.0,0.0,0.0199951171875,-47.6,-95.0,-412.0,-2.4,0.1400001525878892
2019-06-02,2019-06-08,0.24000015258789065,-0.8800048828124887,-4.8,-0.4400001525878906,0.31999969482421875,0.4,3.2,-1.8199951171875,-3.4,-2.0,258.0,-52.2,-0.7599998474121101
2019-06-09,2019-06-15,-0.01999969482421875,2.6400024414062386,8.2,0.24000015258789062,0.24000015258789062,23.6,-46.8,-2.54000244140625,24.0,73.4,-138.0,5.6,0.0799999237060561
2019-06-16,2019-06-22,-0.3800003051757813,-0.179998779296875,13.0,-0.01999969482421875,0.6400001525878907,-28.0,20.6,0.64000244140625,6.8,29.6,368.0,2.6,-0.24000015258789134
2019-06-23,2019-06-29,0.2,7.939996337890636,2.8,-0.38000030517578126,-0.6200004577636719,0.8,-36.4,6.1199951171875,7.6,29.0,102.0,23.4,0.16000022888183524
2019-06-30,2019-07-06,-0.21999969482421874,-3.3,27.4,0.2,0.6800003051757812,12.0,19.8,3.14000244140625,17.2,-40.0,-68.0,-5.0,0.3199996948242202
2019-07-07,2019-07-13,-0.08000030517578123,-5.2,29.8,-0.21999969482421874,-0.14000015258789061,101.0,-30.8,-2.12000732421875,-20.2,-5.8,-348.0,56.8,-0.41999969482422017
2019-07-14,2019-07-20,0.4199996948242187,-1.0599975585937613,-0.8,-0.08000030517578124,1.3400001525878906,-61.2,-22.4,3.22000732421875,-2.6,-24.0,-248.0,-26.0,0.03999977111816477
2019-07-21,2019-07-27,-0.37999954223632815,1.579998779296875,24.2,0.41999969482421873,-0.38000030517578126,-13.0,-8.4,-0.25999755859375,17.8,-7.8,4.0,-11.6,-0.5399997711181648
