first_day_in_week,last_day_in_week,ALMD_main_symb_weekly_mean_diff,ROTS.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,-0.2,-5.6
2019-03-17,2019-03-23,-0.9199996948242216,-22.8
2019-03-24,2019-03-30,-1.3800003051757783,-12.6
2019-03-31,2019-04-06,0.3599998474121094,16.8
2019-04-07,2019-04-13,0.7000007629394531,39.4
2019-04-14,2019-04-20,-1.0600006103515625,5.0
2019-04-21,2019-04-27,0.6800003051757784,2.4
2019-04-28,2019-05-04,0.6,10.2
2019-05-05,2019-05-11,0.08000030517578409,-3.6
2019-05-12,2019-05-18,0.11999969482421592,2.4
2019-05-19,2019-05-25,-1.3600006103515596,15.6
2019-05-26,2019-06-01,-0.37999954223632815,3.6
2019-06-02,2019-06-08,-0.040000152587890615,-6.4
2019-06-09,2019-06-15,0.18000030517577986,2.2
2019-06-16,2019-06-22,-0.08000030517577983,-5.8
2019-06-23,2019-06-29,-0.01999969482422017,-33.8
2019-06-30,2019-07-06,-0.6800003051757798,36.8
2019-07-07,2019-07-13,-0.6199996948242201,-12.4
2019-07-14,2019-07-20,0.9799995422363296,20.0
2019-07-21,2019-07-27,0.22000045776367044,9.4
2019-07-28,2019-08-03,-0.3400001525878892,3.8
2019-08-04,2019-08-10,0.059999847412109376,33.0
2019-08-11,2019-08-17,-0.2599998474121093,-0.2
2019-08-18,2019-08-24,0.5400001525878892,-12.6
2019-08-25,2019-08-31,-0.4200004577636705,5.8
2019-09-01,2019-09-07,-0.3799995422363295,26.2
2019-09-08,2019-09-14,-0.2250003814697248,16.6
2019-09-15,2019-09-21,-0.08000030517578123,43.75
2019-09-22,2019-09-28,-0.14999961853027344,-20.4
2019-09-29,2019-10-05,-0.6333325703938826,-58.5
2019-10-06,2019-10-12,-0.6000010172526018,-7.0
2019-10-13,2019-10-19,-0.2666664123535156,9.666666666666666
2019-10-20,2019-10-26,0.5599998474121094,1.0
2019-10-27,2019-11-02,0.08000030517578123,-8.6
2019-11-03,2019-11-09,-0.5400001525878906,-12.0
2019-11-10,2019-11-16,0.0,-40.4
2019-11-17,2019-11-23,0.15999984741210938,-2.0
2019-11-24,2019-11-30,0.1400001525878906,52.2
2019-12-01,2019-12-07,-0.3400001525878906,27.0
2019-12-08,2019-12-14,-0.21999969482421874,83.4
2019-12-15,2019-12-21,0.1,-26.2
2019-12-22,2019-12-28,0.3800003051757798,-14.8
2019-12-29,2020-01-04,-0.4200004577636705,29.2
2020-01-05,2020-01-11,0.4,34.0
2020-01-12,2020-01-18,0.3200004577636705,12.4
2020-01-19,2020-01-25,-0.3800003051757798,32.6
2020-01-26,2020-02-01,-0.3800003051757813,-17.0
2020-02-02,2020-02-08,-0.21999969482421874,15.4
2020-02-09,2020-02-15,1.2400001525878903,-27.2
2020-02-16,2020-02-22,-0.8,15.4
2020-02-23,2020-02-29,-1.2250003814697266,-62.4
2020-03-01,2020-03-07,-3.4499998092651367,-117.0
2020-03-08,2020-03-14,-0.3,-134.25
2020-03-15,2020-03-21,0.220000076293946,-28.0
2020-03-22,2020-03-28,0.17999992370605394,62.0
2020-03-29,2020-04-04,1.6999994913736982,23.6
2020-04-05,2020-04-11,1.8000005086263018,58.333333333333336
2020-04-12,2020-04-18,0.5599998474121094,40.666666666666664
2020-04-19,2020-04-25,1.2333335876464844,15.2
2020-04-26,2020-05-02,0.3,63.0
2020-05-03,2020-05-09,-0.08000030517578123,-54.8
2020-05-10,2020-05-16,1.2,-7.2
2020-05-17,2020-05-23,-0.04999923706054865,-44.0
2020-05-24,2020-05-30,-1.3600006103515612,-20.75
2020-05-31,2020-06-06,-0.14999961853027344,4.4
2020-06-07,2020-06-13,-0.18000030517578125,2.5
2020-06-14,2020-06-20,-0.6599998474121094,28.0
2020-06-21,2020-06-27,0.7399999380111695,19.0
2020-06-28,2020-07-04,-1.18000009059906,-17.799984741210938
2020-07-05,2020-07-11,-0.5,-19.600015258789064
2020-07-12,2020-07-18,1.0600006103515625,71.4
2020-07-19,2020-07-25,-0.5250005722045898,-13.0
2020-07-26,2020-08-01,,-5.25
