first_day_in_week,last_day_in_week,CNZN_main_symb_weekly_mean_diff,INTL.TA_weekly_mean_diff_0.4,CNZN.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,500.0,27.980004882812477,-200.0
2019-03-17,2019-03-23,-300.0,-0.22000732421872726,500.0
2019-03-24,2019-03-30,-200.0,12.04000244140625,-300.0
2019-03-31,2019-04-06,-806.0,3.8,-200.0
2019-04-07,2019-04-13,480.0,-18.24000244140625,-806.0
2019-04-14,2019-04-20,-1514.0,-13.9199951171875,480.0
2019-04-21,2019-04-27,-534.0,-6.5800048828125,-1514.0
2019-04-28,2019-05-04,-3110.0,-34.75999755859375,-534.0
2019-05-05,2019-05-11,-2005.0,-4.2800048828125,-3110.0
2019-05-19,2019-05-25,-958.0,4.179992675781273,-2005.0
2019-05-26,2019-06-01,-635.0,-5.379998779296898,-958.0
2019-06-02,2019-06-08,490.0,6.160003662109352,-635.0
2019-06-23,2019-06-29,182.0,-7.260003662109352,490.0
2019-06-30,2019-07-06,-290.0,-3.120001220703114,182.0
2019-07-07,2019-07-13,-500.0,-4.6199951171875115,-290.0
2019-07-14,2019-07-20,-198.0,-7.420001220703125,-500.0
2019-07-21,2019-07-27,198.0,-6.720001220703125,-198.0
2019-07-28,2019-08-03,-246.0,-6.45999755859375,198.0
2019-08-04,2019-08-10,16.0,-9.8,-246.0
2019-08-11,2019-08-17,-36.0,8.839996337890625,16.0
2019-08-18,2019-08-24,-4.0,1.260003662109375,-36.0
2019-08-25,2019-08-31,-18.0,1.379998779296875,-4.0
2019-09-01,2019-09-07,-236.0,-4.4,-18.0
2019-09-08,2019-09-14,-5.0,-1.2,-236.0
2019-09-15,2019-09-21,-98.0,-3.3499984741210938,-5.0
2019-09-22,2019-09-28,190.0,-2.6800048828125,-98.0
2019-09-29,2019-10-05,-406.66666666666674,-6.8499908447265625,190.0
2019-10-06,2019-10-12,-73.33333333333333,-12.366668701171875,-406.6666666666667
2019-10-13,2019-10-19,-120.3332519531256,-4.5,-73.33333333333333
2019-10-20,2019-10-26,258.1999511718753,-4.4333343505859375,-120.33325195312561
2019-10-27,2019-11-02,88.0,15.760000610351563,258.19995117187534
2019-11-03,2019-11-09,-380.4000244140625,-5.979998779296875,88.0
2019-11-10,2019-11-16,106.4000244140625,7.320001220703125,-380.4000244140625
2019-11-17,2019-11-23,-194.19995117187537,6.45999755859375,106.4000244140625
2019-11-24,2019-11-30,-45.20007324218714,-7.8,-194.19995117187537
2019-12-01,2019-12-07,-65.0,-4.14000244140625,-45.20007324218714
2019-12-08,2019-12-14,141.4000244140625,-11.17999877929687,-65.0
2019-12-15,2019-12-21,18.0,-2.4199981689453183,141.4000244140625
2019-12-22,2019-12-28,6.0,-7.260000610351563,18.0
2019-12-29,2020-01-04,-191.199951171875,3.9600006103515626,6.0
2020-01-05,2020-01-11,45.39990234375,-3.439999389648443,-191.199951171875
2020-01-12,2020-01-18,-124.39990234375,-0.2600006103515568,45.39990234375
2020-01-19,2020-01-25,-49.60009765625,0.9600006103515568,-124.39990234375
2020-01-26,2020-02-01,-39.0,3.9199981689453183,-49.60009765625
2020-02-02,2020-02-08,-123.7999267578125,-1.7,-39.0
2020-02-09,2020-02-15,-65.0,-4.5600006103515565,-123.7999267578125
2020-02-16,2020-02-22,-116.4000244140625,2.120001220703119,-65.0
2020-02-23,2020-02-29,-286.75003051757784,-3.4600006103515626,-116.4000244140625
2020-03-01,2020-03-07,-270.49995422363304,12.450000762939453,-286.7500305175779
2020-03-08,2020-03-14,-61.60003662109366,-18.75,-270.49995422363304
2020-03-15,2020-03-21,174.40002441406241,-1.0399993896484374,-61.60003662109366
2020-03-22,2020-03-28,-91.4000244140624,4.460000610351562,174.40002441406241
2020-03-29,2020-04-04,87.00002034505194,8.739999389648437,-91.40002441406241
2020-04-05,2020-04-11,507.999979654948,0.6000010172525947,87.00002034505194
2020-04-12,2020-04-18,5.5999755859375,-0.433334350585928,507.99997965494794
2020-04-19,2020-04-25,-35.99995930989584,17.960000610351564,5.5999755859375
2020-04-26,2020-05-02,-88.4000244140625,-17.533335367838543,-35.999959309895836
2020-05-03,2020-05-09,-160.39996337890625,2.75999755859375,-88.4000244140625
2020-05-10,2020-05-16,245.20001220703125,-2.9199951171875,-160.39996337890625
2020-05-17,2020-05-23,-123.50006103515624,1.1399963378906364,245.20001220703125
2020-05-24,2020-05-30,50.800048828125,3.3250045776367045,-123.50006103515625
2020-05-31,2020-06-06,298.0000305175781,-4.900003051757812,50.800048828125
2020-06-07,2020-06-13,-145.5999755859375,-4.024997711181648,298.0000305175781
2020-06-14,2020-06-20,220.7999267578125,-4.380001831054682,-145.5999755859375
2020-06-21,2020-06-27,-154.19994354248047,-0.8399993896484375,220.7999267578125
2020-06-28,2020-07-04,95.79991912841795,-1.0999988555908202,-154.19994354248047
2020-07-05,2020-07-11,65.60009765625,-1.320002365112299,95.79991912841797
2020-07-12,2020-07-18,-7.2000732421875,-0.5599975585937613,65.60009765625
2020-07-19,2020-07-25,-158.75,6.139999389648443,-7.2000732421875
2020-07-26,2020-08-01,,17.52499771118164,-158.75
