first_day_in_week,last_day_in_week,KMNK-M_main_symb_weekly_mean_diff,SMTO.TA_weekly_mean_diff_-0.35,CFX.TA_weekly_mean_diff_-0.37,GPGB.TA_weekly_mean_diff_0.43,ANGL.TA_weekly_mean_diff_0.44,AVGL.TA_weekly_mean_diff_0.61
2019-03-10,2019-03-16,-0.039998817443847666,-0.059997558593761366,-3.6599975585937727,1.0,15.6,0.8
2019-03-17,2019-03-23,-2.699998092651356,2.0199981689453184,0.05999755859377274,5.1199951171875,2.6,-2.85999755859375
2019-03-24,2019-03-30,-0.8000040054321517,0.020001220703125,-4.979998779296875,2.22000732421875,-13.4,-3.520001220703125
2019-03-31,2019-04-06,-5.199999809265125,-0.5600006103515625,-2.479998779296875,1.839990234375,79.0,-1.420001220703125
2019-04-07,2019-04-13,9.58000183105471,-0.3399993896484375,-1.960003662109375,2.1,-2.2,2.679998779296875
2019-04-14,2019-04-20,-11.25999927520752,5.119998168945318,0.2799987792968864,0.04000244140625,-25.0,-0.95999755859375
2019-06-23,2019-06-29,5.060000419616699,-0.7200012207031193,-2.820001220703125,0.95999755859375,4.6,-2.3
2019-06-30,2019-07-06,32.67999649047852,0.4,-2.74000244140625,13.24000244140625,73.6,-0.520001220703125
2019-07-07,2019-07-13,-2.760000228881836,0.9799987792968807,2.2,-3.9800048828125,10.8,-1.24000244140625
2019-07-14,2019-07-20,-0.7999992370605356,-0.4,-1.65999755859375,-4.2199951171875,69.0,-0.9
2019-07-21,2019-07-27,-14.219999313354506,-1.3399993896484432,0.45999755859375,-4.1800048828125,-9.6,-1.020001220703125
2019-07-28,2019-08-03,-0.19999980926513672,0.5600006103515625,1.420001220703125,0.4,9.2,-0.839996337890625
2019-08-04,2019-08-10,0.0,-0.5600006103515625,2.14000244140625,5.54000244140625,25.8,-1.660003662109375
2019-08-11,2019-08-17,-9.50000286102295,0.8399993896484432,3.75999755859375,-1.64000244140625,-38.2,-6.0
2019-08-18,2019-08-24,3.199996948242176,-4.4799987792968805,0.520001220703125,0.02000732421875,44.2,2.0800048828125
2019-09-01,2019-09-07,6.760001182556175,1.1,-10.060003662109363,-7.95999755859375,3.4,3.2
2019-09-08,2019-09-14,45.05000114440917,-3.279998779296875,0.6600036621093637,29.94000244140625,-14.6,5.439996337890625
2019-09-15,2019-09-21,-1.1999988555908203,-1.3499984741210938,-4.474998474121094,-14.824996948242188,1.25,-5.4499969482421875
2019-09-22,2019-09-28,0.0,-0.620001220703125,0.779998779296875,5.1199951171875,1.0,-2.14000244140625
2019-09-29,2019-10-05,-31.30000432332357,0.75,4.25,-20.5,-244.0,-8.949996948242188
2019-10-06,2019-10-12,5.933332443237305,-1.0333353678385417,0.2999979654947917,5.699991861979167,270.3333333333333,5.299997965494792
2019-10-13,2019-10-19,-5.966663360595702,-0.4333292643229167,2.866668701171875,11.433349609375,-19.333333333333332,0.8000081380208334
2019-10-20,2019-10-26,-5.999999046325673,0.09999593098958333,7.066660563151061,7.833333333333333,-9.666666666666666,0.19999186197916666
2019-10-27,2019-11-02,0.0,0.020001220703125,-5.719995117187511,2.8199951171875,-4.4,-0.2199951171875
2019-11-03,2019-11-09,0.3200006484985238,-0.5600006103515568,-1.6800048828124887,4.0800048828125,55.8,0.85999755859375
